lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-179.598,51.929,0.000,16130.000,-179.598,51.929,0.026,0.000,-179.970,50.450,6.810,-55.300,1.220,164.640,0.180,7.020,901.000,111.000,11.040,23.920,3.880,-5.600,-1.180,0.320,-5.930,-63.050,2.690,-5.290,55.490,0.060,37.860,126.580,2.180
-178.794,51.789,0.000,16130.000,-178.794,51.789,0.024,30.000,-178.540,50.410,6.770,-38.850,1.260,-178.190,0.190,351.240,901.000,111.000,11.960,22.990,5.270,-4.250,-1.260,-0.040,-5.880,-47.010,4.010,-4.300,55.540,0.090,37.520,126.680,2.180
-178.536,51.953,0.000,16130.000,-178.536,51.953,0.027,37.000,-178.240,50.440,6.760,-38.920,1.270,-178.200,0.190,351.460,901.000,111.000,12.150,22.800,5.260,-4.250,-1.260,-0.040,-5.860,-47.160,3.990,-4.300,55.610,0.090,37.140,126.780,2.180
-178.143,51.884,0.000,16130.000,-178.143,51.884,0.025,45.000,-177.950,50.470,6.750,-39.000,1.270,-178.210,0.190,351.690,901.000,111.000,12.340,22.610,5.240,-4.250,-1.270,-0.040,-5.850,-47.310,3.970,-4.300,55.610,0.090,37.140,126.780,2.180
-178.134,52.014,0.000,16130.000,-178.134,52.014,0.027,45.000,-177.950,50.470,6.750,-39.000,1.270,-178.210,0.190,351.690,901.000,111.000,12.340,22.610,5.240,-4.250,-1.270,-0.040,-5.850,-47.310,3.970,-4.300,55.610,0.090,37.140,126.780,2.180
-177.603,52.103,0.000,16130.000,-177.603,52.103,0.028,60.000,-177.350,50.520,6.730,-39.150,1.290,-178.230,0.190,352.150,901.000,111.000,12.730,22.230,5.220,-4.250,-1.290,-0.040,-5.820,-47.630,3.920,-4.300,57.250,0.090,35.930,128.460,2.180
-177.162,51.924,0.000,16130.000,-177.162,51.924,0.024,68.000,-177.050,50.550,6.720,-39.230,1.290,-178.240,0.190,352.380,901.000,111.000,12.920,22.040,5.200,-4.250,-1.290,-0.040,-5.810,-47.790,3.900,-4.300,57.250,0.090,35.930,128.460,2.180
-176.111,52.077,0.000,16130.000,-176.111,52.077,0.025,110.000,-175.860,50.640,6.670,-39.550,1.320,-178.280,0.190,353.310,901.000,111.000,13.680,21.270,5.140,-4.250,-1.320,-0.040,-5.750,-48.430,3.810,-4.300,57.330,0.090,35.630,128.620,2.180
-175.511,52.169,0.000,16130.000,-175.511,52.169,0.026,123.000,-175.260,50.690,6.650,-39.710,1.340,-178.290,0.190,353.770,901.000,111.000,14.070,20.890,5.110,-4.250,-1.340,-0.040,-5.720,-48.760,3.770,-4.300,57.380,0.080,35.490,128.690,2.180
-174.155,52.379,0.000,16130.000,-174.155,52.379,0.028,158.000,-173.760,50.780,6.590,-40.130,1.370,-178.340,0.190,354.930,901.000,111.000,15.020,19.940,5.040,-4.250,-1.370,-0.040,-5.650,-49.610,3.660,-4.300,57.400,0.080,35.300,128.700,2.180
-174.139,52.331,0.000,16130.000,-174.139,52.331,0.027,158.000,-173.760,50.780,6.590,-40.130,1.370,-178.340,0.190,354.930,901.000,111.000,15.020,19.940,5.040,-4.250,-1.370,-0.040,-5.650,-49.610,3.660,-4.300,57.400,0.080,35.300,128.700,2.180
-172.510,52.316,0.000,16130.000,-172.510,52.316,0.023,195.000,-171.700,51.100,6.500,-25.440,1.420,-163.570,0.190,341.370,901.000,111.000,16.370,18.590,5.870,-2.790,-1.360,-0.400,-5.530,-35.490,4.500,-3.210,62.290,0.100,34.940,133.730,2.160
-171.255,52.494,0.000,16130.000,-171.255,52.494,0.021,199.000,-170.520,51.350,6.440,-25.690,1.450,-163.890,0.190,342.290,901.000,111.000,17.150,17.810,5.800,-2.790,-1.390,-0.400,-5.450,-36.050,4.410,-3.210,62.260,0.100,34.940,133.730,2.160
