lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-179.59799999999998,51.928999999999995,0.0,16130.0,-179.59799999999998,51.928999999999995,0.026000000000000002,0.0,-179.97,50.45,6.81,-55.3,1.22,164.64,0.18,7.02,901.0,111.0,11.04,23.92,3.88,-5.6,-1.18,0.32,-5.93,-63.05,2.69,-5.29,55.49,0.06,37.86,126.58,2.18
-178.794,51.788999999999994,0.0,16130.0,-178.794,51.788999999999994,0.024,30.0,-178.54,50.41,6.77,-38.85,1.26,-178.19,0.19,351.24,901.0,111.0,11.96,22.99,5.27,-4.25,-1.26,-0.04,-5.88,-47.01,4.01,-4.3,55.54,0.09,37.52,126.68,2.18
-178.53599999999997,51.953,0.0,16130.0,-178.53599999999997,51.953,0.027000000000000003,37.0,-178.24,50.44,6.76,-38.92,1.27,-178.2,0.19,351.46,901.0,111.0,12.15,22.8,5.26,-4.25,-1.26,-0.04,-5.86,-47.16,3.99,-4.3,55.61,0.09,37.14,126.78,2.18
-178.143,51.88399999999999,0.0,16130.0,-178.143,51.88399999999999,0.025,45.0,-177.95,50.47,6.75,-39.0,1.27,-178.21,0.19,351.69,901.0,111.0,12.34,22.61,5.24,-4.25,-1.27,-0.04,-5.85,-47.31,3.97,-4.3,55.61,0.09,37.14,126.78,2.18
-177.60299999999998,52.103,0.0,16130.0,-177.60299999999998,52.103,0.027999999999999997,60.0,-177.35,50.52,6.73,-39.15,1.29,-178.23,0.19,352.15,901.0,111.0,12.73,22.23,5.22,-4.25,-1.29,-0.04,-5.82,-47.63,3.92,-4.3,57.25,0.09,35.93,128.46,2.18
-177.162,51.924,0.0,16130.0,-177.162,51.924,0.024,68.0,-177.05,50.55,6.72,-39.23,1.29,-178.24,0.19,352.38,901.0,111.0,12.92,22.04,5.2,-4.25,-1.29,-0.04,-5.81,-47.79,3.9,-4.3,57.25,0.09,35.93,128.46,2.18
-176.111,52.077,0.0,16130.0,-176.111,52.077,0.025,110.0,-175.86,50.64,6.67,-39.55,1.32,-178.28,0.19,353.31,901.0,111.0,13.68,21.27,5.14,-4.25,-1.32,-0.04,-5.75,-48.43,3.81,-4.3,57.33,0.09,35.63,128.62,2.18
-175.511,52.169,0.0,16130.0,-175.511,52.169,0.026000000000000002,123.0,-175.26,50.69,6.65,-39.71,1.34,-178.29,0.19,353.77,901.0,111.0,14.07,20.89,5.11,-4.25,-1.34,-0.04,-5.72,-48.76,3.77,-4.3,57.38,0.08,35.49,128.69,2.18
-174.155,52.379,0.0,16130.0,-174.155,52.379,0.027999999999999997,158.0,-173.76,50.78,6.59,-40.13,1.37,-178.34,0.19,354.93,901.0,111.0,15.02,19.94,5.04,-4.25,-1.37,-0.04,-5.65,-49.61,3.66,-4.3,57.4,0.08,35.3,128.7,2.18
-172.51,52.316,0.0,16130.0,-172.51,52.316,0.023,195.0,-171.7,51.1,6.5,-25.44,1.42,-163.57,0.19,341.37,901.0,111.0,16.37,18.59,5.87,-2.79,-1.36,-0.4,-5.53,-35.49,4.5,-3.21,62.29,0.1,34.94,133.73,2.16
-171.255,52.494,0.0,16130.0,-171.255,52.494,0.021,199.0,-170.52,51.35,6.44,-25.69,1.45,-163.89,0.19,342.29,901.0,111.0,17.15,17.81,5.8,-2.79,-1.39,-0.4,-5.45,-36.05,4.41,-3.21,62.26,0.1,34.94,133.73,2.16
-170.65200000000002,52.644,0.0,16130.0,-170.65200000000002,52.644,0.022000000000000002,201.0,-169.93,51.46,6.41,-25.81,1.46,-164.04,0.19,342.75,901.0,111.0,17.42,17.42,5.77,-2.79,-1.41,-0.4,-5.41,-36.34,4.36,-3.21,62.2,0.1,34.94,133.69,2.16
-170.113,52.74100000000001,0.0,16130.0,-170.113,52.74100000000001,0.022000000000000002,203.0,-169.33,51.58,6.38,-25.94,1.48,-164.19,0.19,343.22,901.0,111.0,17.04,17.04,5.74,-2.79,-1.42,-0.4,-5.38,-36.63,4.31,-3.21,57.55,0.1,34.67,128.88,2.18
-169.717,52.973,0.0,16130.0,-169.717,52.973,0.025,204.0,-169.04,51.63,6.37,-26.0,1.48,-164.27,0.19,343.45,901.0,111.0,16.84,16.84,5.72,-2.79,-1.43,-0.4,-5.36,-36.78,4.29,-3.21,57.55,0.1,34.67,128.88,2.18
-168.69400000000002,53.126000000000005,0.0,16112.0,-168.69400000000002,53.126000000000005,0.023,208.0,-167.85,51.89,6.31,-20.51,1.51,-158.9,0.2,338.66,901.0,111.0,16.06,16.06,5.91,-2.21,-1.41,-0.54,-5.28,-31.62,4.5,-2.77,57.4,0.1,34.3,128.73,2.18
-168.132,53.419,0.0,16112.0,-168.132,53.419,0.026000000000000002,210.0,-167.25,52.04,6.27,-20.62,1.52,-159.09,0.2,339.13,901.0,111.0,15.67,15.67,5.87,-2.21,-1.42,-0.54,-5.24,-31.89,4.45,-2.77,57.23,0.1,34.3,128.54,2.18
-168.03400000000002,53.927,0.0,16112.0,-168.03400000000002,53.927,0.034,211.0,-166.96,52.1,6.26,-20.67,1.53,-159.18,0.2,339.36,901.0,111.0,15.47,15.47,5.85,-2.21,-1.43,-0.54,-5.22,-32.03,4.42,-2.77,57.23,0.1,34.3,128.54,2.18
-166.93200000000002,53.887,0.0,16112.0,-166.93200000000002,53.887,0.028999999999999998,214.0,-166.05,52.31,6.21,-20.84,1.55,-159.45,0.2,340.08,901.0,111.0,14.89,14.89,5.8,-2.21,-1.45,-0.54,-5.16,-32.46,4.35,-2.77,57.04,0.1,34.17,128.33,2.18
-165.986,54.133,0.0,16112.0,-165.986,54.133,0.03,217.0,-165.14,52.51,6.16,-21.01,1.57,-159.72,0.2,340.8,901.0,111.0,14.3,14.3,5.75,-2.21,-1.47,-0.54,-5.1,-32.9,4.28,-2.77,54.21,0.09,33.91,125.13,2.19
