conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent,label
6.81,11.04,0.06,37.86,2.18,False
6.77,11.96,0.09,37.52,2.18,False
6.76,12.15,0.09,37.14,2.18,False
6.75,12.34,0.09,37.14,2.18,False
6.73,12.73,0.09,35.93,2.18,False
6.72,12.92,0.09,35.93,2.18,False
6.67,13.68,0.09,35.63,2.18,False
6.65,14.07,0.08,35.49,2.18,False
6.59,15.02,0.08,35.3,2.18,False
6.5,16.37,0.1,34.94,2.16,False
6.44,17.15,0.1,34.94,2.16,False
6.41,17.42,0.1,34.94,2.16,False
6.38,17.04,0.1,34.67,2.18,False
6.37,16.84,0.1,34.67,2.18,False
6.31,16.06,0.1,34.3,2.18,False
6.27,15.67,0.1,34.3,2.18,False
6.26,15.47,0.1,34.3,2.18,False
6.21,14.89,0.1,34.17,2.18,False
6.16,14.3,0.09,33.91,2.19,False
6.14,14.1,0.09,33.91,2.19,False
6.08,13.32,0.09,33.68,2.19,False
6.05,12.93,0.09,37.46,2.19,False
6.03,12.74,0.09,37.46,2.19,False
5.96,11.98,0.09,37.46,2.19,False
5.93,11.6,0.09,37.06,2.2,False
5.91,11.41,0.09,37.06,2.21,False
5.72,9.42,0.09,41.87,2.21,False
5.7,9.24,0.09,41.87,2.22,False
5.63,8.44,0.07,42.53,2.22,False
5.49,7.09,0.07,66.3,2.14,False
5.42,6.41,0.08,66.3,2.14,False
5.35,5.64,0.07,68.81,2.06,False
5.31,5.26,0.07,68.81,2.06,False
5.25,4.69,0.07,68.81,2.06,False
5.19,4.11,0.07,68.81,2.04,False
5.15,3.73,0.07,75.8,2.04,False
5.09,3.16,0.07,75.8,2.04,False
5.03,2.58,0.07,81.86,2.0,False
4.76,0.1,0.06,88.12,1.87,False
-4.76,0.1,0.0,30.84,1.64,False
4.35,1.45,0.02,33.11,1.6,False
4.38,5.97,0.02,45.62,1.09,False
4.36,3.35,0.01,23.94,0.73,False
4.37,3.53,0.01,23.94,0.73,False
4.38,6.03,0.02,45.62,1.09,False
4.37,4.99,0.02,51.1,1.05,False
4.37,4.43,0.02,51.1,0.62,False
4.38,4.02,0.02,43.73,1.11,False
4.37,5.16,0.02,51.1,1.05,False
4.38,5.44,0.02,45.62,1.09,False
4.38,5.86,0.02,45.4,1.05,False
4.37,4.8,0.02,51.1,0.62,False
4.35,0.86,0.02,30.84,1.66,False
4.38,4.38,0.02,43.73,1.11,False
4.37,4.25,0.02,51.1,0.62,False
4.38,3.84,0.02,43.73,1.11,False
5.76,2.19,0.04,77.0,1.38,False
5.8,2.0,0.04,77.0,1.38,False
6.01,1.17,0.04,77.0,1.39,False
6.05,1.0,0.04,77.0,1.39,False
6.1,0.83,0.04,75.92,1.39,False
4.74,0.1,0.06,89.12,1.89,False
4.39,0.09,0.01,4.13,0.72,False
4.39,1.32,0.01,4.13,0.81,False
4.39,0.97,0.01,4.13,0.81,False
5.43,1.32,0.04,75.48,1.39,False
5.38,1.51,0.04,57.78,1.34,False
5.47,1.14,0.04,75.48,1.39,False
5.52,0.96,0.04,75.48,1.39,False
5.57,0.77,0.04,75.48,1.39,False
5.61,0.59,0.04,75.48,1.39,False
5.66,0.41,0.04,75.48,1.39,False
5.74,0.08,0.03,75.48,1.44,False
6.86,0.1,0.06,88.16,1.65,False
7.07,1.69,0.07,95.64,1.66,False
-3.1,0.09,0.0,31.88,1.18,False
-3.09,0.28,0.0,31.88,1.18,False
3.1,0.47,0.0,31.88,1.21,False
3.11,0.66,0.0,31.88,1.21,False
3.24,1.0,0.01,31.88,1.21,False
4.68,0.1,0.06,75.46,1.94,False
2.52,0.47,0.0,21.06,1.14,False
-2.5,0.09,0.0,21.06,1.14,False
2.5,0.28,0.0,21.06,1.14,False
2.56,0.66,0.0,21.06,1.21,False
2.73,1.0,0.01,21.06,1.21,False
4.59,0.09,0.03,58.57,1.41,False
4.47,3.31,0.03,53.78,1.41,False
4.1,0.06,0.0,28.09,0.9,False
4.45,0.09,0.01,41.06,0.89,False
4.45,0.09,0.02,37.98,1.25,False
4.46,0.09,0.02,27.81,1.21,False
4.47,0.09,0.01,23.08,1.2,False
4.49,0.09,0.02,13.65,1.32,False
6.01,0.09,0.03,32.13,1.63,False
7.43,0.78,0.06,66.12,1.9,False
7.37,0.6,0.05,66.12,1.9,False
7.54,1.12,0.06,66.12,1.87,False
6.08,13.16,0.05,47.6,1.87,False
4.88,13.36,0.03,40.66,1.76,False
9.53,10.48,0.01,17.97,1.21,False
7.4,11.2,0.02,8.66,1.03,False
7.43,11.39,0.01,8.66,0.22,False
8.11,15.67,0.05,37.42,1.74,False
7.42,11.4,0.02,6.42,0.89,False
25.38,11.21,0.04,6.42,0.89,False
7.45,11.58,0.01,6.42,0.89,False
15.61,15.86,0.03,2.11,1.33,False
9.63,4.14,0.11,31.83,2.26,False
9.64,4.3,0.09,31.83,2.26,False
8.94,16.63,0.16,30.77,2.14,False
8.96,16.82,0.12,30.77,2.14,False
15.82,16.82,0.29,38.46,2.48,False
8.86,0.08,0.09,3.6,2.53,False
