conv_rate,conv_angle,dist_nearest_edge,conv_paral,seafloor_age,carbonate_sediment_thickness,label
5.56,2.02,8.6,0.2,43.9,49.88,TRUE
4.43,11.22,0.97,0.86,2.05,5.43,TRUE
5.38,13.23,7.25,1.23,35.51,64.67,TRUE
4.44,11.02,1.32,0.85,3.36,11.89,TRUE
5.52,2.86,8.75,0.27,34.23,67.93,TRUE
5.67,-4.34,10.33,-0.43,35.84,65.57,TRUE
4.45,10.82,1.32,0.84,3.02,8.57,TRUE
5.56,4.23,9.42,0.41,35.13,63.19,TRUE
5.65,-4.06,10.33,-0.4,33.63,67,TRUE
4.62,-25.81,10.83,-2.01,34.28,46.34,TRUE
4.37,-37.38,5.79,-2.65,9.05,45.94,TRUE
4.4,-36.72,4.56,-2.63,9.99,43.77,TRUE
6.55,-29.12,1.87,-3.19,14.1,43.24,TRUE
17.49,44.19,3.78,12.19,8.88,26.41,TRUE
17.93,44.74,3.56,12.62,10.49,27.8,TRUE
3.23,-71.95,3.35,-3.07,15.01,38.02,TRUE
18.49,15.32,14.59,4.89,8.42,28.72,TRUE
7.16,-2.01,15.67,-0.25,20.43,42.06,TRUE
13.19,27.21,22.19,6.03,5.2,0.12,TRUE
7.04,-2.78,15.67,-0.34,20.99,40.79,TRUE
6.64,-3.35,14.71,-0.39,18.68,44.76,TRUE
9.8,-16.63,16.54,-2.81,24.41,12.48,TRUE
13.51,4.56,11.58,1.07,27.09,18.88,TRUE
7.55,-12.15,10.83,-1.59,0.9,11.14,TRUE
24.29,-80.74,6.28,-23.97,4.45,22.4,TRUE
7.6,-12.08,11.02,-1.59,0.9,11.14,TRUE
7.68,-11.94,11.39,-1.59,0.9,11.14,TRUE
7.73,-11.87,11.58,-1.59,0.9,5.58,TRUE
7.68,-11.94,11.39,-1.59,0.9,11.14,TRUE
24.7,-62.93,9,-21.99,2.56,18.33,TRUE
8.46,-4.61,15.48,-0.68,6.82,39.42,TRUE
8.5,-4.59,15.67,-0.68,6.82,39.42,TRUE
8.46,-4.61,15.48,-0.68,6.82,39.42,TRUE
14.54,14.49,9.91,3.64,35.62,9.44,TRUE
7.44,-12.72,10.64,-1.64,1.75,8.25,TRUE
10.65,-16.88,18.18,-3.09,45.34,5.44,TRUE
7.43,-14,11.39,-1.8,0.54,8.66,TRUE
11.03,-0.99,13.98,-0.19,32.36,10.13,TRUE
7.31,-13.66,10.66,-1.73,1.4,13.4,TRUE
10.81,-11.02,16.24,-2.07,34.51,3.66,TRUE
