lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,conv_paral_abs,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,target
-113.39,28.06,166,16102,-57.886,39.883,0.068,624,-62.96,39.51,0.87,-43.04,5.62,134.94,0.18,59.34,101,16111,0.09,0.09,0.64,-0.59,0.59,-3.97,3.97,4.74,134.59,-3.33,3.38,93.89,0.01,11.28,150.38,2.75,NA_DEPOSIT
-127.86,50.67,168,16102,-57.688,40.227,0.066,609,-62.62,40.46,0.87,-43.04,5.63,135.1,0.18,59.06,101,16111,0.09,0.09,0.64,-0.59,0.59,-3.99,3.97,4.76,134.79,-3.35,3.38,91.89,0.01,11.34,144.84,2.65,NA_DEPOSIT
-130.8,56.83,196,16101,-58.56399999999999,40.735,0.027999999999999997,871,-60.71,40.6,2.28,29.77,5.89,-112.45,0.2,82.74,131,101,7.93,7.93,1.98,1.13,1.13,-2.25,-5.44,4.3,-94.02,-0.3,-4.29,33.65,0.03,0.61,103.88,2.47,NA_DEPOSIT
-130.25,56.5,193,16101,-59.466,41.706,0.028999999999999998,712,-61.71,41.57,2.33,29.14,5.88,-112.75,0.2,81.31,131,101,7.53,7.53,2.03,1.13,1.13,-2.28,-5.43,4.28,-93.69,-0.28,-4.27,37.23,0.03,0.32,102.77,2.48,NA_DEPOSIT
-127.02,57.37,197,16102,-55.568999999999996,39.685,0.063,913,-60.25,39.34,2.37,28.53,5.87,-111.93,0.2,83.3,131,101,7.13,7.13,2.09,1.13,1.13,-2.19,-5.45,4.3,-91.9,-0.14,-4.3,32.56,0.03,1.59,115.02,2.49,NA_DEPOSIT
-126.72,57.07,199,16102,-55.003,38.357,0.063,980,-59.56,38.02,2.42,27.95,5.86,-111.43,0.2,84.26,131,101,6.73,6.73,2.14,1.13,1.13,-2.14,-5.46,4.31,-90.52,-0.04,-4.31,32.02,0.03,0.08,112.2,2.48,NA_DEPOSIT
-129.45,55.55,196,16101,-58.556000000000004,39.251,0.026000000000000002,890,-60.45,39.02,2.47,27.39,5.86,-111.72,0.2,82.91,131,101,6.33,6.33,2.19,1.13,1.13,-2.17,-5.44,4.29,-90.18,-0.01,-4.29,33.93,0.03,2.04,117.9,2.5,NA_DEPOSIT
-121.37,52.25,197,16102,-54.924,33.644,0.071,959,-59.77,34.24,2.97,9.31,5.77,-123.13,0.19,97.22,131,101,1.99,1.99,2.94,0.48,0.48,-3.15,-4.83,4.33,-93.25,-0.25,-4.32,37.79,0.04,0.79,115.86,2.48,NA_DEPOSIT
-120.01,49.88,195,16107,-55.648,32.118,0.075,866,-60.59,33.28,3.21,8.63,5.71,-122.58,0.19,96.2,131,101,0.09,0.09,3.17,0.48,0.48,-3.08,-4.81,-4.31,-89.09,0.07,-4.31,42.98,0.05,0.31,114.6,2.48,NA_DEPOSIT
-118.68,49.13,34,16122,-130.196,63.868,0.015,207,-131.79,63.38,3.23,-71.95,1.97,-161.9,0.16,54.6,901,101,3.35,56.32,1.0,-3.07,3.07,-1.87,-0.61,3.79,-103.32,-0.87,-3.69,15.01,0.01,38.02,65.79,1.85,NA_DEPOSIT
-120.46,49.42,193,16102,-56.668,32.782,0.07,793,-61.21,34.01,3.23,-10.39,5.7,-141.85,0.2,114.3,131,101,0.1,24.15,3.18,-0.58,0.58,-4.48,-3.52,4.28,-108.01,-1.32,-4.07,44.81,0.05,1.45,117.27,2.48,NA_DEPOSIT
-129.17,54.2,17,173,-118.79799999999999,49.262,0.045,332,-122.64,48.85,4.37,-37.38,2.46,144.91,0.18,77.01,903,101,5.79,11.35,3.47,-2.65,2.65,-2.02,1.42,-1.91,-40.55,1.45,-1.24,9.05,0.02,45.94,56.28,1.46,NA_DEPOSIT
-126.53,54.48,18,173,-118.057,50.738,0.054000000000000006,320,-122.85,50.21,4.4,-36.72,2.45,145.21,0.18,76.21,903,101,4.56,12.59,3.53,-2.63,2.63,-2.01,1.4,-1.96,-39.34,1.51,-1.24,9.99,0.02,43.77,58.52,1.46,NA_DEPOSIT
-128.56,53.47,5,16110,-127.11200000000001,51.567,0.017,295,-128.33,50.98,4.43,11.22,2.23,162.18,0.17,45.36,903,101,0.97,14.42,4.35,0.86,0.86,-2.12,0.68,-2.71,34.67,2.23,1.54,2.05,0.01,5.43,45.41,1.12,NA_DEPOSIT
-127.6,52.27,6,16110,-126.684,51.395,0.015,298,-127.81,50.91,4.44,11.02,2.24,162.37,0.19,45.66,903,101,1.32,12.79,4.36,0.85,0.85,-2.13,0.68,-2.7,34.36,2.23,1.52,3.36,0.02,11.89,47.51,1.13,NA_DEPOSIT
-128.71,53.9,7,16110,-126.446,51.622,0.016,300,-127.65,51.08,4.45,10.82,2.24,162.5,0.17,45.67,903,101,1.32,14.6,4.37,0.84,0.84,-2.14,0.67,-2.7,33.98,2.24,1.51,3.02,0.02,8.57,46.99,1.14,NA_DEPOSIT
-127.2,52.35,15,16112,-160.274,57.527,0.027000000000000003,243,-159.26,56.07,4.62,-25.81,1.8,-140.81,0.19,336.58,901,111,10.83,10.83,4.16,-2.01,2.01,-1.4,-1.14,-4.2,-48.88,2.76,-3.17,34.28,0.05,46.34,97.43,2.09,NA_DEPOSIT
-128.38,54.0,6,16112,-157.178,57.983999999999995,0.034,252,-154.51,56.71,5.38,13.23,1.8,-129.3,0.16,314.96,901,111,7.25,7.25,5.24,1.23,1.23,-1.14,-1.39,-4.11,-2.41,4.11,-0.17,35.51,0.06,64.67,99.47,2.08,NA_DEPOSIT
-128.27,54.14,7,16112,-158.339,57.229,0.027999999999999997,244,-156.61,55.97,5.52,2.86,1.77,-138.66,0.15,323.59,901,111,8.75,8.75,5.51,0.27,0.27,-1.33,-1.17,-4.28,-12.26,4.18,-0.91,34.23,0.05,67.93,97.4,2.09,NA_DEPOSIT
-135.44,60.44,4,16112,-158.368,57.13399999999999,0.033,239,-156.47,55.59,5.56,2.02,1.76,-139.27,0.15,324.2,901,111,8.6,8.6,5.56,0.2,0.2,-1.33,-1.15,-4.34,-12.85,4.23,-0.97,43.9,0.06,49.88,111.62,2.19,NA_DEPOSIT
-129.62,53.05,8,16112,-159.36,57.113,0.03,243,-157.53,55.72,5.56,4.23,1.76,-136.88,0.18,321.52,901,111,9.42,9.42,5.55,0.41,0.41,-1.29,-1.2,-4.34,-10.71,4.27,-0.81,35.13,0.07,63.19,98.88,2.03,NA_DEPOSIT
-121.05,50.49,210,16102,-53.566,26.276999999999997,0.066,1226,-57.72,27.03,5.58,12.95,4.01,-122.18,0.19,102.81,131,101,0.09,0.09,5.44,1.25,1.25,-2.13,-3.39,-3.95,-32.79,3.32,-2.14,32.98,0.07,0.0,95.38,2.38,NA_DEPOSIT
