lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,conv_paral_abs,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,target
-72.56,-46.12,0,28800,-72.56,-46.12,0.036000000000000004,747,-75.56,-46.0,2.22,7.01,1.52,153.98,0.16,92.89,802,201,5.72,5.72,2.2,0.27,0.27,-1.36,0.67,-1.26,48.15,0.84,0.94,0.79,0.0,20.17,64.53,0.86,SA_VOLCANIC
-72.97,-45.9,0,283,-72.97,-45.9,0.031,750,-75.55,-45.84,2.23,6.99,1.52,154.05,0.16,92.89,802,201,5.88,5.88,2.21,0.27,0.27,-1.37,0.67,-1.26,48.09,0.84,0.94,0.79,0.0,20.17,64.53,0.86,SA_VOLCANIC
-70.5,-33.38,25,2901,-64.712,-33.191,0.033,835,-66.91,-32.92,8.55,-28.23,2.71,-172.79,0.2,95.4,902,201,23.17,23.17,7.53,-4.04,4.04,-2.69,-0.34,-6.54,-42.16,4.85,-4.39,55.52,0.13,5.77,126.58,2.28,SA_VOLCANIC
-70.67,-46.59,2,28800,-70.319,-46.483999999999995,0.06,725,-75.23,-46.07,8.69,-20.38,1.5,147.03,0.19,100.02,911,201,5.55,5.55,8.15,-3.03,3.03,-1.26,0.82,-7.23,-17.73,6.89,-2.2,1.95,0.02,13.64,65.47,0.8,SA_VOLCANIC
-70.13,-45.63,2,283,-69.78,-45.523999999999994,0.066,730,-75.19,-45.73,8.71,-13.26,1.51,154.28,0.16,92.89,911,201,5.88,5.88,8.47,-2.0,2.0,-1.36,0.66,-7.24,-10.62,7.12,-1.33,1.95,0.02,13.64,65.47,0.8,SA_VOLCANIC
-68.95,-45.26,3,283,-68.429,-45.103,0.081,728,-75.02,-45.55,8.71,0.82,1.51,168.34,0.11,79.0,911,201,6.01,6.01,8.71,0.12,0.12,-1.48,0.3,-7.25,3.46,7.23,0.44,2.71,0.02,6.23,67.08,0.73,SA_VOLCANIC
-70.13,-45.63,3,283,-69.60600000000001,-45.472,0.066,730,-75.01,-45.68,8.71,-13.09,1.5,154.4,0.16,92.9,911,201,5.88,5.88,8.48,-1.97,1.97,-1.36,0.65,-7.24,-10.45,7.12,-1.31,2.71,0.03,6.23,67.08,0.73,SA_VOLCANIC
-70.78,-44.72,2,283,-70.428,-44.614,0.061,726,-75.23,-45.49,8.72,0.65,1.52,168.25,0.11,79.02,911,201,6.13,6.13,8.72,0.1,0.1,-1.48,0.31,-7.24,3.28,7.23,0.41,7.48,0.03,13.64,79.31,0.8,SA_VOLCANIC
-72.98,-45.06,2,283,-72.624,-44.95399999999999,0.033,723,-75.27,-45.37,8.72,5.38,1.52,173.0,0.14,74.32,911,201,6.25,6.25,8.68,0.82,0.82,-1.51,0.19,-7.25,8.02,7.17,1.01,7.48,0.04,38.72,79.31,0.67,SA_VOLCANIC
-72.53,-44.3,2,283,-72.175,-44.193999999999996,0.039,722,-75.28,-43.83,8.78,-22.13,1.56,145.98,0.12,101.9,911,201,7.83,7.83,8.13,-3.31,3.31,-1.29,0.87,-7.27,-19.54,6.85,-2.43,13.3,0.04,85.57,61.63,1.14,SA_VOLCANIC
