conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
4.37,3.88,0.01,23.94,0.73
5.91,11.41,0.09,37.06,2.21
4.76,0.1,0.06,88.12,1.87
1.43,0.09,0.0,63.23,1.23
7.7,5.16,0.08,104.14,1.67
4.38,1.5,0.01,10.07,0.73
6.24,15.28,0.1,34.3,2.18
4.76,0.1,0.06,88.12,1.87
5.05,2.77,0.07,75.8,2.04
4.76,0.1,0.06,88.12,1.87
5.23,4.49,0.07,68.81,2.06
6.18,0.47,0.05,83.11,1.44
7.14,0.85,0.06,100.17,1.66
4.37,4.99,0.02,51.1,1.05
-4.72,0.67,0.0,30.84,1.66
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.38,3.13,0.02,23.94,1.11
4.38,4.38,0.02,43.73,1.11
4.38,0.27,0.01,7.81,0.7
4.38,4.38,0.02,43.73,1.11
-4.76,0.1,0.0,30.84,1.64
5.67,8.9,0.07,41.87,2.22
5.91,11.41,0.09,37.06,2.21
6.27,15.67,0.1,34.3,2.18
6.11,13.71,0.09,33.68,2.19
6.59,15.02,0.08,35.3,2.18
6.4,17.23,0.1,34.94,2.18
6.73,12.73,0.09,35.93,2.18
6.68,13.49,0.09,35.63,2.18
6.76,12.15,0.09,37.14,2.18
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.79,0.29,0.06,81.86,1.93
4.76,0.1,0.06,88.12,1.87
4.91,1.43,0.06,81.86,2.0
4.85,0.86,0.06,81.86,1.93
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
5.39,6.03,0.07,66.3,2.09
5.49,7.09,0.07,66.3,2.14
5.31,5.26,0.07,68.81,2.06
5.01,2.39,0.07,81.86,2.0
5.15,3.73,0.07,75.8,2.04
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.51,0.47,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
4.97,4.24,0.02,25.74,0.9
1.43,0.09,0.0,63.23,1.23
6.18,0.47,0.05,83.11,1.44
5.71,2.37,0.04,77.0,1.38
7.68,4.97,0.08,104.14,1.67
7.43,3.0,0.08,99.97,1.66
7.4,2.8,0.08,99.97,1.66
7.97,7.28,0.08,109.65,1.68
7.94,7.09,0.08,107.42,1.66
7.92,6.9,0.08,107.42,1.66
7.03,0.09,0.06,90.98,1.65
7.03,0.09,0.06,90.98,1.65
7.43,3.0,0.08,99.97,1.66
7.14,0.85,0.06,100.17,1.66
4.37,4.62,0.02,51.1,0.62
4.36,2.05,0.02,26.44,1.6
4.36,2.25,0.02,26.44,1.6
-4.76,0.1,0.0,30.84,1.64
4.35,1.06,0.02,33.11,1.6
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.38,1.67,0.01,10.07,0.73
4.37,0.09,0.01,7.81,0.7
4.37,5.51,0.02,45.4,1.05
4.38,6.03,0.02,45.62,1.09
4.38,4.38,0.02,43.73,1.11
4.38,3.13,0.02,23.94,1.11
4.38,1.15,0.01,7.81,0.73
4.38,2.36,0.02,10.07,0.94
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.38,4.38,0.02,43.73,1.11
4.38,3.84,0.02,43.73,1.11
4.38,6.03,0.02,45.62,1.09
4.38,6.03,0.02,45.62,1.09
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
4.35,1.85,0.02,33.11,1.6
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
4.37,3.53,0.01,23.94,0.73
5.63,8.44,0.07,42.53,2.22
5.7,9.24,0.09,41.87,2.22
5.76,9.81,0.09,41.87,2.21
5.91,11.41,0.09,37.06,2.21
5.78,10.01,0.09,41.87,2.21
5.98,12.17,0.09,37.46,2.19
6.11,13.71,0.09,33.68,2.19
5.98,12.17,0.09,37.46,2.19
6.19,14.69,0.1,34.17,2.18
6.26,15.47,0.1,34.3,2.18
6.18,14.49,0.1,33.91,2.18
6.19,14.69,0.1,34.17,2.18
6.62,14.45,0.08,35.49,2.18
6.48,16.56,0.1,34.94,2.16
6.54,15.79,0.1,34.52,2.16
6.47,16.76,0.1,34.94,2.16
6.48,16.56,0.1,34.94,2.16
6.32,16.26,0.1,34.3,2.18
6.34,16.46,0.1,34.44,2.18
6.41,17.42,0.1,34.94,2.16
5.99,12.36,0.09,37.46,2.19
5.98,12.17,0.09,37.46,2.19
6.18,14.49,0.1,33.91,2.18
6.1,13.51,0.09,33.68,2.19
6.24,15.28,0.1,34.3,2.18
6.64,14.26,0.08,35.49,2.18
6.61,14.64,0.08,35.3,2.18
