lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-127.85,50.68,188,16110,-70.297,43.824,0.03,373,-68.0,44.39,8.78,41.17,9.14,174.78,0.19,254.79,101,16111,11.92,12.19,6.61,5.78,-9.1,0.83,7.05,110.71,-2.49,6.6,88.77,0.13,8.66,144.28,2.75
-157.24,57.05,9,16112,-157.144,58.458,0.034,256,-154.64,57.07,5.34,14.86,1.81,-127.87,0.18,313.58,901,111,7.42,7.42,5.16,1.37,-1.11,-1.43,-4.06,-1.06,4.06,-0.08,36.39,0.06,55.17,100.81,1.99
-127.58,50.33,104,16110,-85.34200000000001,54.18899999999999,0.005,457,-85.75,54.02,8.76,0.82,4.93,-114.01,0.19,62.64,902,101,15.09,43.12,8.76,0.13,-2.01,-4.5,-8.03,-33.0,6.73,-4.37,69.22,0.16,31.7,139.18,2.2
-127.5,50.38,14,16110,-125.15,52.824,0.016,308,-126.39,52.29,4.45,-7.79,2.36,172.24,0.17,45.86,903,101,1.32,15.82,4.41,-0.6,-2.34,0.32,-2.08,-8.01,2.06,-0.29,7.89,0.02,11.28,54.46,1.43
-158.41,56.15,43,16112,-152.033,61.292,0.027999999999999997,102,-150.04,60.05,10.35,-1.15,-1.47,-61.73,0.15,322.74,918,111,9.86,9.86,10.35,-0.21,0.7,-1.29,-11.15,-7.83,11.05,-1.52,29.1,0.09,16.76,89.05,1.96
-122.08,46.36,2,173,-121.75200000000001,46.713,0.044000000000000004,322,-125.34,46.1,4.4,-16.81,2.3,134.55,0.18,76.53,903,101,5.97,7.77,4.21,-1.27,-1.61,1.64,-2.62,7.95,2.6,0.36,9.32,0.03,40.14,56.8,1.34
-121.64,47.68,119,173,-71.455,47.169,0.05,473,-75.44,48.15,15.93,-7.78,5.6,-168.94,0.19,110.04,902,101,18.15,40.06,15.79,-2.16,-5.5,-1.07,-10.79,-17.64,10.28,-3.27,90.86,0.31,28.28,155.21,2.71
-120.98,48.2,116,173,-72.425,48.269,0.057,481,-77.09,49.46,15.88,-7.89,5.5,-169.08,0.19,109.83,902,101,17.58,40.63,15.73,-2.18,-5.4,-1.04,-10.83,-17.52,10.33,-3.26,86.64,0.31,32.32,149.78,2.59
-121.37,47.5,177,173,-58.226000000000006,39.037,0.061,538,-62.26,40.6,10.32,-32.03,1.95,-160.81,0.2,114.8,902,101,0.88,22.76,8.75,-5.48,-1.84,-0.64,-9.23,-41.52,6.91,-6.12,72.68,0.17,6.73,124.99,2.54
-130.48,55.4,83,16124,-101.12200000000001,64.234,0.046,210,-106.36,62.99,6.77,13.04,4.74,-132.8,0.2,61.3,918,101,9.76,48.45,6.59,1.53,-3.22,-3.48,-3.92,-30.26,3.39,-1.98,62.01,0.12,27.35,133.65,2.55
