conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent,label
8.78,11.92,0.13,8.66,2.75,False
5.34,7.42,0.06,55.17,1.99,False
8.76,15.09,0.16,31.7,2.2,False
4.45,1.32,0.02,11.28,1.43,False
10.35,9.86,0.09,16.76,1.96,False
4.4,5.97,0.03,40.14,1.34,False
15.93,18.15,0.31,28.28,2.71,False
15.88,17.58,0.31,32.32,2.59,False
10.32,0.88,0.17,6.73,2.54,False
6.77,9.76,0.12,27.35,2.55,False
1.5,0.09,0.0,15.56,2.73,False
15.64,3.05,0.23,29.67,2.68,False
6.54,8.77,0.12,16.02,2.7,False
8.17,16.44,0.14,41.77,2.17,False
9.18,0.09,0.08,50.45,1.97,False
10.09,20.25,0.14,33.91,2.5,False
10.68,16.44,0.19,34.86,2.42,False
10.56,4.57,0.21,11.94,2.84,False
11.45,1.34,0.23,10.24,2.66,False
13.28,11.83,0.13,37.53,2.32,False
1.83,9.25,0.04,17.56,2.71,False
9.31,6.11,0.0,32.08,1.64,False
1.84,8.66,0.04,17.12,2.71,False
10.35,5.11,0.2,9.72,2.53,False
9.89,6.78,0.19,13.03,2.83,False
8.41,12.35,0.14,44.15,2.11,False
13.76,16.44,0.25,28.02,2.58,False
6.01,0.09,0.04,49.24,1.7,False
4.46,14.88,0.09,5.18,0.76,False
7.69,2.64,0.02,22.4,1.22,False
6.96,15.36,0.14,15.79,2.71,False
10.65,7.68,0.2,16.97,2.71,False
8.83,0.0,0.0,6.51,2.79,False
15.58,11.79,0.24,44.43,2.32,False
6.81,12.84,0.13,15.87,2.71,False
6.15,4.74,0.08,0.0,2.53,False
12.64,16.24,0.21,13.38,2.27,False
5.72,4.28,0.1,0.05,2.52,False
7.32,0.95,0.01,33.21,1.16,False
15.54,10.36,0.26,19.91,2.52,False
2.52,3.11,0.03,0.25,1.0,False
3.1,2.58,0.06,19.89,2.68,False
11.78,11.79,0.2,29.96,2.54,False
4.46,0.09,0.02,27.81,1.21,False
9.52,10.15,0.15,39.51,2.08,False
14.72,16.44,0.27,16.96,2.57,False
15.91,18.18,0.29,23.07,2.63,False
10.51,14.37,0.19,17.44,2.71,False
15.77,16.44,0.29,22.13,2.67,False
12.25,20.66,0.03,11.49,1.16,False
8.55,0.04,0.05,2.86,2.67,False
8.83,1.76,0.19,4.24,2.51,False
12.41,18.37,0.21,14.81,2.53,False
9.32,18.87,0.07,5.11,1.8,False
