lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-158.4,56.52,19.0,16112.0,-157.702,59.48,0.033,240.0,-155.57,57.97,4.36,-8.81,1.88,-125.59,0.15,322.36,901.0,111.0,9.5,9.5,4.31,-0.67,-1.1,-1.53,-3.9,-34.46,3.22,-2.21,32.94,0.04,39.55,95.34,2.09
-127.85,50.68,211.0,16110.0,-91.78200000000001,34.36,0.03,353.0,-90.01,35.32,4.42,10.23,9.23,174.44,0.19,240.34,131.0,16111.0,13.33,13.33,4.35,0.78,-9.19,0.89,5.12,161.03,-4.84,1.66,122.92,0.09,1.19,156.32,0.77
-157.24,57.05,30.0,16112.0,-154.498,61.34,0.034,147.0,-151.48,60.11,3.47,42.68,-1.73,-87.33,0.16,313.54,901.0,111.0,8.16,8.16,2.55,2.35,0.08,-1.73,-2.71,13.24,2.64,0.62,28.57,0.02,29.08,88.14,1.98
-127.58,50.33,13.0,16110.0,-125.45200000000001,52.607,0.015,309.0,-126.6,52.12,4.44,-7.66,2.36,172.11,0.17,45.81,903.0,101.0,1.32,15.82,4.4,-0.59,-2.34,0.32,-2.08,-7.59,2.06,-0.27,5.42,0.02,11.26,50.7,1.34
-158.41,56.15,147.0,16112.0,-85.92399999999999,61.65,0.102,381.0,-73.57,62.64,1.39,-28.41,2.74,-94.12,0.19,88.72,902.0,16111.0,6.34,23.12,1.23,-0.66,-0.2,-2.73,-3.54,-73.18,1.03,-3.39,91.78,0.02,34.08,151.09,2.69
-160.68,55.63,173.0,16112.0,-87.64399999999999,60.871,0.122,254.0,-73.31,62.76,9.79,-6.22,1.87,-131.58,0.19,80.43,902.0,16111.0,4.8,22.63,9.74,-1.06,-1.24,-1.4,-8.84,-16.17,8.49,-2.46,102.46,0.2,15.57,153.45,2.8
-127.5,50.38,31.0,16110.0,-120.727,54.858000000000004,0.006,274.0,-121.11,54.57,9.13,14.48,2.11,-159.49,0.19,43.24,903.0,101.0,14.14,46.19,8.84,2.28,-1.98,-0.74,-7.04,12.86,6.86,1.57,19.41,0.09,44.13,73.14,1.96
-158.41,56.15,99.0,16112.0,-121.545,66.699,0.069,206.0,-118.68,70.51,5.31,40.98,4.73,-93.39,0.19,16.38,902.0,182.0,7.73,7.73,4.01,3.48,-0.28,-4.72,-3.9,-18.54,3.7,-1.24,23.34,0.04,24.83,79.81,2.11
-159.42,55.89,93.0,16112.0,-129.618,66.85300000000001,0.073,186.0,-128.58,71.03,16.39,38.86,4.67,-94.28,0.19,7.95,926.0,182.0,8.5,8.5,12.76,10.28,-0.35,-4.65,-13.65,24.27,12.45,5.61,17.08,0.12,14.88,69.27,1.96
-159.42,55.89,115.0,16112.0,-107.46700000000001,64.98899999999999,0.073,218.0,-103.16,68.83,14.27,58.78,-4.66,-89.11,0.19,25.47,902.0,182.0,8.31,8.31,7.4,12.2,0.07,-4.66,-10.61,45.09,7.49,7.51,38.64,0.1,119.08,104.15,2.4
-160.68,55.64,209.0,16112.0,-113.495,44.706,0.212,263.0,-96.56,48.38,8.58,-22.46,9.0,-173.76,0.18,223.7,131.0,16111.0,0.09,0.09,7.92,-3.28,-8.95,-0.98,4.34,-103.66,-1.02,-4.22,125.79,0.16,2.22,159.95,0.78
