conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
4.52,-10.74,1.83,-126.66,0.15,8.6,4.44,-0.84,-1.09,-1.47,-4.08,-34.68,3.35,-2.32,37.27,49.66,102.11,2.05,False
10.05,11.69,9.24,174.52,0.19,14.65,9.84,2.04,-9.2,0.88,-3.07,77.78,0.65,3.0,94.99,6.48,150.51,2.01,False
6.55,5.82,3.66,-104.18,0.19,7.16,6.52,0.66,-0.9,-3.54,-6.29,-27.43,5.59,-2.9,26.59,127.12,85.22,2.25,False
10.45,-23.36,2.94,129.7,0.19,5.89,9.59,-4.14,-1.88,2.26,-7.94,-13.97,7.71,-1.92,94.93,12.23,154.62,2.84,False
14.3,15.5,3.04,-116.63,0.19,7.73,13.78,3.82,-1.36,-2.72,-12.48,4.95,12.44,1.08,39.64,11.03,105.5,2.09,False
9.84,-6.06,1.87,-131.33,0.19,4.88,9.78,-1.04,-1.24,-1.41,-8.88,-15.99,8.54,-2.45,136.37,11.61,158.33,2.04,False
10.43,-7.09,4.67,-138.49,0.19,15.09,10.35,-1.29,-3.5,-3.09,-8.12,-32.72,6.83,-4.39,69.56,32.91,140.31,2.39,False
7.77,-46.62,3.77,174.31,0.15,0.07,5.34,-5.65,-3.75,0.37,-5.5,-73.21,1.59,-5.27,100.0,23.2,157.9,2.73,False
-7.95,92.53,-7.02,-18.75,0.19,4.88,-0.35,7.94,6.65,-2.26,-8.47,41.98,6.29,5.66,118.66,52.2,272.12,2.76,False
14.35,15.45,3.03,-116.25,0.19,8.31,13.83,3.82,-1.34,-2.72,-12.55,4.92,12.5,1.08,41.93,12.16,108.81,2.15,False
3.98,5.45,1.69,-105.71,0.15,11.23,3.96,0.38,-0.46,-1.63,-3.73,-19.72,3.51,-1.26,28.51,33.53,88.18,2.03,False
6.19,6.15,3.62,-102.02,0.19,8.69,6.16,0.66,-0.75,-3.54,-6.1,-28.37,5.37,-2.9,18.43,43.0,71.41,2.09,False
18.61,-24.05,4.76,-168.37,0.19,18.03,16.99,-7.58,-4.67,-0.96,-15.0,-34.74,12.33,-8.55,96.86,20.7,149.41,2.57,False
