conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
5.56,2.02,1.76,-139.27,0.15,8.6,5.56,0.2,-1.33,-1.15,-4.34,-12.85,4.23,-0.97,43.9,49.88,111.62,2.19,True
4.43,11.22,2.23,162.18,0.17,0.97,4.35,0.86,-2.12,0.68,-2.71,34.67,2.23,1.54,2.05,5.43,45.41,1.12,True
5.38,13.23,1.8,-129.3,0.16,7.25,5.24,1.23,-1.14,-1.39,-4.11,-2.41,4.11,-0.17,35.51,64.67,99.47,2.08,True
4.44,11.02,2.24,162.37,0.19,1.32,4.36,0.85,-2.13,0.68,-2.7,34.36,2.23,1.52,3.36,11.89,47.51,1.13,True
5.52,2.86,1.77,-138.66,0.15,8.75,5.51,0.27,-1.33,-1.17,-4.28,-12.26,4.18,-0.91,34.23,67.93,97.4,2.09,True
5.67,-4.34,1.73,-144.75,0.15,10.33,5.66,-0.43,-1.42,-1.0,-4.48,-18.78,4.25,-1.44,35.84,65.57,99.77,2.12,True
4.45,10.82,2.24,162.5,0.17,1.32,4.37,0.84,-2.14,0.67,-2.7,33.98,2.24,1.51,3.02,8.57,46.99,1.14,True
5.52,2.86,1.77,-138.66,0.15,8.75,5.51,0.27,-1.33,-1.17,-4.28,-12.26,4.18,-0.91,34.23,67.93,97.4,2.09,True
5.56,4.23,1.76,-136.88,0.18,9.42,5.55,0.41,-1.29,-1.2,-4.34,-10.71,4.27,-0.81,35.13,63.19,98.88,2.03,True
5.56,4.23,1.76,-136.88,0.18,9.42,5.55,0.41,-1.29,-1.2,-4.34,-10.71,4.27,-0.81,35.13,63.19,98.88,2.03,True
5.65,-4.06,1.74,-144.59,0.15,10.33,5.64,-0.4,-1.42,-1.01,-4.46,-18.6,4.23,-1.42,33.63,67.0,96.27,2.08,True
