lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-69.37,-31.3,84.0,202.0,-51.063,-33.510999999999996,0.046,1094.0,-54.18,-33.03,2.92,-56.78,2.36,-128.5,0.2,98.23,904.0,201.0,28.93,28.93,1.6,-2.44,-1.47,-1.85,-4.3,-88.04,0.15,-4.3,53.29,0.03,24.81,124.15,2.43
-69.75,-30.5,133.0,202.0,-44.082,-37.595,0.039,1100.0,-46.91,-37.33,7.51,-54.77,-4.06,-8.41,0.2,98.38,919.0,201.0,5.6,5.6,4.33,-6.13,4.01,-0.59,-10.74,-38.97,8.35,-6.75,47.02,0.07,34.6,116.74,2.25
-66.65,-27.27,28.0,202.0,-60.106,-27.191,0.077,907.0,-65.04,-26.74,11.89,-20.01,2.81,-172.95,0.2,95.15,902.0,201.0,27.52,27.52,11.17,-4.07,-2.79,-0.34,-9.48,-27.8,8.39,-4.42,81.56,0.22,13.04,148.41,2.45
-66.61,-27.33,79.0,202.0,-48.897,-28.980999999999998,0.078,1116.0,-53.92,-28.29,-3.14,112.9,2.05,-150.11,0.2,97.59,902.0,201.0,27.43,33.23,-1.22,2.89,-1.78,-1.02,3.52,148.31,-2.99,1.85,19.48,0.0,28.73,97.08,2.29
-66.55,-27.4,169.0,202.0,-42.43899999999999,-29.250999999999998,0.079,1035.0,-47.52,-28.44,8.33,-60.65,6.44,92.08,0.14,98.52,919.0,201.0,9.2,9.2,4.08,-7.26,-0.23,6.43,-3.96,-12.0,3.88,-0.82,10.65,0.02,0.0,68.12,1.58
-66.57,-27.28,117.0,202.0,-39.969,-33.001,0.078,1134.0,-45.28,-32.49,10.28,-7.66,4.02,171.64,0.2,96.11,908.0,201.0,24.6,30.72,10.19,-1.37,-3.98,0.58,-6.26,-7.31,6.21,-0.8,27.77,0.12,22.86,98.41,2.36
-67.9,-26.3,53.0,202.0,-54.748999999999995,-26.764,0.055999999999999994,1183.0,-58.36,-26.53,5.72,25.9,2.42,153.85,0.2,94.33,902.0,201.0,37.53,38.51,5.15,2.5,-2.17,1.07,-4.62,50.14,2.96,3.55,83.1,0.1,26.2,149.23,2.54
-70.58,-38.25,153.0,283.0,-47.083,-48.074,0.055999999999999994,1126.0,-51.84,-48.55,10.07,-2.38,1.92,127.92,0.16,82.24,919.0,291.0,5.18,16.44,10.06,-0.42,-1.18,1.51,-8.96,7.03,8.89,1.1,74.17,0.16,25.01,143.87,2.64
-69.17,-30.0,1.0,202.0,-68.992,-29.947,0.048,853.0,-72.12,-29.69,9.03,-17.6,1.83,155.46,0.2,95.83,911.0,201.0,22.37,22.37,8.61,-2.73,-1.67,0.76,-7.22,-15.78,6.95,-1.96,40.99,0.13,53.11,107.64,2.03
-70.05,-31.95,18.0,202.0,-66.227,-31.486,0.037000000000000005,880.0,-68.7,-31.25,13.14,-20.44,2.52,178.02,0.2,95.7,911.0,201.0,23.35,23.35,12.31,-4.59,-2.52,0.09,-10.77,-24.61,9.8,-4.49,58.16,0.21,16.1,129.27,2.23
-66.6,-24.13,70.0,202.0,-50.418,-24.781999999999996,0.07400000000000001,1131.0,-55.09,-24.46,4.36,6.86,2.1,-156.58,0.2,96.31,902.0,201.0,26.69,37.45,4.33,0.52,-1.93,-0.84,-2.43,-7.73,2.41,-0.33,60.16,0.07,29.43,131.78,2.44
-70.45,-31.76,72.0,202.0,-54.049,-32.573,0.031,1085.0,-56.12,-32.3,1.57,15.54,1.83,-151.31,0.2,96.79,902.0,201.0,29.29,29.29,1.51,0.42,-1.6,-0.88,0.48,-100.16,-0.08,-0.47,0.44,0.0,21.98,43.18,1.14
-66.22,-27.38,73.0,202.0,-49.538999999999994,-28.351,0.084,1121.0,-54.93,-27.66,2.64,10.89,2.01,-153.52,0.2,96.84,902.0,201.0,28.83,33.92,2.59,0.5,-1.8,-0.9,-0.89,-27.55,0.79,-0.41,59.17,0.04,24.32,127.76,0.86
-66.76,-25.14,138.0,202.0,-42.693999999999996,-32.497,0.073,1121.0,-47.58,-31.87,3.64,-71.15,-3.84,-9.39,0.2,100.3,919.0,201.0,11.14,11.14,1.17,-3.44,3.79,-0.63,-6.44,-39.5,4.97,-4.09,36.29,0.02,30.59,100.68,2.17
-70.63,-39.18,121.0,283.0,-42.717,-45.065,0.057,1046.0,-47.16,-44.34,11.88,-17.14,2.46,-115.7,0.17,103.92,919.0,201.0,18.41,18.41,11.36,-3.5,-1.07,-2.22,-11.75,-29.11,10.26,-5.72,59.94,0.17,23.3,131.59,2.39
-67.75,-29.0,28.0,202.0,-61.178999999999995,-28.934,0.067,897.0,-65.33,-27.84,11.75,-29.21,2.79,178.19,0.19,104.14,902.0,201.0,26.39,26.39,10.26,-5.74,-2.79,0.09,-9.37,-37.14,7.47,-5.66,80.43,0.19,11.68,147.76,2.47
