conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
7.81,-19.42,-1.14,-68.9,0.2,4.96,7.36,-2.6,0.41,-1.07,-8.58,-25.39,7.76,-3.68,43.44,41.63,111.38,2.31,False
9.95,-33.8,-4.07,-8.27,0.2,5.54,8.27,-5.54,4.03,-0.59,-13.76,-26.6,12.3,-6.16,45.29,32.06,113.88,2.22,False
8.45,-24.74,1.88,105.97,0.2,9.22,7.67,-3.53,-0.52,1.8,-7.37,-13.59,7.16,-1.73,35.87,37.28,100.06,2.23,False
8.55,-57.9,6.44,92.08,0.2,9.22,4.54,-7.24,-0.23,6.43,-4.41,-10.52,4.34,-0.81,29.18,0.07,63.66,1.97,False
7.68,-61.31,-3.9,-9.49,0.2,24.8,3.69,-6.74,3.84,-0.64,-10.57,-44.5,7.54,-7.41,42.51,44.23,109.96,2.3,False
9.01,-17.74,1.87,156.17,0.2,25.43,8.59,-2.75,-1.71,0.76,-7.16,-16.09,6.88,-1.98,49.14,40.8,118.91,2.19,False
2.91,9.04,2.03,-155.06,0.2,28.53,2.88,0.46,-1.84,-0.86,-1.12,-21.57,1.04,-0.41,44.26,30.23,112.47,2.43,False
8.73,9.02,1.6,-138.45,0.16,21.51,8.62,1.37,-1.2,-1.06,-7.43,2.41,7.42,0.31,5.24,34.43,75.92,1.89,False
8.8,-22.94,1.88,107.29,0.2,6.17,8.11,-3.43,-0.56,1.8,-7.73,-12.2,7.56,-1.63,41.57,42.52,108.66,2.3,False
2.62,8.92,3.87,-159.0,0.2,29.87,2.59,0.41,-3.61,-1.39,1.43,-134.89,-1.01,-1.01,6.96,14.57,50.0,0.81,False
11.84,3.05,2.43,-126.7,0.2,23.06,11.83,0.63,-1.45,-1.95,-10.47,-7.28,10.38,-1.33,29.34,31.71,89.57,2.22,False
12.41,-18.42,3.86,171.13,0.19,25.89,11.78,-3.92,-3.81,0.6,-8.63,-22.43,7.97,-3.29,46.27,3.53,90.85,2.04,False
14.06,-8.53,4.11,167.0,0.2,25.92,13.9,-2.09,-4.01,0.93,-9.96,-6.73,9.89,-1.17,32.49,24.3,94.66,2.3,False
6.02,24.53,2.45,154.16,0.2,36.17,5.48,2.5,-2.2,1.07,-4.82,47.4,3.26,3.55,81.99,26.2,148.07,2.54,False
7.98,-37.73,2.59,-179.46,0.17,17.81,6.31,-4.88,-2.59,-0.02,-6.17,-52.83,3.73,-4.92,42.97,24.77,110.38,2.05,False
6.13,-22.25,1.99,-100.45,0.19,7.86,5.67,-2.32,-0.36,-1.95,-6.8,-39.03,5.28,-4.28,42.37,43.34,107.65,2.16,False
9.27,-12.41,2.43,-127.81,0.2,22.78,9.05,-1.99,-1.49,-1.92,-8.53,-27.37,7.57,-3.92,33.06,36.41,89.69,2.32,False
1.46,19.69,1.83,-149.04,0.2,28.08,1.37,0.49,-1.57,-0.94,0.5,-111.76,-0.18,-0.46,1.59,6.46,44.8,1.26,False
10.87,-11.7,2.91,-137.41,0.2,25.12,10.64,-2.2,-2.14,-1.97,-9.45,-26.11,8.48,-4.16,50.17,62.25,120.35,2.04,False
12.61,-26.23,-4.11,-26.83,0.19,1.69,11.31,-5.57,3.67,-1.86,-16.73,-26.75,14.94,-7.53,59.65,37.81,130.52,2.38,False
9.79,-46.17,-2.1,-21.66,0.2,24.79,6.78,-7.06,1.95,-0.77,-11.74,-41.92,8.73,-7.84,55.1,22.57,126.32,2.3,False
12.46,-18.77,3.83,171.49,0.19,25.22,11.8,-4.01,-3.78,0.57,-8.72,-23.02,8.02,-3.41,8.7,9.38,49.19,1.35,False
4.98,-27.37,-1.26,-56.64,0.2,11.72,4.42,-2.29,0.69,-1.06,-6.11,-33.39,5.1,-3.36,30.16,40.65,91.5,2.24,False
9.47,-39.69,2.34,-102.26,0.2,21.88,7.28,-6.05,-0.5,-2.28,-10.73,-50.97,6.75,-8.33,48.65,33.36,118.35,2.01,False
8.39,-12.99,2.42,-126.52,0.2,26.43,8.18,-1.89,-1.44,-1.94,-7.77,-29.61,6.75,-3.84,45.21,30.32,113.82,2.44,False
14.93,31.62,4.28,-152.59,0.2,18.44,12.72,7.83,-3.8,-1.97,-10.67,33.26,8.92,5.85,27.49,33.44,86.5,2.22,False
9.18,11.35,2.38,-100.98,0.18,19.03,9.0,1.81,-0.45,-2.34,-8.59,-3.58,8.57,-0.54,34.79,33.17,97.59,2.26,False
6.89,27.82,2.52,162.16,0.17,31.98,6.1,3.22,-2.4,0.77,-5.42,47.16,3.68,3.97,77.99,31.33,146.32,2.5,False
9.35,4.41,2.38,-109.61,0.18,20.52,9.33,0.72,-0.8,-2.24,-8.67,-10.15,8.54,-1.53,30.78,36.22,91.2,2.17,False
8.45,-41.16,6.44,110.05,0.18,14.17,6.36,-5.56,-2.21,6.05,-4.21,6.88,4.18,0.5,19.43,1.9,51.9,1.22,False
7.01,45.64,2.54,-179.06,0.18,31.26,4.9,5.01,-2.54,-0.04,-5.48,64.5,2.36,4.95,77.99,31.33,146.32,2.5,False
5.71,-2.83,2.38,-111.53,0.18,21.01,5.7,-0.28,-0.87,-2.22,-5.46,-27.32,4.85,-2.51,41.15,36.1,107.96,2.3,False
7.42,-17.32,2.37,-126.85,0.2,28.94,7.08,-2.21,-1.42,-1.9,-7.01,-35.97,5.68,-4.12,45.26,33.26,113.81,2.37,False
5.23,-20.72,2.38,-128.95,0.2,23.43,4.89,-1.85,-1.5,-1.85,-5.05,-47.41,3.41,-3.71,47.09,38.7,116.28,2.34,False
14.61,-6.98,4.22,168.62,0.18,21.48,14.51,-1.77,-4.14,0.83,-10.41,-5.24,10.37,-0.95,28.4,32.34,89.47,2.27,False
9.11,-24.69,2.36,-112.91,0.19,24.55,8.28,-3.81,-0.92,-2.17,-9.46,-39.18,7.33,-5.98,48.07,32.41,117.59,2.05,False
9.02,-42.0,-3.75,-8.77,0.18,12.91,6.71,-6.04,3.71,-0.57,-12.36,-32.55,10.42,-6.65,33.01,39.29,95.53,2.05,False
13.98,-17.47,4.1,158.07,0.19,26.49,13.34,-4.2,-3.8,1.53,-9.9,-15.68,9.53,-2.68,32.49,24.3,94.66,2.3,False
5.42,8.35,2.56,-167.48,0.17,31.98,5.36,0.79,-2.5,-0.55,-2.88,4.21,2.87,0.21,85.23,27.33,150.41,2.51,False
11.9,2.76,2.43,-126.92,0.2,23.07,11.88,0.57,-1.46,-1.94,-10.52,-7.52,10.43,-1.38,29.67,36.68,90.13,2.23,False
8.39,-58.47,6.44,93.66,0.18,13.81,4.39,-7.15,-0.41,6.43,-4.07,-10.23,4.01,-0.72,17.9,0.0,65.77,1.76,False
5.22,18.78,2.55,-157.51,0.18,33.02,4.94,1.68,-2.36,-0.98,-2.68,14.78,2.59,0.68,85.23,27.33,150.41,2.55,False
8.43,-55.77,-1.73,-26.55,0.18,19.77,4.74,-6.97,1.55,-0.77,-9.98,-50.91,6.29,-7.75,36.82,23.61,101.43,2.15,False
9.53,4.48,1.83,-146.04,0.2,27.01,9.5,0.74,-1.52,-1.02,-7.99,-1.94,7.99,-0.27,1.27,43.34,44.37,1.29,False
11.35,29.5,4.26,-151.12,0.2,18.17,9.88,5.59,-3.73,-2.06,-7.09,29.79,6.16,3.52,32.51,1.54,94.72,2.2,False
5.0,18.4,2.62,-154.32,0.18,33.2,4.74,1.58,-2.36,-1.13,-2.43,10.03,2.39,0.42,87.31,26.65,151.45,2.54,False
5.75,-26.51,1.87,105.8,0.2,9.81,5.14,-2.56,-0.51,1.8,-4.7,-9.32,4.64,-0.76,33.11,16.88,95.72,2.21,False
5.48,-21.06,2.38,-127.6,0.18,22.04,5.12,-1.97,-1.45,-1.89,-5.34,-46.42,3.68,-3.87,43.81,38.86,110.43,2.31,False
11.99,-44.12,0.73,-179.54,0.19,29.29,8.61,-8.35,-0.73,-0.01,-11.47,-46.5,7.9,-8.32,0.18,0.0,42.74,0.49,False
6.79,-65.63,-3.72,-8.94,0.18,13.31,2.8,-6.18,3.68,-0.58,-9.39,-46.31,6.48,-6.79,33.76,41.91,96.7,1.94,False
10.76,-22.23,2.85,-173.34,0.2,32.74,9.96,-4.07,-2.83,-0.33,-8.38,-31.73,7.13,-4.41,87.48,4.76,151.51,2.4,False
8.54,-57.99,6.44,92.11,0.2,9.42,4.53,-7.24,-0.24,6.43,-4.39,-10.57,4.32,-0.81,29.18,0.07,63.66,1.97,False
3.01,28.5,1.3,-174.04,0.2,35.58,2.64,1.43,-1.3,-0.14,-1.86,43.98,1.34,1.29,68.64,27.47,139.59,2.46,False
8.53,-15.16,2.38,-127.31,0.2,22.89,8.24,-2.23,-1.44,-1.89,-7.97,-31.29,6.81,-4.14,38.54,36.25,104.07,2.29,False
10.02,-15.97,3.95,163.4,0.19,25.9,9.64,-2.76,-3.79,1.13,-6.07,-15.66,5.85,-1.64,43.43,24.91,109.91,2.37,False
10.28,-16.98,4.02,162.36,0.19,24.9,9.83,-3.0,-3.83,1.22,-6.26,-16.66,5.99,-1.79,26.61,23.64,95.52,2.28,False
