conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,dist_nearest_edge,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
3.83,-10.85,-0.46,-6.57,0.2,4.98,3.76,-0.72,0.45,-0.05,-4.28,-10.39,4.21,-0.77,18.69,0.0,74.44,2.12,True
11.88,-12.51,2.56,177.24,0.2,22.38,11.6,-2.57,-2.55,0.12,-9.37,-15.11,9.05,-2.44,63.65,16.71,135.08,2.24,True
10.87,-14.77,1.85,157.04,0.2,25.6,10.51,-2.77,-1.71,0.72,-9.04,-13.05,8.81,-2.04,73.67,20.21,143.37,2.45,True
10.87,-14.81,1.86,156.89,0.2,25.65,10.51,-2.78,-1.71,0.73,-9.04,-13.07,8.81,-2.04,71.03,17.86,141.67,2.45,True
10.88,-14.85,1.86,156.74,0.2,25.71,10.51,-2.79,-1.71,0.73,-9.04,-13.08,8.81,-2.05,65.0,24.59,136.41,2.15,True
10.87,-14.81,1.86,156.89,0.2,25.65,10.51,-2.78,-1.71,0.73,-9.04,-13.07,8.81,-2.04,71.03,17.86,141.67,2.45,True
11.94,-12.55,2.62,177.25,0.2,31.46,11.65,-2.59,-2.61,0.13,-9.37,-15.24,9.04,-2.46,72.28,8.7,142.28,2.42,True
2.74,-87.15,2.32,-122.44,0.16,21.19,0.14,-2.74,-1.24,-1.96,4.83,-103.01,-1.09,-4.71,23.13,2.53,78.99,2.09,True
3.74,-11.12,-0.44,-6.78,0.2,6.17,3.67,-0.72,0.44,-0.05,-4.18,-10.66,4.1,-0.77,16.5,0.0,64.61,2.0,True
11.85,-12.38,2.53,177.35,0.2,26.0,11.58,-2.54,-2.53,0.12,-9.37,-14.96,9.05,-2.42,60.95,17.68,132.44,2.24,True
11.94,-12.71,2.64,177.14,0.2,33.97,11.64,-2.63,-2.64,0.13,-9.34,-15.44,9.01,-2.49,86.62,6.53,151.0,2.57,True
10.85,-14.33,1.89,161.43,0.2,21.65,10.51,-2.69,-1.79,0.6,-8.97,-13.4,8.72,-2.08,60.21,23.61,135.09,2.12,True
10.88,-14.88,1.86,156.6,0.2,25.77,10.51,-2.79,-1.71,0.74,-9.04,-13.09,8.81,-2.05,60.37,28.71,131.95,2.15,True
12.81,-22.39,2.63,177.39,0.2,31.9,11.85,-4.88,-2.62,0.12,-10.38,-27.23,9.23,-4.75,77.18,7.71,146.31,2.57,True
4.55,-4.19,-0.57,-0.49,0.15,5.5,4.54,-0.33,0.57,-0.0,-5.12,-3.77,5.11,-0.34,68.57,66.12,139.73,2.61,True
9.02,-26.42,1.85,147.02,0.19,23.92,8.08,-4.01,-1.55,1.01,-7.19,-24.67,6.53,-3.0,49.25,38.48,119.04,2.2,True
12.75,-22.5,2.64,177.4,0.2,32.87,11.78,-4.88,-2.64,0.12,-10.31,-27.42,9.15,-4.75,83.18,7.71,149.49,2.56,True
11.84,-12.24,2.52,177.47,0.2,24.85,11.57,-2.51,-2.52,0.11,-9.37,-14.8,9.06,-2.39,58.44,19.76,133.46,2.22,True
11.84,-12.24,2.52,177.47,0.2,24.85,11.57,-2.51,-2.52,0.11,-9.37,-14.8,9.06,-2.39,58.44,19.76,133.46,2.22,True
1.77,-10.24,2.47,-179.54,0.19,22.93,1.74,-0.31,-2.47,-0.02,0.81,-153.84,-0.73,-0.36,33.65,0.0,96.13,1.89,True
10.7,-14.62,1.75,155.87,0.2,19.77,10.36,-2.7,-1.6,0.72,-8.98,-12.72,8.76,-1.98,54.95,25.6,125.97,2.13,True
3.9,-10.64,-0.47,-6.4,0.2,3.99,3.83,-0.72,0.47,-0.05,-4.37,-10.18,4.3,-0.77,21.57,-0.03,82.96,2.15,True
12.17,-19.57,2.84,-172.89,0.2,30.86,11.47,-4.08,-2.82,-0.35,-9.73,-27.14,8.66,-4.44,90.02,19.75,152.7,2.25,True
12.43,-19.57,2.93,-171.84,0.2,30.39,11.71,-4.16,-2.9,-0.42,-9.94,-27.5,8.82,-4.59,107.66,22.89,160.01,2.66,True
3.9,-10.64,-0.47,-6.4,0.2,3.99,3.83,-0.72,0.47,-0.05,-4.37,-10.18,4.3,-0.77,21.57,-0.03,82.96,2.15,True
9.85,14.76,2.89,-134.57,0.2,30.89,9.52,2.51,-2.02,-2.06,-7.52,3.42,7.5,0.45,83.06,7.69,149.26,2.51,True
11.97,11.77,2.88,-148.1,0.18,31.44,11.72,2.44,-2.45,-1.52,-9.31,5.67,9.27,0.92,80.23,7.73,147.64,2.56,True
11.9,-5.56,2.67,-175.7,0.17,31.98,11.85,-1.15,-2.67,-0.2,-9.28,-8.35,9.18,-1.35,81.88,8.68,148.63,2.57,True
11.92,4.52,2.66,-165.6,0.18,33.37,11.88,0.94,-2.58,-0.66,-9.31,1.75,9.31,0.28,73.62,6.53,144.0,2.57,True
12.61,-5.21,2.66,-165.22,0.18,33.37,12.56,-1.14,-2.57,-0.68,-10.15,-10.26,9.99,-1.81,70.04,8.69,140.88,2.57,True
11.96,11.85,2.88,-147.94,0.18,31.8,11.7,2.45,-2.44,-1.53,-9.31,5.72,9.26,0.93,82.06,7.78,148.72,2.55,True
