total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate
106.76,40.4,9.04,22.37,-7.22
58.2,12.21,7.52,3.46,-5.42
93.79,30.99,8.41,17.16,-6.34
123.9,53.13,8.98,29.84,-7.04
123.18,52.5,8.83,27.81,-6.82
83.51,123.87,2.95,1.71,-1.06
83.51,12.21,3.07,2.99,-1.2
93.82,32.55,8.0,10.73,-5.91
116.49,47.29,9.02,26.21,-7.14
126.77,55.56,8.93,31.8,-6.97
124.98,54.02,8.88,29.9,-6.9
126.77,55.56,8.92,31.44,-6.95
105.72,39.67,8.55,19.9,-6.49
111.9,43.89,8.7,23.4,-6.66
123.18,52.5,8.82,27.62,-6.82
101.6,36.98,9.02,18.81,-7.27
97.02,34.05,9.0,16.55,-7.28
101.6,36.98,9.02,19.01,-7.27
64.53,0.79,2.23,6.13,-1.26
73.42,20.52,8.89,11.29,-7.29
83.51,123.87,2.95,1.71,-1.06
83.51,123.87,2.95,1.76,-1.06
83.51,12.21,3.07,2.99,-1.2
83.51,123.87,2.95,1.71,-1.06
83.51,123.87,2.95,1.71,-1.06
54.79,10.6,7.59,4.81,-5.5
83.51,12.21,3.07,2.99,-1.2
83.51,123.87,2.95,1.71,-1.06
122.82,183.79,2.9,1.32,-1.02
58.2,12.21,7.53,3.62,-5.43
83.51,12.21,3.07,2.99,-1.2
67.43,16.08,7.8,7.96,-5.71
67.43,16.08,7.76,7.31,-5.66
90.33,29.28,8.27,14.84,-6.2
89.42,29.28,8.32,15.61,-6.24
93.82,30.76,8.04,11.32,-5.95
113.16,50.46,8.79,26.26,-6.77
115.79,46.77,9.04,24.3,-7.19
115.79,46.77,9.03,24.67,-7.18
116.49,47.29,9.03,26.02,-7.15
119.15,49.33,9.0,28.16,-7.09
123.9,53.13,8.98,29.84,-7.04
119.15,49.33,9.01,27.97,-7.1
123.9,53.13,8.97,30.37,-7.02
126.77,55.56,8.93,31.8,-6.97
125.37,54.36,8.96,30.73,-7.01
126.77,55.56,8.91,31.08,-6.94
124.98,54.02,8.87,29.14,-6.87
124.98,54.02,8.88,29.9,-6.9
126.77,55.56,8.91,30.69,-6.93
125.37,54.36,8.94,31.43,-6.99
93.82,32.55,8.0,10.73,-5.91
105.72,39.67,8.51,19.11,-6.45
88.44,28.69,8.38,16.58,-6.3
107.02,41.02,8.62,21.46,-6.57
105.72,39.67,8.55,19.9,-6.49
113.16,44.85,8.77,25.5,-6.74
112.51,44.37,8.72,24.16,-6.69
123.18,52.5,8.85,28.38,-6.84
123.18,52.5,8.83,27.81,-6.82
105.72,41.02,8.6,21.07,-6.55
112.51,44.37,8.75,24.93,-6.72
111.9,43.89,8.71,23.78,-6.68
100.35,36.18,9.0,17.12,-7.28
104.65,38.98,9.03,20.39,-7.25
117.19,47.81,9.02,26.8,-7.13
121.22,50.98,8.99,28.75,-7.07
113.74,45.27,9.04,23.74,-7.2
115.79,46.77,9.03,25.43,-7.16
101.6,36.98,9.02,19.01,-7.27
105.67,39.66,9.03,20.79,-7.25
95.52,33.1,8.98,15.42,-7.29
100.35,36.18,9.01,17.68,-7.28
100.35,36.18,9.02,18.44,-7.27
73.42,20.52,8.88,10.97,-7.29
85.84,26.92,8.94,13.21,-7.29
64.53,0.79,2.23,6.01,-1.26
64.84,14.73,8.84,9.41,-7.27
63.52,13.64,8.83,9.23,-7.27
91.3,30.48,8.94,13.37,-7.29
73.42,20.52,8.89,11.29,-7.29
91.3,30.48,8.94,13.37,-7.29
116.16,20.69,2.03,0.53,-1.21
64.53,0.79,2.21,5.37,-1.25
73.54,5.03,2.17,4.35,-1.24
64.53,0.79,2.21,5.55,-1.26
105.67,39.66,9.04,21.38,-7.24
83.51,123.87,2.93,1.52,-1.04
83.51,123.87,2.95,1.71,-1.06
83.51,123.87,2.93,1.52,-1.04
83.51,123.87,2.95,1.71,-1.06
83.51,123.87,2.95,1.76,-1.06
83.51,123.87,2.95,1.71,-1.06
83.51,12.21,3.07,2.99,-1.2
83.51,12.21,3.07,2.99,-1.2
83.51,12.21,3.07,2.99,-1.2
83.51,12.21,3.07,2.99,-1.2
83.51,123.87,2.95,1.76,-1.06
83.51,12.21,3.06,2.85,-1.18
83.51,123.87,2.95,1.71,-1.06
83.51,123.87,2.95,1.71,-1.06
83.51,123.87,2.95,1.71,-1.06
83.51,123.87,2.95,1.71,-1.06
58.2,12.21,7.53,3.62,-5.43
83.51,12.21,3.07,2.99,-1.2
58.2,12.21,7.52,3.46,-5.42
83.51,123.87,2.95,1.76,-1.06
83.51,12.21,3.07,2.99,-1.2
83.51,123.87,2.95,1.71,-1.06
83.51,123.87,2.95,1.71,-1.06
122.82,183.79,2.9,1.32,-1.02
83.51,123.87,2.93,1.52,-1.04
370.05,189.04,2.37,2.66,-0.53
83.51,123.87,2.94,1.62,-1.05
83.51,12.21,3.07,2.99,-1.2
83.51,12.21,3.07,2.99,-1.2
58.2,12.21,7.53,3.62,-5.43
58.2,12.21,7.52,3.46,-5.42
54.79,10.6,7.59,4.81,-5.5
58.2,12.21,7.52,3.46,-5.42
56.73,10.6,7.62,5.23,-5.52
54.79,10.6,7.59,4.81,-5.5
56.73,9.44,7.72,6.76,-5.62
94.24,32.55,7.94,9.87,-5.85
94.24,32.55,7.94,9.87,-5.85
67.43,16.08,7.78,7.65,-5.69
90.95,30.23,8.11,12.31,-6.02
90.95,30.23,8.11,12.31,-6.02
93.82,30.76,8.04,11.32,-5.95
89.42,29.28,8.34,16.0,-6.27
88.44,28.69,8.38,16.58,-6.3
90.33,29.28,8.3,15.23,-6.22
93.82,30.23,8.08,11.91,-6.0
93.82,32.55,8.03,11.12,-5.94
93.82,30.23,8.08,11.91,-6.0
93.82,32.55,7.98,10.42,-5.89
94.24,32.55,7.96,10.15,-5.87
93.79,30.99,8.47,18.33,-6.41
88.44,28.69,8.39,16.77,-6.32
89.42,29.28,8.32,15.61,-6.24
90.33,28.55,8.25,14.46,-6.17
123.18,52.5,8.85,28.38,-6.84
123.18,52.5,8.82,27.62,-6.82
115.79,46.77,9.03,25.24,-7.17
113.04,44.75,9.04,23.55,-7.2
113.74,45.27,9.04,23.74,-7.2
115.79,46.77,9.04,24.49,-7.18
115.79,46.77,9.03,25.43,-7.16
116.49,47.29,9.03,26.02,-7.15
115.79,46.77,9.03,25.43,-7.16
117.19,47.81,9.01,27.19,-7.12
119.15,49.33,9.01,27.97,-7.1
117.19,47.81,9.02,26.99,-7.12
121.22,50.98,8.99,29.13,-7.06
123.9,53.13,8.98,29.84,-7.04
121.22,50.98,8.99,28.95,-7.07
121.22,50.98,8.98,29.66,-7.05
121.22,50.98,8.99,28.75,-7.07
121.22,50.98,8.99,28.75,-7.07
117.19,47.81,9.02,26.99,-7.12
119.15,49.33,9.01,27.77,-7.1
123.9,53.13,8.97,30.2,-7.03
123.9,53.13,8.96,30.55,-7.02
123.9,53.13,8.97,30.37,-7.02
126.77,55.56,8.94,31.77,-6.97
126.77,55.56,8.93,31.8,-6.97
126.77,55.56,8.94,31.77,-6.97
126.77,55.56,8.93,31.62,-6.96
126.77,55.56,8.94,31.77,-6.97
126.77,55.56,8.94,31.77,-6.97
126.77,55.56,8.93,31.62,-6.96
126.77,55.56,8.91,30.69,-6.93
124.98,54.02,8.88,29.9,-6.9
124.98,54.02,8.88,29.9,-6.9
124.98,54.02,8.89,30.3,-6.91
123.18,52.5,8.85,28.57,-6.85
123.18,52.5,8.86,28.95,-6.86
124.98,54.02,8.88,29.71,-6.89
126.77,55.56,8.91,30.69,-6.93
126.77,55.56,8.91,30.89,-6.93
124.98,54.02,8.89,30.3,-6.91
126.77,55.56,8.92,31.44,-6.95
126.77,55.56,8.91,30.89,-6.93
126.77,55.56,8.91,31.08,-6.94
123.9,53.13,8.97,30.37,-7.02
123.9,53.13,8.97,30.37,-7.02
126.77,55.56,8.93,31.8,-6.97
125.37,54.36,8.95,31.08,-7.0
124.98,54.02,8.87,29.33,-6.88
56.73,10.6,7.62,5.23,-5.52
93.82,32.55,8.0,10.73,-5.91
94.24,32.55,7.91,9.52,-5.82
93.82,32.55,7.99,10.56,-5.9
67.43,16.08,7.76,7.31,-5.66
89.42,29.28,8.34,16.0,-6.27
93.82,30.23,8.08,11.91,-6.0
93.79,30.99,8.46,18.13,-6.4
88.44,28.69,8.39,16.77,-6.32
105.72,39.67,8.53,19.5,-6.47
93.79,30.99,8.49,18.72,-6.43
93.79,30.99,8.46,18.13,-6.4
89.42,29.28,8.32,15.61,-6.24
89.42,29.28,8.34,16.0,-6.27
105.72,39.67,8.53,19.5,-6.47
105.72,39.67,8.51,19.11,-6.45
105.72,39.67,8.56,20.09,-6.5
107.02,41.02,8.65,22.05,-6.6
107.02,41.02,8.62,21.46,-6.57
105.72,41.02,8.59,20.68,-6.53
112.51,44.37,8.76,25.31,-6.74
123.18,52.5,8.82,27.62,-6.82
113.16,50.46,8.78,25.88,-6.76
112.51,44.37,8.73,24.35,-6.7
111.9,43.89,8.7,23.59,-6.67
112.51,44.37,8.75,24.93,-6.72
111.9,43.89,8.68,22.82,-6.64
123.18,52.5,8.83,28.0,-6.83
123.18,52.5,8.83,27.81,-6.82
124.98,54.02,8.88,29.52,-6.88
123.18,52.5,8.86,28.95,-6.86
123.18,52.5,8.83,27.81,-6.82
123.18,52.5,8.82,27.62,-6.82
123.18,52.5,8.83,27.81,-6.82
105.72,39.67,8.53,19.5,-6.47
107.02,41.02,8.65,22.05,-6.6
105.72,41.02,8.59,20.68,-6.53
105.72,41.02,8.59,20.68,-6.53
105.72,39.67,8.55,19.9,-6.49
112.51,44.37,8.76,25.31,-6.74
111.9,43.89,8.72,23.97,-6.68
123.18,52.5,8.82,27.62,-6.82
112.51,44.37,8.76,25.31,-6.74
113.16,50.46,8.78,25.88,-6.76
112.51,44.37,8.75,24.93,-6.72
105.72,41.02,8.6,21.07,-6.55
111.9,43.89,8.7,23.59,-6.67
112.51,44.37,8.73,24.35,-6.7
107.02,41.02,8.65,22.05,-6.6
100.35,36.18,9.01,18.06,-7.27
104.65,38.98,9.03,19.4,-7.26
104.65,38.98,9.03,20.19,-7.25
105.67,39.66,9.04,21.38,-7.24
106.76,40.4,9.04,21.98,-7.23
105.67,39.66,9.04,21.19,-7.24
123.9,53.13,8.97,30.37,-7.02
126.77,55.56,8.94,31.77,-6.97
123.9,53.13,8.97,30.2,-7.03
123.9,53.13,8.97,30.37,-7.02
119.15,49.33,9.0,28.36,-7.09
121.22,50.98,8.99,29.31,-7.06
116.49,47.29,9.02,26.41,-7.14
117.19,47.81,9.01,27.38,-7.11
119.15,49.33,9.01,27.97,-7.1
115.79,46.77,9.03,25.24,-7.17
115.79,46.77,9.03,25.43,-7.16
106.76,40.4,9.04,22.57,-7.22
113.74,45.27,9.04,24.11,-7.19
113.74,45.27,9.04,24.11,-7.19
115.79,46.77,9.03,25.05,-7.17
115.79,46.77,9.03,24.67,-7.18
116.49,47.29,9.03,26.02,-7.15
115.79,46.77,9.03,25.43,-7.16
104.65,38.98,9.03,20.59,-7.25
105.67,39.66,9.04,21.38,-7.24
101.6,36.98,9.02,19.01,-7.27
104.65,38.98,9.03,19.6,-7.26
101.6,36.98,9.02,19.01,-7.27
104.65,38.98,9.03,19.8,-7.26
104.65,38.98,9.03,19.8,-7.26
100.35,36.18,9.01,17.31,-7.28
100.35,36.18,9.02,18.44,-7.27
94.22,32.29,8.97,15.05,-7.29
97.02,34.05,9.0,16.55,-7.28
95.52,33.1,8.98,15.61,-7.29
100.35,36.18,9.0,17.12,-7.28
97.02,34.05,9.0,16.55,-7.28
97.02,34.05,9.0,16.74,-7.28
100.35,36.18,9.01,17.87,-7.28
100.35,36.18,9.01,17.5,-7.28
101.6,36.98,9.02,18.81,-7.27
101.6,36.98,9.02,18.62,-7.27
101.6,36.98,9.02,18.62,-7.27
100.35,36.18,9.01,18.06,-7.27
101.6,36.98,9.02,18.81,-7.27
85.84,26.92,8.93,13.04,-7.29
91.3,30.48,8.95,13.54,-7.29
73.42,20.52,8.88,10.97,-7.29
78.79,22.88,8.9,11.45,-7.29
78.79,22.88,8.9,11.45,-7.29
68.06,2.93,8.73,6.37,-7.24
63.52,13.64,8.8,8.31,-7.26
64.53,0.79,2.23,6.01,-1.26
63.52,13.64,8.8,8.46,-7.27
63.52,13.64,8.8,8.46,-7.27
64.53,0.79,2.23,6.01,-1.26
63.52,13.64,8.81,8.57,-7.27
63.52,13.64,8.8,8.46,-7.27
64.84,14.73,8.86,10.11,-7.28
64.84,14.73,8.86,10.11,-7.28
64.84,14.73,8.84,9.41,-7.27
64.84,14.73,8.86,10.11,-7.28
63.52,13.64,8.83,9.23,-7.27
64.84,14.73,8.86,10.11,-7.28
91.3,30.48,8.95,13.7,-7.29
78.79,22.88,8.9,11.45,-7.29
91.3,30.48,8.94,13.37,-7.29
94.22,32.29,8.97,14.86,-7.29
94.22,32.29,8.97,14.67,-7.29
64.84,14.73,8.86,10.11,-7.28
73.42,20.52,8.89,11.29,-7.29
94.22,32.29,8.97,15.05,-7.29
78.79,22.88,8.9,11.45,-7.29
78.79,22.88,8.9,11.45,-7.29
91.3,30.48,8.94,13.37,-7.29
116.16,20.69,2.01,0.08,-1.21
116.16,20.69,2.01,0.08,-1.21
64.53,0.79,2.23,5.88,-1.26
73.54,5.03,2.17,4.35,-1.24
73.54,5.03,2.17,4.35,-1.24
116.16,20.69,2.03,0.53,-1.21
73.54,5.03,2.17,4.35,-1.24
73.54,5.03,2.17,4.35,-1.24
64.53,0.79,2.21,5.55,-1.26
73.54,5.03,2.19,5.01,-1.25
64.53,0.79,2.23,5.88,-1.26
64.53,0.79,2.23,5.88,-1.26
64.53,0.79,2.23,5.88,-1.26
73.54,5.03,2.17,4.5,-1.25
73.54,5.03,2.17,4.5,-1.25
64.53,0.79,2.21,5.55,-1.26
106.76,40.4,9.04,21.98,-7.23
104.65,38.98,9.03,20.0,-7.26
105.67,39.66,9.03,20.79,-7.25
106.76,40.4,9.04,21.98,-7.23
107.64,40.99,9.03,22.37,-7.22
59.34,12.2,3.13,3.57,-1.26
92.53,36.21,8.4,17.16,-6.33
125.1,54.13,8.97,29.84,-7.04
124.16,53.32,8.82,27.81,-6.82
76.57,104.6,2.95,1.62,-1.05
76.57,12.2,3.08,2.99,-1.2
93.4,31.74,8.0,10.93,-5.92
116.7,47.43,9.02,26.21,-7.14
128.23,56.86,8.93,31.8,-6.96
126.03,54.9,8.88,30.1,-6.9
128.23,56.86,8.91,31.26,-6.94
105.76,39.82,8.54,19.9,-6.48
111.4,42.54,8.68,23.21,-6.65
124.16,53.32,8.82,27.62,-6.81
103.68,38.34,9.02,18.81,-7.27
99.18,35.42,8.99,16.55,-7.29
103.68,38.34,9.02,19.01,-7.27
64.15,0.31,8.72,6.13,-7.24
71.58,19.28,8.88,11.13,-7.29
76.57,104.6,2.95,1.62,-1.05
76.57,12.2,3.07,2.85,-1.19
76.57,12.2,3.08,2.99,-1.2
76.57,104.6,2.96,1.71,-1.06
76.57,104.6,2.96,1.71,-1.06
59.4,11.51,7.59,4.96,-5.49
76.57,12.2,3.08,2.99,-1.2
76.57,104.6,2.96,1.71,-1.06
117.76,182.65,2.91,1.32,-1.02
59.34,12.2,3.13,3.57,-1.26
