total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
95.34,32.94,4.36,9.5,-3.9,False
156.32,122.92,4.42,13.33,5.12,False
88.14,28.57,3.47,8.16,-2.71,False
50.7,5.42,4.44,1.32,-2.08,False
151.09,91.78,1.39,6.34,-3.54,False
153.45,102.46,9.79,4.8,-8.84,False
73.14,19.41,9.13,14.14,-7.04,False
79.81,23.34,5.31,7.73,-3.9,False
69.27,17.08,16.39,8.5,-13.65,False
104.15,38.64,14.27,8.31,-10.61,False
159.95,125.79,8.58,0.09,4.34,False
156.46,92.22,7.69,0.07,-5.42,False
131.24,91.18,1.5,0.1,-3.11,False
54.02,7.6,4.4,4.73,-2.65,False
126.33,74.74,10.33,0.29,-9.24,False
148.7,82.03,15.89,18.15,-10.83,False
130.95,59.36,8.05,9.76,-7.44,False
123.5,53.88,8.87,0.1,6.91,False
142.93,72.98,11.03,19.48,-8.33,False
149.39,83.3,3.66,0.09,-1.98,False
52.44,7.98,7.56,4.87,-5.21,False
132.97,61.37,14.9,4.3,-10.84,False
146.07,76.75,8.69,0.04,-7.99,False
149.55,83.58,15.84,16.63,-10.85,False
156.64,119.84,7.63,15.44,5.22,False
153.21,91.11,2.83,5.91,-4.56,False
145.82,87.22,7.01,15.38,-4.91,False
54.65,7.79,4.42,1.84,-2.05,False
148.69,82.33,9.35,0.04,-8.31,False
56.05,8.91,4.4,6.84,-2.6,False
55.61,8.63,4.36,4.71,-1.88,False
56.25,9.02,4.35,6.14,-1.89,False
116.93,54.21,8.35,0.64,-6.77,False
148.52,81.7,10.59,11.27,-8.21,False
148.51,78.15,1.66,7.02,-4.81,False
152.66,74.77,1.5,10.71,-4.78,False
43.57,0.92,9.5,11.18,-10.01,False
73.37,19.56,9.18,0.09,-7.05,False
143.96,78.37,15.52,11.09,-13.04,False
154.98,95.83,7.63,7.11,-7.94,False
48.34,4.46,9.59,9.0,-10.08,False
60.72,12.94,5.93,0.09,-3.95,False
142.1,66.54,12.39,16.63,-10.35,False
149.29,83.11,15.82,16.44,-10.86,False
67.58,2.51,4.02,0.09,2.46,False
44.75,1.63,4.4,0.09,-2.73,False
55.35,8.47,9.11,19.26,-7.42,False
154.74,95.31,8.6,6.95,-7.94,False
126.79,88.45,1.5,0.09,-4.18,False
147.31,79.72,3.31,0.84,-2.38,False
58.88,10.66,6.35,0.09,-4.28,False
149.88,84.29,11.31,1.19,-7.03,False
139.32,68.34,15.57,11.97,-10.91,False
116.93,54.21,8.35,0.64,-6.77,False
147.88,80.84,9.3,0.17,-8.26,False
159.29,107.84,13.74,10.72,-11.29,False
94.61,32.48,8.36,5.14,-4.73,False
154.72,94.64,2.45,12.03,-4.97,False
129.22,73.29,10.34,6.24,-9.27,False
118.11,55.44,2.52,3.07,-2.33,False
144.66,74.42,8.67,0.04,-7.95,False
134.13,89.69,8.81,7.32,6.99,False
144.66,74.42,8.67,0.04,-7.95,False
49.32,4.83,4.14,11.02,-4.11,False
135.18,62.75,15.4,10.15,-10.91,False
44.47,1.0,3.79,3.02,6.2,False
113.17,53.48,2.85,0.1,-2.52,False
143.87,73.75,8.65,0.04,-7.9,False
148.89,82.68,8.83,0.0,-8.31,False
43.66,0.86,7.25,0.05,-4.27,False
137.43,64.84,8.57,0.04,-7.71,False
152.22,96.84,18.68,15.57,-15.06,False
42.63,0.13,10.68,0.24,-8.27,False
151.46,87.31,10.81,18.18,-9.42,False
152.59,89.73,15.75,14.38,-9.51,False
61.76,12.53,13.35,10.8,-10.9,False
150.21,84.86,10.87,0.99,-8.32,False
153.03,90.72,15.84,18.18,-9.71,False
68.18,14.23,-4.54,0.94,4.77,False
42.54,0.09,-3.7,0.32,5.72,False
146.03,74.2,2.85,0.1,-2.53,False
154.9,95.04,10.47,13.9,-9.39,False
153.13,82.31,1.56,10.88,-3.64,False
124.01,49.36,8.96,1.25,-7.72,False
150.26,84.94,10.88,16.24,-9.56,False
100.25,36.02,14.36,11.33,-12.22,False
138.64,67.25,8.62,1.06,-7.85,False
150.95,86.22,10.24,18.18,-7.77,False
135.58,82.93,1.9,0.52,-4.88,False
68.11,16.38,13.98,14.99,-11.9,False
61.08,12.06,9.34,17.45,-7.61,False
