total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
111.62,43.9,5.56,8.6,-4.34,True
45.41,2.05,4.43,0.97,-2.71,True
99.47,35.51,5.38,7.25,-4.11,True
47.51,3.36,4.44,1.32,-2.7,True
97.4,34.23,5.52,8.75,-4.28,True
99.77,35.84,5.67,10.33,-4.48,True
46.99,3.02,4.45,1.32,-2.7,True
97.4,34.23,5.52,8.75,-4.28,True
98.88,35.13,5.56,9.42,-4.34,True
98.88,35.13,5.56,9.42,-4.34,True
96.27,33.63,5.65,10.33,-4.46,True
97.43,34.28,4.62,10.83,-4.2,True
56.28,9.05,4.37,5.79,-1.91,True
58.52,9.99,4.4,4.56,-1.96,True
64.42,14.1,6.55,1.87,-4.5,True
84.43,26.63,3.45,0.1,-3.15,True
59.07,10.78,7.21,0.09,-5.09,True
80.44,23.36,3.2,0.1,-2.03,True
42.65,0.06,11.84,2.01,-9.4,True
55.9,8.88,17.49,3.78,-14.57,True
57.93,10.49,17.93,3.56,-14.96,True
65.79,15.01,3.23,3.35,3.79,True
55.53,8.42,18.49,14.59,-15.61,True
74.81,20.43,7.16,15.67,-5.41,True
74.81,20.43,7.16,15.67,-5.41,True
50.22,5.2,13.19,22.19,-10.6,True
75.84,20.99,7.04,15.67,-5.32,True
69.57,18.68,6.64,14.71,-4.98,True
92.54,31.16,18.39,8.49,-15.46,True
85.54,26.84,5.69,18.52,4.94,True
85.54,26.84,5.69,18.52,4.94,True
71.67,18.49,5.39,17.19,4.94,True
78.44,24.41,9.8,16.54,-7.84,True
85.92,27.09,13.51,11.58,-11.16,True
43.77,0.9,7.55,10.83,-4.58,True
48.98,4.45,24.29,6.28,-21.57,True
43.77,0.9,7.6,11.02,-4.62,True
43.77,0.9,7.68,11.39,-4.7,True
43.77,0.9,7.73,11.58,-4.74,True
43.77,0.9,7.68,11.39,-4.7,True
46.18,2.56,24.7,9.0,-21.9,True
52.77,6.82,8.46,15.48,-5.31,True
52.77,6.82,8.5,15.67,-5.35,True
52.77,6.82,8.46,15.48,-5.31,True
99.59,35.62,14.54,9.91,-11.19,True
45.0,1.75,7.44,10.64,-4.44,True
113.97,45.34,10.65,18.18,-7.67,True
43.25,0.54,7.43,11.39,-4.96,True
68.25,16.46,8.42,18.91,-5.8,True
94.48,32.36,11.03,13.98,-8.0,True
44.48,1.4,7.31,10.66,-4.87,True
97.88,34.51,10.81,16.24,-7.8,True
44.66,1.52,25.34,11.02,-22.99,True
113.08,46.38,12.71,16.24,-9.81,True
103.96,38.47,13.35,10.38,-10.43,True
45.8,2.31,25.44,11.02,-23.11,True
46.54,2.79,25.37,10.65,-23.04,True
113.08,46.38,12.71,16.64,-9.81,True
46.54,2.79,25.37,10.65,-23.04,True
101.64,36.92,12.7,12.01,-9.75,True
101.64,36.92,12.7,12.01,-9.75,True
51.2,5.97,25.91,10.83,-23.52,True
103.59,38.22,15.47,13.04,-12.65,True
51.2,5.97,25.91,10.83,-23.52,True
59.32,11.13,25.58,9.37,-23.24,True
114.85,46.69,15.67,16.44,-12.89,True
115.06,46.4,15.75,18.18,-13.0,True
114.85,46.69,15.67,16.44,-12.89,True
114.85,46.69,15.67,16.44,-12.89,True
116.34,47.97,16.43,17.62,-13.68,True
117.19,47.64,16.38,16.44,-13.6,True
43.62,0.76,16.25,15.86,-13.98,True
117.56,48.02,16.17,18.37,-13.55,True
117.56,48.02,16.16,18.18,-13.55,True
