total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
124.15,53.29,2.92,28.93,-4.3,False
116.74,47.02,7.51,5.6,-10.74,False
148.41,81.56,11.89,27.52,-9.48,False
97.08,19.48,-3.14,27.43,3.52,False
68.12,10.65,8.33,9.2,-3.96,False
98.41,27.77,10.28,24.6,-6.26,False
149.23,83.1,5.72,37.53,-4.62,False
143.87,74.17,10.07,5.18,-8.96,False
107.64,40.99,9.03,22.37,-7.22,False
129.27,58.16,13.14,23.35,-10.77,False
131.78,60.16,4.36,26.69,-2.43,False
43.18,0.44,1.57,29.29,0.48,False
127.76,59.17,2.64,28.83,-0.89,False
100.68,36.29,3.64,11.14,-6.44,False
131.59,59.94,11.88,18.41,-11.75,False
147.76,80.43,11.75,26.39,-9.37,False
156.13,98.27,12.21,31.02,-9.72,False
117.69,48.08,7.06,27.15,-6.68,False
114.4,46.66,9.11,3.59,-8.03,False
46.33,2.61,0.43,23.5,1.2,False
126.14,54.99,11.05,24.44,-11.9,False
104.97,46.96,10.73,25.95,-9.37,False
150.2,84.82,5.86,35.42,-4.21,False
98.78,35.06,10.73,23.25,-6.6,False
152.93,90.43,4.4,32.49,-3.84,False
128.74,57.31,5.27,22.01,-1.6,False
103.52,38.16,9.28,19.07,-8.63,False
94.62,32.46,6.54,15.59,-8.93,False
150.58,85.42,9.63,33.37,-7.33,False
98.71,35.2,7.75,19.42,-8.35,False
128.74,57.31,5.11,22.92,-1.44,False
78.24,14.29,4.86,16.07,-6.19,False
148.77,82.15,6.82,31.08,-4.94,False
88.58,28.72,9.51,20.71,-8.75,False
98.71,35.2,7.65,19.06,-8.26,False
89.91,34.17,8.67,5.77,-4.73,False
116.28,47.09,5.23,23.43,-5.05,False
126.08,56.05,3.59,23.93,-1.64,False
108.66,37.45,6.08,8.99,-7.07,False
115.94,46.82,4.45,22.64,-4.54,False
102.53,37.47,8.5,8.66,-7.42,False
122.25,51.72,3.99,22.25,-1.99,False
95.29,32.88,5.09,11.91,-6.08,False
87.19,27.89,11.9,21.35,-10.52,False
93.09,31.48,8.62,14.5,-11.84,False
107.96,41.15,5.67,21.18,-5.43,False
103.28,38.02,8.18,19.14,-9.71,False
118.14,48.42,6.83,25.86,-6.55,False
105.95,39.79,6.23,18.53,-5.93,False
95.08,32.77,8.88,19.52,-7.11,False
84.4,25.79,11.04,20.11,-6.85,False
129.42,58.04,2.77,28.01,-1.0,False
159.39,105.93,12.32,31.97,-9.81,False
111.45,43.14,8.6,1.45,-4.67,False
96.79,33.82,7.98,20.42,-8.56,False
137.07,66.66,3.84,34.8,-2.58,False
121.56,51.14,8.96,24.34,-10.7,False
106.99,40.5,8.59,23.09,-7.97,False
131.78,60.16,4.32,26.88,-2.39,False
117.69,48.15,9.37,25.81,-9.68,False
139.41,66.52,3.1,29.04,-2.09,False
148.98,84.89,9.75,31.98,-7.45,False
106.88,40.43,5.55,21.64,-5.44,False
94.66,32.49,14.06,25.92,-9.96,False
93.98,32.1,10.77,21.08,-6.64,False
87.85,31.37,8.56,2.22,-4.57,False
113.45,44.95,10.94,26.63,-9.59,False
95.08,32.77,8.9,19.87,-7.12,False
118.96,49.11,-2.89,23.02,2.82,False
116.28,47.09,4.71,25.97,-4.69,False
133.57,61.96,4.41,31.8,-2.97,False
106.88,40.43,5.58,21.46,-5.47,False
99.58,37.32,8.33,12.71,-11.68,False
107.08,40.54,8.68,24.3,-10.42,False
108.82,42.63,7.96,26.01,-7.47,False
110.43,39.85,5.66,21.15,-5.47,False
89.05,13.27,8.31,14.52,-3.88,False
115.86,46.78,-2.94,20.68,2.54,False
79.97,30.37,8.63,9.03,-4.59,False
107.7,40.95,8.84,27.45,-8.15,False
114.55,45.77,8.24,25.55,-7.64,False
134.84,63.27,4.11,27.68,-0.96,False
96.97,35.36,6.6,13.29,-9.22,False
118.96,49.11,-2.9,23.37,2.87,False
94.73,32.51,3.4,13.59,-5.95,False
69.5,17.13,7.22,13.68,-6.32,False
100.55,36.22,8.99,20.33,-8.38,False
156.55,99.03,2.84,27.04,-0.44,False
102.83,32.17,5.0,11.91,-6.15,False
141.3,70.81,-9.75,0.09,10.21,False
155.42,32.46,4.29,0.09,-2.91,False
160.74,109.35,4.86,1.76,2.51,False
142.03,71.77,9.97,1.85,-5.15,False
117.15,29.06,4.81,0.05,2.34,False
171.94,129.01,3.94,0.85,-1.55,False
136.99,65.64,9.74,3.36,-4.92,False
150.91,83.81,7.9,0.09,-8.23,False
141.94,71.66,9.87,0.8,-5.04,False
150.84,73.16,9.44,0.08,-5.67,False
151.46,87.43,3.85,0.47,-1.47,False
151.42,86.75,8.81,0.1,-8.24,False
123.69,66.61,1.35,0.05,0.67,False
142.41,69.9,1.35,0.05,0.66,False
137.01,68.67,1.69,0.63,-3.8,False
151.18,88.06,7.25,2.39,-5.13,False
150.84,73.16,9.44,0.08,-5.67,False
137.83,66.58,9.99,0.09,-4.54,False
137.58,66.31,10.02,0.09,-4.61,False
138.78,67.7,5.81,0.29,-4.57,False
150.84,83.0,3.66,0.05,-4.42,False
150.84,73.16,9.44,0.08,-5.67,False
149.45,87.95,9.03,0.09,-9.48,False
127.15,68.55,6.14,8.65,-4.18,False
112.05,44.04,8.68,23.59,-6.65,False
130.98,59.72,5.06,17.96,-3.45,False
102.25,56.93,8.15,5.13,-8.01,False
101.46,26.08,-2.08,13.16,1.11,False
110.64,41.38,-2.41,16.23,1.71,False
135.63,64.22,4.46,6.22,-4.18,False
89.59,29.35,9.76,17.69,-9.0,False
129.83,58.42,1.53,6.27,-4.23,False
149.33,84.47,10.5,20.68,-8.19,False
89.94,28.37,6.53,15.24,-8.63,False
128.99,58.85,8.84,28.95,-6.85,False
78.66,22.69,11.54,13.9,-7.26,False
48.98,14.35,4.1,18.39,-5.5,False
87.84,12.41,1.49,15.3,-3.85,False
109.76,19.73,8.49,16.58,-2.99,False
92.84,31.38,7.67,14.03,-8.95,False
125.31,56.7,5.72,18.74,-2.17,False
87.75,29.45,9.85,17.34,-9.09,False
91.17,30.34,6.72,15.89,-7.45,False
113.73,70.06,7.35,3.66,-7.76,False
131.68,59.15,5.52,14.69,-3.79,False
133.44,74.5,7.66,6.35,-4.25,False
123.88,53.22,6.02,5.7,-4.65,False
73.71,6.07,6.8,16.99,-5.85,False
57.35,4.9,1.45,17.25,-3.73,False
145.81,77.22,7.81,23.21,-5.51,False
118.83,51.6,12.8,5.54,-9.14,False
128.09,70.66,3.84,6.18,-2.22,False
151.83,88.09,13.78,16.0,-11.27,False
58.2,16.79,7.06,18.4,-6.04,False
124.27,53.36,1.52,9.09,-4.12,False
116.64,40.53,5.06,14.63,-3.16,False
103.89,39.17,5.35,11.42,-3.85,False
84.2,22.73,12.36,15.6,-11.03,False
84.45,28.19,12.36,17.59,-11.0,False
150.83,87.91,3.55,2.07,-2.09,False
121.62,68.13,2.9,4.23,-0.7,False
116.64,40.53,5.06,14.63,-3.16,False
158.32,103.45,12.97,28.0,-10.42,False
94.93,31.73,7.82,16.12,-9.21,False
122.26,57.37,5.5,12.17,-3.59,False
