total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate,label
74.44,18.69,3.83,4.98,-4.28,True
135.08,63.65,11.88,22.38,-9.37,True
143.37,73.67,10.87,25.6,-9.04,True
141.67,71.03,10.87,25.65,-9.04,True
136.41,65.0,10.88,25.71,-9.04,True
141.67,71.03,10.87,25.65,-9.04,True
142.28,72.28,11.94,31.46,-9.37,True
78.99,23.13,2.74,21.19,4.83,True
64.61,16.5,3.74,6.17,-4.18,True
132.44,60.95,11.85,26.0,-9.37,True
151.0,86.62,11.94,33.97,-9.34,True
135.09,60.21,10.85,21.65,-8.97,True
131.95,60.37,10.88,25.77,-9.04,True
146.31,77.18,12.81,31.9,-10.38,True
139.73,68.57,4.55,5.5,-5.12,True
119.04,49.25,9.02,23.92,-7.19,True
149.49,83.18,12.75,32.87,-10.31,True
133.46,58.44,11.84,24.85,-9.37,True
133.46,58.44,11.84,24.85,-9.37,True
96.13,33.65,1.77,22.93,0.81,True
125.97,54.95,10.7,19.77,-8.98,True
82.96,21.57,3.9,3.99,-4.37,True
152.7,90.02,12.17,30.86,-9.73,True
160.01,107.66,12.43,30.39,-9.94,True
82.96,21.57,3.9,3.99,-4.37,True
149.26,83.06,9.85,30.89,-7.52,True
147.64,80.23,11.97,31.44,-9.31,True
148.63,81.88,11.9,31.98,-9.28,True
144.0,73.62,11.92,33.37,-9.31,True
140.88,70.04,12.61,33.37,-10.15,True
148.72,82.06,11.96,31.8,-9.31,True
147.93,80.73,12.01,31.44,-9.38,True
142.44,74.03,12.44,31.08,-9.96,True
140.88,70.04,12.6,33.2,-10.14,True
140.88,70.04,12.57,32.84,-10.11,True
95.24,32.56,9.91,27.54,-5.96,True
89.96,29.52,11.91,23.48,-10.54,True
80.44,22.84,4.67,13.41,-5.86,True
103.49,38.13,13.85,26.0,-9.79,True
152.03,88.52,4.71,34.61,-2.13,True
138.23,67.13,11.93,29.92,-9.38,True
147.48,79.9,5.67,31.98,-4.02,True
156.31,98.5,9.49,35.58,-6.49,True
157.43,101.31,10.05,31.94,-7.0,True
158.13,103.52,12.74,32.9,-10.21,True
155.98,97.67,10.02,33.55,-6.97,True
156.54,99.06,10.17,32.84,-7.11,True
111.18,40.29,10.7,19.33,-8.97,True
144.44,75.16,11.88,30.89,-9.25,True
155.98,97.67,10.02,33.55,-6.97,True
101.58,3.96,2.77,14.34,-3.09,True
154.78,94.74,8.27,34.27,-6.33,True
154.48,94.18,12.34,32.38,-9.88,True
106.59,40.29,10.67,18.75,-8.96,True
154.19,93.36,8.8,34.44,-6.77,True
153.54,91.85,8.76,34.8,-6.75,True
140.49,69.75,4.42,36.75,-3.34,True
156.23,98.3,9.51,35.58,-6.5,True
156.31,98.5,9.49,35.58,-6.49,True
159.89,107.36,8.27,33.29,-5.37,True
146.73,78.72,11.79,30.68,-9.22,True
158.63,104.31,12.88,31.98,-10.34,True
101.58,3.96,2.66,13.64,-2.99,True
140.22,69.51,11.93,30.85,-9.37,True
142.86,72.81,0.78,34.8,1.15,True
111.18,40.29,10.7,19.33,-8.97,True
135.09,60.21,10.85,21.65,-8.97,True
156.97,100.15,9.94,33.73,-6.89,True
135.86,64.36,5.22,34.08,-3.89,True
140.22,69.51,11.93,31.04,-9.37,True
140.39,69.17,1.24,31.8,0.89,True
156.36,98.63,9.92,33.9,-6.88,True
154.81,94.83,8.78,34.8,-6.57,True
157.49,101.41,8.85,34.76,-5.9,True
108.83,38.53,10.39,26.16,-6.33,True
101.81,32.3,6.91,19.95,-9.43,True
155.98,97.67,10.15,33.02,-7.09,True
155.58,96.7,10.45,31.8,-7.36,True
147.28,79.59,9.16,30.23,-6.96,True
140.39,69.62,4.05,34.9,-3.08,True
111.18,40.29,10.7,19.33,-8.97,True
88.25,6.17,2.26,10.94,-2.62,True
135.86,64.36,5.19,34.26,-3.86,True
141.78,71.45,1.01,34.26,1.13,True
155.51,96.53,9.96,33.9,-6.91,True
56.53,9.21,18.62,11.84,-17.35,True
156.54,99.06,10.13,33.02,-7.07,True
132.49,60.98,11.83,19.82,-9.36,True
155.64,96.85,9.52,35.58,-6.52,True
142.52,58.78,4.54,0.1,-9.06,True
140.79,71.83,9.97,2.09,-5.14,True
72.7,9.59,0.67,2.38,2.23,True
140.79,71.71,9.94,1.74,-5.1,True
166.97,121.69,3.56,0.54,-1.84,True
169.83,126.18,4.1,0.85,-1.82,True
217.14,158.91,2.26,3.45,0.7,True
123.25,52.56,11.35,9.15,-8.69,True
123.42,52.71,11.32,8.62,-8.66,True
102.19,37.34,11.01,10.56,-8.35,True
137.82,67.96,1.51,2.5,-4.29,True
136.92,63.92,5.76,1.14,-4.49,True
89.82,29.54,10.45,11.12,-8.27,True
121.49,51.15,10.2,10.73,-7.63,True
85.01,26.61,10.11,6.47,-8.03,True
104.25,38.68,11.12,12.11,-8.45,True
136.92,63.92,5.72,1.73,-4.44,True
136.43,64.66,5.81,0.35,-4.57,True
105.17,39.29,11.09,11.71,-8.42,True
136.43,64.66,5.8,0.55,-4.55,True
112.41,44.28,10.04,9.26,-7.51,True
136.92,63.92,5.76,1.14,-4.49,True
136.43,64.66,5.8,0.55,-4.55,True
105.54,39.55,10.75,18.33,-8.7,True
89.45,44.8,8.23,11.3,-8.67,True
85.95,29.15,7.86,15.13,-8.3,True
120.63,50.43,10.78,17.74,-8.61,True
89.39,39.34,8.12,12.44,-8.56,True
154.6,94.35,11.13,27.81,-7.99,True
131.7,60.09,10.81,14.84,-8.24,True
140.04,69.65,1.44,30.3,0.74,True
112.09,46.41,11.37,15.81,-8.69,True
135.06,63.51,11.62,20.87,-8.94,True
142.63,72.58,1.74,28.95,0.72,True
137.82,65.5,5.39,28.95,-3.74,True
154.6,94.35,11.15,27.62,-8.01,True
148.22,79.69,6.01,29.14,-3.84,True
89.39,39.34,8.14,12.25,-8.58,True
156.17,98.17,11.18,27.81,-8.06,True
157.58,101.7,13.29,27.81,-10.75,True
154.6,94.35,11.15,27.62,-8.01,True
147.08,79.24,5.9,29.9,-3.77,True
147.08,79.24,5.9,29.9,-3.77,True
137.11,65.7,10.97,16.19,-8.39,True
89.39,44.8,8.17,11.87,-8.62,True
120.31,50.05,11.34,15.23,-8.66,True
111.85,43.87,10.71,16.19,-8.54,True
154.6,94.35,11.16,27.42,-8.02,True
156.78,99.27,13.38,26.26,-10.84,True
89.45,44.8,8.26,10.91,-8.71,True
134.04,62.71,11.21,17.94,-8.64,True
147.03,79.47,11.75,16.39,-9.06,True
132.77,61.16,10.95,16.0,-8.38,True
149.29,83.12,10.0,28.95,-7.67,True
134.04,62.45,11.28,18.53,-8.71,True
89.39,39.34,8.15,12.06,-8.6,True
115.09,46.22,10.83,21.66,-8.81,True
154.06,92.06,11.14,28.0,-8.0,True
145.8,76.21,7.63,29.9,-5.99,True
111.4,43.62,10.48,12.5,-7.91,True
128.0,56.64,11.37,15.81,-8.69,True
89.39,39.34,8.14,12.25,-8.58,True
156.17,98.17,11.18,27.81,-8.06,True
142.63,72.58,1.63,29.9,0.81,True
118.03,48.4,10.83,21.66,-8.8,True
