lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-158.4,56.52,11.0,16112.0,-158.286,58.221000000000004,0.033,250.0,-156.27,56.7,4.52,-10.74,1.83,-126.66,0.15,323.21,901.0,111.0,8.6,8.6,4.44,-0.84,-1.09,-1.47,-4.08,-34.68,3.35,-2.32,37.27,0.05,49.66,102.11,2.05
-127.85,50.68,192.0,16110.0,-74.45,42.498000000000005,0.03,395.0,-72.17,42.97,10.05,11.69,9.24,174.52,0.19,251.86,131.0,16111.0,14.65,14.65,9.84,2.04,-9.2,0.88,-3.07,77.78,0.65,3.0,94.99,0.2,6.48,150.51,2.01
-157.24,57.05,109.0,16112.0,-109.46600000000001,66.491,0.053,226.0,-106.33,69.31,6.55,5.82,3.66,-104.18,0.19,25.22,902.0,182.0,7.16,7.16,6.52,0.66,-0.9,-3.54,-6.29,-27.43,5.59,-2.9,26.59,0.07,127.12,85.22,2.25
-127.58,50.33,164.0,16110.0,-64.205,44.108000000000004,0.033,430.0,-66.84,43.96,10.45,-23.36,2.94,129.7,0.19,83.97,902.0,16111.0,5.89,5.89,9.59,-4.14,-1.88,2.26,-7.94,-13.97,7.71,-1.92,94.93,0.19,12.23,154.62,2.84
-158.41,56.15,78.0,16112.0,-142.208,66.291,0.069,110.0,-142.59,70.24,14.3,15.5,3.04,-116.63,0.19,357.43,918.0,182.0,7.73,7.73,13.78,3.82,-1.36,-2.72,-12.48,4.95,12.44,1.08,39.64,0.19,11.03,105.5,2.09
-160.68,55.63,179.0,16112.0,-85.786,60.383,0.122,256.0,-71.63,62.12,9.84,-6.06,1.87,-131.33,0.19,81.61,902.0,16111.0,4.88,22.63,9.78,-1.04,-1.24,-1.41,-8.88,-15.99,8.54,-2.45,136.37,0.21,11.61,158.33,2.04
-127.5,50.38,107.0,16110.0,-83.29,53.726000000000006,0.006,461.0,-83.81,53.53,10.43,-7.09,4.67,-138.49,0.19,63.33,902.0,101.0,15.09,43.12,10.35,-1.29,-3.5,-3.09,-8.12,-32.72,6.83,-4.39,69.56,0.19,32.91,140.31,2.39
-158.41,56.15,136.0,16112.0,-88.537,63.742,0.16899999999999998,419.0,-67.78,61.75,7.77,-46.62,3.77,174.31,0.15,110.43,902.0,101.0,0.07,53.49,5.34,-5.65,-3.75,0.37,-5.5,-73.21,1.59,-5.27,100.0,0.08,23.2,157.9,2.73
-159.42,55.89,184.0,16112.0,-89.061,58.323,0.129,216.0,-86.24,65.59,-7.95,92.53,-7.02,-18.75,0.19,12.24,902.0,43200.0,4.88,4.88,-0.35,7.94,6.65,-2.26,-8.47,41.98,6.29,5.66,118.66,0.0,52.2,272.12,2.76
-159.42,55.89,78.0,16112.0,-143.59,66.018,0.073,107.0,-144.29,70.2,14.35,15.45,3.03,-116.25,0.19,355.83,918.0,182.0,8.31,8.31,13.83,3.82,-1.34,-2.72,-12.55,4.92,12.5,1.08,41.93,0.2,12.16,108.81,2.15
