total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
212.07,118.09,-7.97,-8.5,-0.34,False
155.86,85.4,19.38,-15.13,14.28,False
157.63,106.13,12.58,-4.15,12.03,False
139.57,69.48,13.64,-11.8,13.63,False
152.86,90.27,1.38,-3.53,1.22,False
102.9,37.81,14.25,-10.6,7.35,False
153.55,93.5,8.76,6.99,6.63,False
279.85,53.33,16.28,-11.78,15.48,False
151.09,91.78,1.39,-3.54,1.23,False
88.37,28.67,9.76,-10.6,9.76,False
150.36,124.58,6.88,-7.65,6.78,False
72.36,18.94,16.45,-13.72,12.84,False
60.46,7.81,4.32,-1.88,3.46,False
61.3,7.81,4.35,-1.93,3.52,False
160.77,109.49,13.99,-11.54,10.08,False
141.34,70.84,5.99,-3.06,5.78,False
148.07,89.88,10.32,-9.25,10.25,False
61.56,7.81,4.36,-1.95,3.54,False
142.08,71.83,8.57,-6.39,6.38,False
131.41,60.58,4.42,-5.6,1.48,False
143.02,66.52,2.21,-2.07,0.59,False
154.98,95.38,6.74,-7.84,6.51,False
150.39,85.22,9.94,-6.96,8.96,False
57.37,9.7,4.42,-2.03,4.2,False
147.15,78.44,15.79,-10.87,12.67,False
141.95,68.22,3.07,-2.74,1.72,False
160.5,108.85,14.06,-11.57,14.05,False
139.86,88.37,15.4,-12.98,15.01,False
149.72,83.92,3.56,1.48,0.82,False
54.57,7.96,6.95,-4.79,5.39,False
55.61,8.63,4.36,-1.88,2.83,False
77.74,22.14,5.27,-4.73,1.94,False
70.36,17.69,9.62,-7.9,9.17,False
154.2,93.4,9.58,-8.84,8.89,False
94.87,32.66,6.17,-4.23,5.61,False
151.64,87.69,19.41,-15.21,19.4,False
44.69,1.42,4.46,-4.45,3.22,False
137.02,65.67,15.55,-10.91,13.57,False
135.69,64.19,8.41,-7.7,8.35,False
135.69,64.19,8.41,-7.7,8.35,False
147.47,73.09,15.58,-13.06,15.58,False
59.58,11.06,4.45,-2.04,3.68,False
135.58,82.93,1.89,-4.88,1.56,False
54.9,8.14,4.48,-2.67,4.48,False
97.65,34.36,14.41,-12.25,14.16,False
136.15,64.71,15.49,-10.91,13.42,False
151.46,87.31,10.8,-9.4,10.61,False
154.85,95.61,8.56,-7.94,8.45,False
134.75,64.66,8.77,-8.46,5.42,False
126.65,55.44,12.6,-8.58,12.56,False
47.52,3.25,4.46,-2.14,4.4,False
47.69,4.84,6.97,-4.65,6.94,False
134.13,89.69,8.81,6.99,6.88,False
43.9,1.0,-3.79,6.21,-0.27,False
147.88,80.84,9.3,-8.26,7.59,False
153.81,92.48,18.74,-15.13,18.28,False
145.49,89.83,2.29,-4.34,1.55,False
138.55,67.36,14.64,-12.49,14.5,False
134.58,63.02,9.79,-7.8,9.46,False
266.39,4.37,-3.1,2.1,-0.27,False
153.81,92.5,2.54,-4.95,2.34,False
60.85,11.55,2.99,-1.92,2.69,False
148.29,81.64,9.33,-8.29,8.71,False
48.12,3.79,4.46,-2.13,4.39,False
154.71,94.83,10.53,-9.14,9.83,False
42.56,0.07,-3.78,5.74,-1.42,False
117.84,48.21,8.36,-6.73,5.0,False
150.6,85.59,10.34,-7.91,10.31,False
150.4,85.21,10.91,-9.51,10.83,False
147.11,77.96,2.84,-2.53,2.07,False
124.61,49.5,8.81,-7.61,6.92,False
73.37,19.56,9.45,-7.31,9.14,False
136.96,64.94,8.61,-7.83,5.37,False
150.11,84.69,9.92,-7.22,8.86,False
150.38,84.6,12.78,-11.14,12.56,False
149.24,83.04,7.58,-2.58,4.8,False
150.4,85.21,10.91,-9.51,10.83,False
155.23,95.86,10.73,-9.54,8.91,False
155.2,95.77,10.8,-9.51,10.67,False
146.18,73.04,13.34,-11.59,13.29,False
143.75,72.89,8.69,-8.0,5.57,False
152.82,90.24,15.77,-9.59,14.2,False
150.92,86.29,7.28,-4.79,5.55,False
118.49,49.37,8.36,-6.72,5.0,False
42.56,0.07,-3.78,5.74,-1.42,False
152.85,90.33,2.59,-4.94,2.39,False
266.39,4.37,-3.1,2.1,-0.27,False
145.25,73.48,2.85,-2.54,1.3,False
51.6,6.06,4.41,-2.69,4.41,False
152.52,89.58,15.65,-9.39,12.74,False
153.63,92.06,16.7,-13.43,16.46,False
117.78,46.5,3.23,4.27,3.18,False
150.46,85.38,9.93,-7.08,7.29,False
146.93,84.9,15.56,-13.05,15.49,False
142.06,71.8,-14.67,-10.79,-0.5,False
154.35,93.74,15.84,-13.0,14.28,False
153.49,87.12,16.29,-11.18,14.92,False
116.94,55.79,2.61,-2.39,1.74,False
67.58,2.51,4.02,2.46,0.11,False
142.03,71.75,8.68,-8.0,5.54,False
114.81,51.93,8.36,-6.74,5.0,False
111.07,49.78,2.84,-2.52,2.07,False
151.86,83.91,13.27,-11.49,13.24,False
148.29,81.64,9.34,-8.3,9.12,False
148.91,82.69,9.38,-8.34,9.17,False
155.2,95.77,10.8,-9.51,10.67,False
152.1,88.68,13.5,-9.5,13.44,False
55.35,8.47,9.11,-7.42,8.41,False
151.36,87.15,10.76,-9.44,10.57,False
149.79,79.05,2.64,-4.91,2.11,False
136.34,64.49,8.6,-7.85,5.36,False
152.07,88.62,15.57,-9.28,13.35,False
154.75,94.7,2.42,-4.98,2.04,False
128.32,53.11,8.94,-7.69,8.91,False
136.46,64.96,12.41,-9.69,12.31,False
149.83,84.37,9.55,-8.5,9.35,False
52.02,6.37,4.4,-2.69,4.4,False
155.22,95.82,10.78,-9.54,10.64,False
146.6,77.56,8.71,-8.04,8.36,False
151.15,86.67,10.84,-9.4,10.55,False
141.15,70.24,8.66,-7.94,5.49,False
153.92,93.36,13.28,-11.47,13.25,False
146.18,73.04,13.37,-11.61,12.65,False
153.12,90.9,15.8,-9.68,11.4,False
53.67,7.68,4.06,-1.49,4.0,False
142.91,69.03,2.96,-2.65,1.51,False
119.38,68.29,10.33,-9.24,9.43,False
154.6,94.35,6.15,-4.98,4.92,False
65.85,12.4,9.05,-7.38,8.32,False
128.32,53.11,8.99,-7.72,7.07,False
42.55,0.09,-3.66,5.71,-1.98,False
153.46,91.68,2.5,-4.98,2.27,False
149.85,84.1,11.31,-7.23,11.3,False
51.41,7.28,11.78,-9.36,10.76,False
154.47,94.01,17.15,-13.81,15.24,False
149.09,83.03,9.52,-8.46,9.31,False
125.8,57.77,8.87,-8.9,8.81,False
63.94,14.13,-4.4,5.53,-0.68,False
153.48,91.75,2.53,-4.95,2.33,False
149.71,83.96,11.22,-7.21,11.22,False
118.49,49.37,8.37,-6.7,5.01,False
150.19,84.94,11.39,-7.16,11.37,False
43.62,0.95,-3.64,5.91,-2.06,False
76.75,21.63,3.19,-2.09,2.14,False
154.35,93.73,17.53,-14.33,16.5,False
158.65,103.96,7.8,-5.51,5.35,False
153.1,90.86,15.91,-9.81,15.0,False
85.54,27.3,3.48,-3.18,3.36,False
156.78,99.67,1.5,2.7,0.21,False
148.72,82.01,14.1,-11.73,13.58,False
154.8,95.02,9.02,-7.88,7.78,False
148.51,82.0,9.42,-8.38,9.21,False
75.3,20.76,3.44,-2.21,2.17,False
310.17,55.2,3.43,4.15,3.33,False
150.13,71.07,1.37,-4.74,1.11,False
153.27,94.33,17.73,-14.5,17.4,False
149.27,83.37,9.52,-8.47,9.31,False
120.21,50.09,10.02,-8.73,8.67,False
152.52,150.06,8.41,7.02,6.76,False
158.04,107.86,13.49,-11.14,13.49,False
150.28,85.02,9.86,-7.31,8.83,False
155.47,95.41,1.25,-4.61,0.9,False
105.84,46.5,3.1,-2.77,1.7,False
150.92,86.29,7.28,-4.79,5.55,False
119.76,49.36,8.0,-7.2,4.73,False
155.47,96.44,6.35,-4.98,6.35,False
122.26,51.79,7.91,-7.18,4.94,False
135.49,62.9,8.56,-7.7,5.29,False
153.03,90.72,15.84,-9.71,14.91,False
98.31,34.87,4.72,-3.23,4.57,False
88.49,28.73,3.53,-3.24,3.42,False
153.76,92.37,16.96,-13.6,16.92,False
1173.73,207.96,10.84,-5.25,10.58,False
98.13,34.04,3.75,-3.15,3.75,False
154.08,94.13,9.54,-7.87,9.15,False
127.85,56.55,14.52,-10.75,14.49,False
61.53,12.05,-9.42,9.81,-0.23,False
153.17,80.62,2.11,-4.25,1.65,False
58.79,10.36,-9.74,10.12,-0.11,False
124.71,72.9,8.37,-4.76,6.29,False
153.64,91.79,15.85,-10.84,12.69,False
97.84,32.61,3.71,-3.1,3.71,False
140.63,69.94,13.76,-11.89,13.75,False
156.36,98.62,8.08,-7.92,6.99,False
131.72,60.12,10.17,-8.48,8.32,False
126.21,49.85,8.79,6.93,5.79,False
112.26,44.21,14.34,-10.67,3.21,False
143.23,89.02,1.85,-3.74,1.69,False
153.3,91.34,6.21,-5.54,6.17,False
155.33,96.09,10.31,-9.26,8.87,False
139.55,68.6,8.17,-6.08,7.88,False
155.53,96.58,10.62,-7.9,10.48,False
60.4,11.66,5.35,-4.98,4.66,False
59.29,10.92,12.96,-10.61,12.47,False
143.08,88.56,7.01,-4.92,3.58,False
150.67,95.34,16.26,-11.81,12.42,False
154.1,91.87,16.05,-10.3,13.63,False
155.52,96.79,1.82,-3.72,1.66,False
135.47,62.04,9.88,-7.85,9.56,False
93.31,31.33,14.18,-12.3,11.51,False
147.51,74.77,12.89,-11.25,12.89,False
154.51,94.12,2.42,-4.98,2.14,False
156.39,98.65,1.5,2.7,0.21,False
125.2,54.24,4.54,-4.47,3.88,False
75.3,20.76,3.44,-2.21,2.17,False
76.75,21.63,3.19,-2.09,2.14,False
98.31,34.87,4.72,-3.23,4.57,False
730.76,135.95,1.88,4.14,1.87,False
76.75,21.63,3.19,-2.09,2.14,False
102.81,37.61,7.29,-5.92,7.2,False
140.18,85.21,8.84,-8.6,5.58,False
151.91,104.09,10.07,-9.08,8.73,False
854.59,146.62,1.88,4.14,1.87,False
98.33,34.35,4.45,-3.08,4.28,False
154.47,94.03,2.84,-4.97,2.84,False
143.71,74.05,15.62,-10.91,13.6,False
143.28,73.47,15.63,-10.91,13.63,False
61.75,12.44,13.38,-11.02,12.88,False
155.41,97.5,10.73,-9.17,10.31,False
142.92,72.89,14.46,-12.3,14.46,False
147.46,80.24,9.26,-8.23,7.54,False
70.48,17.8,5.15,4.74,1.58,False
153.74,93.89,2.68,-4.51,2.64,False
53.53,7.33,4.96,-4.74,4.6,False
155.07,96.08,7.74,-7.94,7.71,False
135.21,90.14,2.38,-4.39,1.79,False
149.78,83.98,15.78,-10.87,10.76,False
153.03,122.48,4.33,5.19,4.26,False
158.98,108.96,10.09,-2.07,10.05,False
156.59,99.82,1.91,-3.76,1.81,False
150.87,103.21,7.73,-5.72,4.63,False
156.62,99.25,12.26,-10.49,11.56,False
148.55,88.05,7.09,-4.9,7.07,False
46.42,2.61,4.47,-2.69,4.4,False
42.56,0.07,-3.77,5.73,-1.5,False
134.46,136.53,8.6,6.95,6.99,False
48.12,3.79,4.46,-2.13,4.39,False
145.82,87.22,7.01,-4.92,3.58,False
149.56,95.33,18.65,-15.06,17.01,False
116.07,43.32,3.21,-4.3,3.17,False
116.7,47.78,2.28,4.28,1.98,False
132.07,60.44,8.07,-7.46,7.86,False
153.19,79.82,15.66,-13.06,14.67,False
155.56,96.7,0.87,2.24,0.64,False
153.36,79.15,1.53,-4.79,1.53,False
132.21,60.58,7.58,-5.59,7.49,False
46.93,3.02,4.45,-2.13,4.39,False
93.86,32.07,6.4,-4.35,5.85,False
58.88,10.66,6.35,-4.28,5.74,False
160.5,108.85,14.06,-11.57,14.05,False
92.77,31.01,8.28,-4.4,6.17,False
155.0,95.52,9.91,-7.92,7.72,False
120.51,50.14,13.76,-11.74,8.01,False
148.01,80.8,15.33,-10.91,15.19,False
108.96,28.83,3.62,-3.18,2.52,False
141.13,70.59,8.27,-6.21,7.2,False
60.24,11.54,5.33,-4.98,4.63,False
60.24,11.54,5.36,4.99,1.48,False
101.19,36.69,5.3,-4.89,5.26,False
95.16,32.85,5.6,-3.96,5.46,False
126.79,88.45,1.5,-4.18,0.21,False
156.48,98.85,1.5,2.7,0.21,False
114.39,67.8,8.46,-5.19,7.52,False
147.34,80.11,15.8,-10.86,12.68,False
141.13,70.59,8.27,-6.21,7.2,False
143.68,74.04,15.77,-10.88,12.64,False
155.38,89.86,17.32,-12.53,13.42,False
51.6,6.06,4.42,-2.67,4.39,False
83.94,25.47,3.23,-2.57,2.83,False
142.1,71.81,15.32,-10.91,15.29,False
85.54,27.3,3.48,-3.18,3.36,False
