total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
111.62,43.9,5.56,-4.34,5.56,True
45.41,2.05,4.43,-2.71,4.35,True
99.47,35.51,5.38,-4.11,5.24,True
47.51,3.36,4.44,-2.7,4.36,True
97.4,34.23,5.52,-4.28,5.51,True
99.77,35.84,5.67,-4.48,5.66,True
46.99,3.02,4.45,-2.7,4.37,True
97.4,34.23,5.52,-4.28,5.51,True
98.88,35.13,5.56,-4.34,5.55,True
98.88,35.13,5.56,-4.34,5.55,True
96.27,33.63,5.65,-4.46,5.64,True
97.43,34.28,4.62,-4.2,4.16,True
56.28,9.05,4.37,-1.91,3.47,True
58.52,9.99,4.4,-1.96,3.53,True
64.42,14.1,6.55,-4.5,5.72,True
84.43,26.63,3.45,-3.15,3.32,True
59.07,10.78,7.21,-5.09,6.83,True
80.44,23.36,3.2,-2.03,2.2,True
42.65,0.06,11.84,-9.4,10.23,True
55.9,8.88,17.49,-14.57,12.54,True
57.93,10.49,17.93,-14.96,12.74,True
65.79,15.01,3.23,3.79,1.0,True
55.53,8.42,18.49,-15.61,17.83,True
74.81,20.43,7.16,-5.41,7.15,True
74.81,20.43,7.16,-5.41,7.15,True
50.22,5.2,13.19,-10.6,11.73,True
75.84,20.99,7.04,-5.32,7.03,True
69.57,18.68,6.64,-4.98,6.63,True
92.54,31.16,18.39,-15.46,16.73,True
85.54,26.84,5.69,4.94,1.56,True
85.54,26.84,5.69,4.94,1.56,True
71.67,18.49,5.39,4.94,1.73,True
78.44,24.41,9.8,-7.84,9.39,True
85.92,27.09,13.51,-11.16,13.47,True
43.77,0.9,7.55,-4.58,7.38,True
48.98,4.45,24.29,-21.57,3.91,True
43.77,0.9,7.6,-4.62,7.43,True
43.77,0.9,7.68,-4.7,7.52,True
43.77,0.9,7.73,-4.74,7.56,True
43.77,0.9,7.68,-4.7,7.52,True
46.18,2.56,24.7,-21.9,11.24,True
52.77,6.82,8.46,-5.31,8.43,True
52.77,6.82,8.5,-5.35,8.47,True
52.77,6.82,8.46,-5.31,8.43,True
99.59,35.62,14.54,-11.19,14.08,True
45.0,1.75,7.44,-4.44,7.26,True
113.97,45.34,10.65,-7.67,10.19,True
43.25,0.54,7.43,-4.96,7.21,True
68.25,16.46,8.42,-5.8,4.07,True
94.48,32.36,11.03,-8.0,11.03,True
