total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho
106.76,40.4,9.04,-7.22,8.61
58.2,12.21,7.52,-5.42,5.39
93.79,30.99,8.41,-6.34,8.2
123.9,53.13,8.98,-7.04,8.57
123.18,52.5,8.83,-6.82,7.45
83.51,123.87,2.95,-1.06,2.72
83.51,12.21,3.07,-1.2,2.14
93.82,32.55,8.0,-5.91,7.73
116.49,47.29,9.02,-7.14,8.57
126.77,55.56,8.93,-6.97,8.85
124.98,54.02,8.88,-6.9,7.52
126.77,55.56,8.92,-6.95,8.84
105.72,39.67,8.55,-6.49,7.89
111.9,43.89,8.7,-6.66,7.17
123.18,52.5,8.82,-6.82,5.32
101.6,36.98,9.02,-7.27,7.62
97.02,34.05,9.0,-7.28,7.59
101.6,36.98,9.02,-7.27,8.59
64.53,0.79,2.23,-1.26,2.09
73.42,20.52,8.89,-7.29,8.46
83.51,123.87,2.95,-1.06,2.72
83.51,123.87,2.95,-1.06,2.02
83.51,12.21,3.07,-1.2,2.14
83.51,123.87,2.95,-1.06,2.72
83.51,123.87,2.95,-1.06,2.72
54.79,10.6,7.59,-5.5,5.31
83.51,12.21,3.07,-1.2,2.14
83.51,123.87,2.95,-1.06,2.72
122.82,183.79,2.9,-1.02,2.9
58.2,12.21,7.53,-5.43,3.97
83.51,12.21,3.07,-1.2,2.14
67.43,16.08,7.8,-5.71,6.62
67.43,16.08,7.76,-5.66,6.78
90.33,29.28,8.27,-6.2,8.06
89.42,29.28,8.32,-6.24,8.1
93.82,30.76,8.04,-5.95,7.77
113.16,50.46,8.79,-6.77,7.28
115.79,46.77,9.04,-7.19,8.05
115.79,46.77,9.03,-7.18,8.05
116.49,47.29,9.03,-7.15,8.57
119.15,49.33,9.0,-7.09,8.55
123.9,53.13,8.98,-7.04,8.57
119.15,49.33,9.01,-7.1,8.55
123.9,53.13,8.97,-7.02,8.97
126.77,55.56,8.93,-6.97,8.85
125.37,54.36,8.96,-7.01,8.96
126.77,55.56,8.91,-6.94,8.83
124.98,54.02,8.87,-6.87,7.49
124.98,54.02,8.88,-6.9,7.52
126.77,55.56,8.91,-6.93,8.31
125.37,54.36,8.94,-6.99,8.78
93.82,32.55,8.0,-5.91,7.73
105.72,39.67,8.51,-6.45,7.84
88.44,28.69,8.38,-6.3,8.16
107.02,41.02,8.62,-6.57,7.96
105.72,39.67,8.55,-6.49,7.89
113.16,44.85,8.77,-6.74,7.25
112.51,44.37,8.72,-6.69,7.2
123.18,52.5,8.85,-6.84,7.47
123.18,52.5,8.83,-6.82,7.45
105.72,41.02,8.6,-6.55,7.94
112.51,44.37,8.75,-6.72,7.23
111.9,43.89,8.71,-6.68,7.18
100.35,36.18,9.0,-7.28,7.6
104.65,38.98,9.03,-7.25,8.6
117.19,47.81,9.02,-7.13,8.57
121.22,50.98,8.99,-7.07,8.54
113.74,45.27,9.04,-7.2,8.05
115.79,46.77,9.03,-7.16,8.58
101.6,36.98,9.02,-7.27,8.59
105.67,39.66,9.03,-7.25,8.6
95.52,33.1,8.98,-7.29,8.04
100.35,36.18,9.01,-7.28,7.6
100.35,36.18,9.02,-7.27,7.61
73.42,20.52,8.88,-7.29,8.41
85.84,26.92,8.94,-7.29,8.14
64.53,0.79,2.23,-1.26,2.08
64.84,14.73,8.84,-7.27,8.42
63.52,13.64,8.83,-7.27,8.42
91.3,30.48,8.94,-7.29,8.14
73.42,20.52,8.89,-7.29,8.46
91.3,30.48,8.94,-7.29,8.14
116.16,20.69,2.03,-1.21,2.02
64.53,0.79,2.21,-1.25,2.21
73.54,5.03,2.17,-1.24,2.17
64.53,0.79,2.21,-1.26,2.21
105.67,39.66,9.04,-7.24,8.61
83.51,123.87,2.93,-1.04,2.92
83.51,123.87,2.95,-1.06,2.72
83.51,123.87,2.93,-1.04,2.92
83.51,123.87,2.95,-1.06,2.72
83.51,123.87,2.95,-1.06,2.02
83.51,123.87,2.95,-1.06,2.72
83.51,12.21,3.07,-1.2,2.14
83.51,12.21,3.07,-1.2,2.14
83.51,12.21,3.07,-1.2,2.14
83.51,12.21,3.07,-1.2,2.14
83.51,123.87,2.95,-1.06,2.02
83.51,12.21,3.06,-1.18,3.03
83.51,123.87,2.95,-1.06,2.72
83.51,123.87,2.95,-1.06,2.72
83.51,123.87,2.95,-1.06,2.72
83.51,123.87,2.95,-1.06,2.72
58.2,12.21,7.53,-5.43,3.97
83.51,12.21,3.07,-1.2,2.14
58.2,12.21,7.52,-5.42,5.39
83.51,123.87,2.95,-1.06,2.02
83.51,12.21,3.07,-1.2,2.14
83.51,123.87,2.95,-1.06,2.72
83.51,123.87,2.95,-1.06,2.72
122.82,183.79,2.9,-1.02,2.9
83.51,123.87,2.93,-1.04,2.92
370.05,189.04,2.37,-0.53,1.78
83.51,123.87,2.94,-1.05,2.93
83.51,12.21,3.07,-1.2,2.14
83.51,12.21,3.07,-1.2,2.14
58.2,12.21,7.53,-5.43,3.97
58.2,12.21,7.52,-5.42,5.39
54.79,10.6,7.59,-5.5,5.31
58.2,12.21,7.52,-5.42,5.39
56.73,10.6,7.62,-5.52,5.4
54.79,10.6,7.59,-5.5,5.31
56.73,9.44,7.72,-5.62,6.39
94.24,32.55,7.94,-5.85,7.55
94.24,32.55,7.94,-5.85,7.55
67.43,16.08,7.78,-5.69,6.64
90.95,30.23,8.11,-6.02,7.84
90.95,30.23,8.11,-6.02,7.84
93.82,30.76,8.04,-5.95,7.77
89.42,29.28,8.34,-6.27,8.13
88.44,28.69,8.38,-6.3,8.16
90.33,29.28,8.3,-6.22,8.08
93.82,30.23,8.08,-6.0,7.81
93.82,32.55,8.03,-5.94,7.76
93.82,30.23,8.08,-6.0,7.81
93.82,32.55,7.98,-5.89,7.73
94.24,32.55,7.96,-5.87,7.76
93.79,30.99,8.47,-6.41,7.8
88.44,28.69,8.39,-6.32,8.17
89.42,29.28,8.32,-6.24,8.1
90.33,28.55,8.25,-6.17,8.03
123.18,52.5,8.85,-6.84,7.47
123.18,52.5,8.82,-6.82,5.32
115.79,46.77,9.03,-7.17,8.04
113.04,44.75,9.04,-7.2,8.05
113.74,45.27,9.04,-7.2,8.05
115.79,46.77,9.04,-7.18,8.05
115.79,46.77,9.03,-7.16,8.58
116.49,47.29,9.03,-7.15,8.57
115.79,46.77,9.03,-7.16,8.58
117.19,47.81,9.01,-7.12,8.56
119.15,49.33,9.01,-7.1,8.55
117.19,47.81,9.02,-7.12,8.56
121.22,50.98,8.99,-7.06,8.58
123.9,53.13,8.98,-7.04,8.57
121.22,50.98,8.99,-7.07,8.54
121.22,50.98,8.98,-7.05,8.57
121.22,50.98,8.99,-7.07,8.54
121.22,50.98,8.99,-7.07,8.54
117.19,47.81,9.02,-7.12,8.56
119.15,49.33,9.01,-7.1,8.55
123.9,53.13,8.97,-7.03,8.56
123.9,53.13,8.96,-7.02,8.96
123.9,53.13,8.97,-7.02,8.97
126.77,55.56,8.94,-6.97,8.77
126.77,55.56,8.93,-6.97,8.85
126.77,55.56,8.94,-6.97,8.77
126.77,55.56,8.93,-6.96,8.85
126.77,55.56,8.94,-6.97,8.77
126.77,55.56,8.94,-6.97,8.77
126.77,55.56,8.93,-6.96,8.85
126.77,55.56,8.91,-6.93,8.31
124.98,54.02,8.88,-6.9,7.52
124.98,54.02,8.88,-6.9,7.52
124.98,54.02,8.89,-6.91,8.3
123.18,52.5,8.85,-6.85,7.48
123.18,52.5,8.86,-6.86,7.49
