lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-69.37,-31.3,122.0,202.0,-41.35,-37.384,0.046,1106.0,-44.67,-37.22,10.18,-13.27,2.39,-105.76,0.2,95.78,919.0,201.0,25.9,25.9,9.91,-2.34,-0.65,-2.3,-10.33,-26.67,9.23,-4.64,51.08,0.16,31.7,121.46,2.13
-69.75,-30.5,28.0,202.0,-63.153999999999996,-30.456999999999997,0.039,879.0,-65.77,-30.32,11.43,-20.64,2.75,-172.48,0.2,95.07,902.0,201.0,23.87,23.87,10.7,-4.03,-2.73,-0.36,-9.11,-28.89,7.97,-4.4,77.41,0.21,11.55,145.91,2.48
-66.65,-27.27,163.0,202.0,-43.086000000000006,-32.507,0.077,1076.0,-48.25,-31.83,8.59,-57.19,6.44,92.08,0.2,98.37,919.0,201.0,9.22,9.22,4.66,-7.22,-0.23,6.43,-4.52,-10.04,4.45,-0.79,27.78,0.05,0.73,88.84,2.01
-66.61,-27.33,27.0,202.0,-60.343999999999994,-27.201999999999998,0.078,935.0,-65.32,-26.68,11.9,-19.94,2.81,-173.1,0.2,95.21,902.0,201.0,28.91,28.91,11.19,-4.06,-2.79,-0.34,-9.49,-27.66,8.41,-4.41,81.53,0.22,8.27,148.39,2.47
-66.55,-27.4,136.0,202.0,-41.786,-34.703,0.079,1117.0,-47.15,-33.8,9.92,-38.27,-3.92,-9.26,0.2,99.6,919.0,201.0,9.2,9.2,7.79,-6.14,3.87,-0.63,-13.5,-30.3,11.66,-6.81,39.62,0.11,24.38,105.74,2.26
-66.57,-27.28,49.0,202.0,-54.254,-28.031,0.078,1199.0,-59.32,-27.64,5.3,9.35,2.27,150.52,0.2,94.25,902.0,201.0,32.88,32.88,5.23,0.86,-1.97,1.12,-3.79,31.21,3.24,1.96,87.88,0.1,16.37,152.14,2.58
-67.9,-26.3,61.0,202.0,-53.383,-26.291999999999998,0.055999999999999994,1254.0,-56.98,-26.05,2.67,32.42,1.19,-173.45,0.2,94.57,902.0,201.0,37.53,37.64,2.26,1.43,-1.18,-0.14,-1.68,50.26,1.08,1.29,72.57,0.04,23.68,141.93,2.47
-70.58,-38.25,69.0,283.0,-54.948,-38.705,0.055999999999999994,1003.0,-59.04,-38.55,13.73,7.0,3.55,-152.64,0.16,92.93,904.0,201.0,22.99,22.99,13.63,1.67,-3.15,-1.63,-10.48,0.27,10.48,0.05,4.33,0.05,5.31,72.19,1.5
-69.17,-30.0,89.0,202.0,-50.132,-33.126999999999995,0.048,1136.0,-53.35,-32.77,4.17,-31.68,2.37,-127.51,0.2,97.91,908.0,201.0,28.93,29.63,3.55,-2.19,-1.44,-1.88,-4.61,-62.49,2.13,-4.09,48.34,0.06,24.82,116.82,2.38
-70.05,-31.95,47.0,202.0,-58.052,-32.841,0.037000000000000005,1138.0,-60.58,-32.86,3.01,2.49,2.45,-174.16,0.2,94.21,902.0,201.0,27.83,27.83,3.01,0.13,-2.44,-0.25,-0.59,-13.66,0.58,-0.14,97.35,0.06,20.14,155.87,2.69
