total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
104.97,42.88,10.88,-9.53,10.85,False
44.19,1.16,1.84,-0.48,1.77,False
104.57,35.95,13.92,-9.85,13.8,False
106.16,39.93,8.84,-8.21,8.59,False
149.05,81.6,10.39,-8.09,9.56,False
118.61,48.85,9.92,-11.04,7.95,False
136.96,65.58,3.29,-2.21,3.24,False
51.32,5.91,13.72,-12.41,13.63,False
107.53,40.83,13.46,-9.48,13.34,False
126.14,54.99,10.89,-11.78,9.23,False
131.55,59.94,4.37,-1.02,4.34,False
117.85,48.13,11.12,-14.99,9.37,False
114.32,45.63,4.71,-4.82,4.24,False
150.73,85.83,5.77,-4.15,5.71,False
132.65,61.0,5.05,-9.0,4.49,False
118.57,48.81,9.39,-9.68,8.59,False
90.69,29.8,5.03,-6.08,4.78,False
117.65,48.1,4.17,-7.66,2.45,False
121.31,50.96,10.36,-10.5,10.07,False
138.69,67.47,9.87,-8.77,9.49,False
43.2,0.06,2.49,1.5,2.45,False
114.79,45.86,9.06,-7.99,8.39,False
150.2,84.82,5.86,-4.21,5.8,False
123.03,52.44,8.99,-7.09,8.56,False
113.75,45.17,8.24,-7.69,7.98,False
83.44,28.4,14.97,-10.7,12.79,False
89.54,29.32,11.17,-6.96,10.58,False
85.33,26.69,12.11,-10.74,11.92,False
51.31,19.83,5.28,-4.22,5.16,False
150.58,85.42,9.63,-7.33,9.54,False
131.41,59.81,5.11,-1.45,4.42,False
101.99,37.17,6.12,-5.93,6.11,False
85.61,25.33,14.88,-10.62,14.1,False
126.08,52.03,3.77,-1.8,3.41,False
118.65,48.88,-1.38,2.05,-0.19,False
123.74,52.92,9.49,-11.35,6.34,False
94.66,30.23,11.8,-10.43,11.79,False
90.6,29.93,10.9,-6.75,10.83,False
87.31,32.88,8.67,-4.7,3.68,False
132.56,60.95,3.97,-2.03,3.96,False
118.91,49.14,9.02,-7.17,8.06,False
64.9,17.41,5.13,-4.08,4.75,False
95.29,32.88,5.09,-6.08,4.87,False
152.66,89.94,12.46,-9.97,11.84,False
65.77,17.9,8.35,-4.0,6.16,False
91.11,30.27,7.78,-6.7,6.99,False
87.59,28.08,9.55,-8.79,9.51,False
46.43,2.72,11.93,-11.38,10.35,False
48.98,14.35,4.62,-5.96,4.57,False
89.69,28.72,9.46,-8.7,9.27,False
103.52,38.16,9.0,-8.35,8.99,False
116.78,47.46,8.8,-9.22,8.4,False
103.7,39.34,8.26,-9.86,4.81,False
122.22,51.68,10.7,-10.78,9.46,False
102.03,37.18,8.79,-8.18,8.54,False
