total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho,label
74.44,18.69,3.83,-4.28,3.76,True
135.08,63.65,11.88,-9.37,11.6,True
143.37,73.67,10.87,-9.04,10.51,True
141.67,71.03,10.87,-9.04,10.51,True
136.41,65.0,10.88,-9.04,10.51,True
141.67,71.03,10.87,-9.04,10.51,True
142.28,72.28,11.94,-9.37,11.65,True
78.99,23.13,2.74,4.83,0.14,True
64.61,16.5,3.74,-4.18,3.67,True
132.44,60.95,11.85,-9.37,11.58,True
151.0,86.62,11.94,-9.34,11.64,True
135.09,60.21,10.85,-8.97,10.51,True
131.95,60.37,10.88,-9.04,10.51,True
146.31,77.18,12.81,-10.38,11.85,True
139.73,68.57,4.55,-5.12,4.54,True
119.04,49.25,9.02,-7.19,8.08,True
149.49,83.18,12.75,-10.31,11.78,True
133.46,58.44,11.84,-9.37,11.57,True
133.46,58.44,11.84,-9.37,11.57,True
96.13,33.65,1.77,0.81,1.74,True
125.97,54.95,10.7,-8.98,10.36,True
82.96,21.57,3.9,-4.37,3.83,True
152.7,90.02,12.17,-9.73,11.47,True
160.01,107.66,12.43,-9.94,11.71,True
82.96,21.57,3.9,-4.37,3.83,True
149.26,83.06,9.85,-7.52,9.52,True
147.64,80.23,11.97,-9.31,11.72,True
148.63,81.88,11.9,-9.28,11.85,True
144.0,73.62,11.92,-9.31,11.88,True
140.88,70.04,12.61,-10.15,12.56,True
148.72,82.06,11.96,-9.31,11.7,True
147.93,80.73,12.01,-9.38,11.79,True
142.44,74.03,12.44,-9.96,12.42,True
140.88,70.04,12.6,-10.14,12.55,True
140.88,70.04,12.57,-10.11,12.52,True
95.24,32.56,9.91,-5.96,9.75,True
89.96,29.52,11.91,-10.54,11.9,True
80.44,22.84,4.67,-5.86,4.39,True
103.49,38.13,13.85,-9.79,13.3,True
152.03,88.52,4.71,-2.13,4.7,True
138.23,67.13,11.93,-9.38,11.1,True
147.48,79.9,5.67,-4.02,5.29,True
156.31,98.5,9.49,-6.49,9.38,True
157.43,101.31,10.05,-7.0,9.99,True
158.13,103.52,12.74,-10.21,12.73,True
155.98,97.67,10.02,-6.97,9.89,True
156.54,99.06,10.17,-7.11,9.19,True
111.18,40.29,10.7,-8.97,10.34,True
