,arc_len_all,arc_len_mz,arc_len_cz,arc_len_mio
age,0.18,0.26,0.44,0.56
recon_lon,0.28,0.24,0.56,0.54
recon_lat,-0.21,-0.14,-0.36,-0.49
distance,0.08,-0.14,0.27,0.21
conv_rate,-0.11,-0.27,0.07,-0.29
conv_angle,0.29,0.40,0.08,-0.41
trench_abs_rate,-0.04,-0.10,0.19,0.51
trench_abs_angle,-0.01,-0.19,0.10,0.53
arc_len,1.00,1.00,1.00,1.00
trench_norm,-0.09,0.14,-0.36,-0.51
dist_nearest_edge,0.20,0.12,0.38,-0.42
dist_from_start,-0.25,-0.34,-0.04,0.48
conv_ortho,0.01,-0.14,0.23,-0.48
conv_paral,0.27,0.37,0.11,-0.43
trench_abs_ortho,0.14,0.29,-0.19,-0.49
trench_abs_paral,-0.19,-0.34,0.10,0.49
subducting_abs_rate,0.15,0.26,-0.01,0.36
subducting_abs_angle,0.12,0.11,0.12,-0.11
subducting_abs_ortho,0.06,-0.02,0.20,-0.53
subducting_abs_paral,0.22,0.28,0.15,-0.08
seafloor_age,0.05,0.00,0.19,-0.47
carbonate_sediment_thickness,-0.25,-0.24,-0.30,-0.48
total_sediment_thick,0.06,0.02,0.18,-0.47
ocean_crust_carb_percent,0.06,0.14,0.09,-0.45
