,carbonate_sediment_thickness_all,carbonate_sediment_thickness_mz,carbonate_sediment_thickness_cz,carbonate_sediment_thickness_mio
age,-0.4580794862529126,-0.7025849429575737,-0.6020434738269902,0.018230821310297306
recon_lon,-0.5587334887708595,-0.6585768906624265,-0.616954405409294,-0.7207134808355045
recon_lat,0.5765767917260979,0.750460119365693,0.3054934489006939,0.7369244223434714
distance,-0.02384202663977811,-0.15766242850811857,0.045023347586378916,0.3529372891707164
conv_rate,-0.009173431402177861,0.42822386390922645,-0.42856968397795697,0.6449382193811953
conv_angle,-0.2651628895444998,-0.40699133512759866,-0.053605544093943094,-0.11141213527216529
trench_abs_rate,-0.2733646707322696,-0.3267927044156635,-0.20355892834515463,-0.7140827942609309
trench_abs_angle,-0.19126614543347562,-0.20081453367266752,-0.2586533442796063,-0.8299700279280683
arc_len,-0.25399425001231085,-0.2350211183309147,-0.29556781500540824,-0.4818413024358618
trench_norm,0.23070447401674704,-0.28438007733846976,0.6724313523266173,0.8506281640402598
dist_nearest_edge,-0.041667181704727746,0.02802074550314031,-0.1785224257756129,0.8663376314176783
dist_from_start,0.3320057245282764,0.5987791779575284,-0.11308245574905405,-0.8700105565756482
conv_ortho,-0.13966168305762322,0.21342097788492015,-0.5485660721042935,0.5943222701297463
conv_paral,-0.17442781177989874,-0.38152673604565884,0.07844192477387156,-0.08785820765126548
trench_abs_ortho,0.12011498901737022,0.03412427482405537,0.26618356713856867,0.8540734199111555
trench_abs_paral,-0.016734774604720486,0.11280201544021314,-0.38214941456499124,-0.7177584334013779
subducting_abs_rate,-0.0861796782781458,-0.5310665592405108,0.42513578989809353,-0.673540493317376
subducting_abs_angle,-0.222759715966905,-0.21469765229660107,-0.24834873742873811,-0.6192632131477592
subducting_abs_ortho,-0.10264772067905335,0.226350930584876,-0.5314792857798599,0.7406942901267374
subducting_abs_paral,-0.20463236253275796,-0.3981119212086407,0.008796175089328256,-0.6422721956134239
seafloor_age,0.033777644179123927,0.07787482429177855,0.0021271367719834346,0.90095269412781
carbonate_sediment_thickness,1.0,1.0,1.0,1.0
total_sediment_thick,0.058696442339669946,0.1672432111626997,0.008313362235148208,0.8998829544761983
ocean_crust_carb_percent,-0.01693470701370135,-0.17670369059056493,0.06254795867988054,0.9374710032959144
