,conv_angle_all,conv_angle_mz,conv_angle_cz,conv_angle_mio
age,0.32,0.45,-0.06,-0.94
recon_lon,0.36,0.46,0.17,-0.41
recon_lat,-0.48,-0.48,-0.54,0.40
distance,0.01,0.15,-0.05,-0.78
conv_rate,-0.31,-0.46,-0.17,0.06
conv_angle,1.00,1.00,1.00,1.00
trench_abs_rate,-0.08,-0.25,0.34,-0.43
trench_abs_angle,-0.26,-0.01,-0.43,-0.27
arc_len,0.29,0.40,0.08,-0.41
trench_norm,0.11,0.18,0.06,0.22
dist_nearest_edge,0.04,0.11,0.03,-0.04
dist_from_start,-0.69,-0.71,-0.68,-0.21
conv_ortho,0.09,-0.06,0.32,0.44
conv_paral,0.90,0.95,0.85,0.98
trench_abs_ortho,0.20,0.47,-0.31,0.28
trench_abs_paral,-0.60,-0.66,-0.58,-0.44
subducting_abs_rate,0.32,0.48,0.12,-0.27
subducting_abs_angle,0.63,0.50,0.95,0.83
subducting_abs_ortho,0.17,0.14,0.26,0.43
subducting_abs_paral,0.78,0.81,0.82,0.70
seafloor_age,0.10,-0.14,0.31,0.15
carbonate_sediment_thickness,-0.27,-0.41,-0.05,-0.11
total_sediment_thick,0.13,-0.16,0.31,0.15
ocean_crust_carb_percent,0.21,0.18,0.23,0.01
