,conv_ortho_all,conv_ortho_mz,conv_ortho_cz,conv_ortho_mio
age,-0.27,-0.58,0.54,-0.36
recon_lon,-0.04,-0.40,0.55,-0.64
recon_lat,-0.13,0.14,-0.51,0.70
distance,0.02,0.26,-0.11,0.01
conv_rate,0.73,0.70,0.76,0.91
conv_angle,0.09,-0.06,0.32,0.44
trench_abs_rate,0.17,0.10,0.49,-0.81
trench_abs_angle,0.04,-0.16,0.08,-0.64
arc_len,0.01,-0.14,0.23,-0.48
trench_norm,-0.26,-0.04,-0.43,0.64
dist_nearest_edge,0.50,0.60,0.40,0.44
dist_from_start,0.10,0.29,-0.18,-0.50
conv_ortho,1.00,1.00,1.00,1.00
conv_paral,0.04,0.03,0.06,0.34
trench_abs_ortho,-0.33,-0.21,-0.51,0.63
trench_abs_paral,0.11,0.08,0.09,-0.75
subducting_abs_rate,-0.66,-0.61,-0.73,-0.91
subducting_abs_angle,0.29,0.20,0.41,0.02
subducting_abs_ortho,0.93,0.91,0.96,0.96
subducting_abs_paral,0.09,0.07,0.08,-0.21
seafloor_age,0.23,0.36,0.27,0.68
carbonate_sediment_thickness,-0.14,0.21,-0.55,0.59
total_sediment_thick,0.22,0.38,0.26,0.68
ocean_crust_carb_percent,0.07,-0.04,0.22,0.66
