,conv_paral_all,conv_paral_mz,conv_paral_cz,conv_paral_mio
age,0.22,0.39,-0.09,-0.97
recon_lon,0.31,0.45,0.17,-0.43
recon_lat,-0.50,-0.49,-0.56,0.40
distance,0.04,0.22,-0.03,-0.82
conv_rate,-0.47,-0.46,-0.48,-0.06
conv_angle,0.90,0.95,0.85,0.98
trench_abs_rate,-0.05,-0.17,0.22,-0.40
trench_abs_angle,-0.21,0.07,-0.39,-0.30
arc_len,0.27,0.37,0.11,-0.43
trench_norm,0.13,0.24,0.05,0.24
dist_nearest_edge,0.11,0.18,0.07,0.01
dist_from_start,-0.66,-0.69,-0.62,-0.27
conv_ortho,0.04,0.03,0.06,0.34
conv_paral,1.00,1.00,1.00,1.00
trench_abs_ortho,0.13,0.36,-0.22,0.31
trench_abs_paral,-0.48,-0.55,-0.58,-0.44
subducting_abs_rate,0.49,0.50,0.48,-0.18
subducting_abs_angle,0.67,0.63,0.78,0.81
subducting_abs_ortho,0.09,0.19,-0.01,0.36
subducting_abs_paral,0.94,0.92,0.99,0.73
seafloor_age,0.16,-0.02,0.35,0.16
carbonate_sediment_thickness,-0.17,-0.38,0.08,-0.09
total_sediment_thick,0.17,-0.07,0.35,0.16
ocean_crust_carb_percent,0.24,0.21,0.30,0.01
