,dist_from_start_all,dist_from_start_mz,dist_from_start_cz,dist_from_start_mio
age,-0.37,-0.68,0.19,0.30
recon_lon,-0.44,-0.69,-0.15,0.81
recon_lat,0.70,0.70,0.72,-0.82
distance,-0.10,-0.10,-0.14,0.01
conv_rate,0.40,0.60,0.19,-0.41
conv_angle,-0.69,-0.71,-0.68,-0.21
trench_abs_rate,0.06,0.11,-0.09,0.75
trench_abs_angle,-0.04,-0.45,0.26,0.87
arc_len,-0.25,-0.34,-0.04,0.48
trench_norm,-0.25,-0.22,-0.32,-0.87
dist_nearest_edge,0.05,0.06,0.02,-0.81
dist_from_start,1.00,1.00,1.00,1.00
conv_ortho,0.10,0.29,-0.18,-0.50
conv_paral,-0.66,-0.69,-0.62,-0.27
trench_abs_ortho,-0.25,-0.42,0.10,-0.93
trench_abs_paral,0.20,0.17,0.44,0.81
subducting_abs_rate,-0.41,-0.61,-0.14,0.58
subducting_abs_angle,-0.54,-0.52,-0.59,0.32
subducting_abs_ortho,0.00,0.11,-0.17,-0.69
subducting_abs_paral,-0.66,-0.74,-0.60,0.33
seafloor_age,-0.21,-0.04,-0.57,-0.88
carbonate_sediment_thickness,0.33,0.60,-0.11,-0.87
total_sediment_thick,-0.19,0.10,-0.57,-0.88
ocean_crust_carb_percent,-0.32,-0.29,-0.55,-0.86
