,dist_nearest_edge_all,dist_nearest_edge_mz,dist_nearest_edge_cz,dist_nearest_edge_mio
age,-0.3772259284320308,-0.3780665259607328,0.6058130937753504,-0.12763239344230995
recon_lon,-0.07752641524903428,-0.07720169094536306,0.5110707903731918,-0.8780461813470803
recon_lat,-0.278151648778943,-0.18922251402055784,-0.39094589439915145,0.8295966900354138
distance,0.1431675082098689,0.3859242359065948,-0.05451314804121411,0.01709857010209164
conv_rate,0.1981144954607816,0.29398675164246424,0.12385455090360456,0.3757198069783254
conv_angle,0.040205957776739056,0.10970956211662544,0.03383865507173638,-0.0433813014701763
trench_abs_rate,0.16701402314124594,0.2738445767781358,0.2577113588103674,-0.7968638479559175
trench_abs_angle,0.12338898833265736,-0.09759453706880257,-0.009002587502299176,-0.9322492571532512
arc_len,0.19959248379865915,0.12290943611262437,0.3839191222209084,-0.4197938125794576
trench_norm,-0.18791979370197398,-0.16619789923621614,-0.26387391538538485,0.9405456259632835
dist_nearest_edge,1.0,1.0,1.0,1.0
dist_from_start,0.04571727169103509,0.06379311657688312,0.01966051924015895,-0.8077914790573228
conv_ortho,0.5046877747643167,0.5984539901172696,0.40068041225033046,0.439007205409037
conv_paral,0.11429033527413683,0.18016535765528893,0.07496188599613368,0.011442503025358926
trench_abs_ortho,-0.28770411307415383,-0.2931801551373343,-0.3510513165529035,0.8914966734874369
trench_abs_paral,0.1021902497217715,-0.11140042870813797,0.05008436786823871,-0.8022446141324112
subducting_abs_rate,-0.10856525436122105,-0.17637221387681085,-0.03646082688401665,-0.6432894493066746
subducting_abs_angle,0.1538840732718065,0.14182765581754872,0.050298610317941216,-0.5488025787073667
subducting_abs_ortho,0.4254915863910313,0.47674500464152375,0.33719318819221433,0.6391994987054278
subducting_abs_paral,0.1703219625508456,0.16018748842952513,0.09275979712362177,-0.6039124392020001
seafloor_age,0.15179163986042585,0.37136004983341503,0.4716653782072168,0.9289082867648516
carbonate_sediment_thickness,-0.041667181704727746,0.02802074550314031,-0.1785224257756129,0.8663376314176783
total_sediment_thick,0.13980708975996967,0.40401506995048964,0.46576725095120597,0.9287820825215026
ocean_crust_carb_percent,-0.03579176234783126,-0.023642015693909675,0.3549344614820572,0.9210873072202509
