,ocean_crust_carb_percent_all,ocean_crust_carb_percent_mz,ocean_crust_carb_percent_cz,ocean_crust_carb_percent_mio
age,0.48,0.38,0.27,-0.08
recon_lon,0.50,0.50,0.31,-0.87
recon_lat,-0.30,-0.34,-0.63,0.89
distance,-0.10,-0.22,-0.01,0.17
conv_rate,-0.11,-0.37,-0.05,0.65
conv_angle,0.21,0.18,0.23,0.01
trench_abs_rate,0.10,0.00,-0.04,-0.88
trench_abs_angle,-0.28,0.41,-0.15,-0.94
arc_len,0.06,0.14,0.09,-0.45
trench_norm,0.02,-0.33,0.13,0.96
dist_nearest_edge,-0.04,-0.02,0.35,0.92
dist_from_start,-0.32,-0.29,-0.55,-0.86
conv_ortho,0.07,-0.04,0.22,0.66
conv_paral,0.24,0.21,0.30,0.01
trench_abs_ortho,0.06,0.32,-0.05,0.94
trench_abs_paral,-0.29,0.08,-0.25,-0.88
subducting_abs_rate,0.10,0.34,0.04,-0.83
subducting_abs_angle,0.03,0.17,0.13,-0.55
subducting_abs_ortho,0.10,0.09,0.23,0.82
subducting_abs_paral,0.15,0.29,0.28,-0.66
seafloor_age,0.77,0.47,0.87,0.99
carbonate_sediment_thickness,-0.02,-0.18,0.06,0.94
total_sediment_thick,0.84,0.48,0.88,0.98
ocean_crust_carb_percent,1.00,1.00,1.00,1.00
