,seafloor_age_all,seafloor_age_mz,seafloor_age_cz,seafloor_age_mio
age,0.39,-0.03,0.42,-0.22
recon_lon,0.45,0.19,0.38,-0.93
recon_lat,-0.21,-0.12,-0.64,0.95
distance,-0.03,0.08,0.02,0.03
conv_rate,0.02,0.13,-0.07,0.60
conv_angle,0.10,-0.14,0.31,0.15
trench_abs_rate,0.27,0.23,0.13,-0.93
trench_abs_angle,-0.23,0.36,-0.17,-0.98
arc_len,0.05,0.00,0.19,-0.47
trench_norm,-0.04,-0.20,0.06,0.99
dist_nearest_edge,0.15,0.37,0.47,0.93
dist_from_start,-0.21,-0.04,-0.57,-0.88
conv_ortho,0.23,0.36,0.27,0.68
conv_paral,0.16,-0.02,0.35,0.16
trench_abs_ortho,-0.17,-0.15,-0.25,0.98
trench_abs_paral,-0.11,0.40,-0.29,-0.94
subducting_abs_rate,0.00,-0.08,0.08,-0.84
subducting_abs_angle,0.17,0.32,0.23,-0.43
subducting_abs_ortho,0.18,0.30,0.22,0.85
subducting_abs_paral,0.13,0.16,0.33,-0.55
seafloor_age,1.00,1.00,1.00,1.00
carbonate_sediment_thickness,0.03,0.08,0.00,0.90
total_sediment_thick,0.95,0.90,1.00,1.00
ocean_crust_carb_percent,0.77,0.47,0.87,0.99
