,subducting_abs_angle_all,subducting_abs_angle_mz,subducting_abs_angle_cz,subducting_abs_angle_mio
age,0.00,0.16,0.03,-0.75
recon_lon,0.13,0.23,0.25,0.14
recon_lat,-0.38,-0.29,-0.54,-0.17
distance,0.02,0.20,-0.14,-0.75
conv_rate,-0.09,-0.10,-0.08,-0.30
conv_angle,0.63,0.50,0.95,0.83
trench_abs_rate,-0.07,-0.16,0.39,0.13
trench_abs_angle,0.09,0.39,-0.23,0.30
arc_len,0.12,0.11,0.12,-0.11
trench_norm,0.00,0.13,-0.12,-0.35
dist_nearest_edge,0.15,0.14,0.05,-0.55
dist_from_start,-0.54,-0.52,-0.59,0.32
conv_ortho,0.29,0.20,0.41,0.02
conv_paral,0.67,0.63,0.78,0.81
trench_abs_ortho,0.04,0.23,-0.37,-0.30
trench_abs_paral,0.05,0.07,-0.33,0.12
subducting_abs_rate,0.09,0.14,0.03,0.22
subducting_abs_angle,1.00,1.00,1.00,1.00
subducting_abs_ortho,0.32,0.29,0.34,-0.09
subducting_abs_paral,0.77,0.77,0.79,0.95
seafloor_age,0.17,0.32,0.23,-0.43
carbonate_sediment_thickness,-0.22,-0.21,-0.25,-0.62
total_sediment_thick,0.09,0.19,0.23,-0.43
ocean_crust_carb_percent,0.03,0.17,0.13,-0.55
