,subducting_abs_ortho_all,subducting_abs_ortho_mz,subducting_abs_ortho_cz,subducting_abs_ortho_mio
age,-0.26,-0.50,0.46,-0.39
recon_lon,-0.08,-0.37,0.49,-0.81
recon_lat,-0.08,0.17,-0.47,0.86
distance,0.00,0.10,-0.08,-0.03
conv_rate,0.69,0.62,0.77,0.85
conv_angle,0.17,0.14,0.26,0.43
trench_abs_rate,-0.11,-0.22,0.25,-0.92
trench_abs_angle,0.08,-0.05,0.09,-0.82
arc_len,0.06,-0.02,0.20,-0.53
trench_norm,-0.20,-0.04,-0.35,0.82
dist_nearest_edge,0.43,0.48,0.34,0.64
dist_from_start,0.00,0.11,-0.17,-0.69
conv_ortho,0.93,0.91,0.96,0.96
conv_paral,0.09,0.19,-0.01,0.36
trench_abs_ortho,0.03,0.21,-0.25,0.82
trench_abs_paral,0.06,-0.01,0.11,-0.89
subducting_abs_rate,-0.68,-0.59,-0.79,-0.94
subducting_abs_angle,0.32,0.29,0.34,-0.09
subducting_abs_ortho,1.00,1.00,1.00,1.00
subducting_abs_paral,0.13,0.21,0.01,-0.29
seafloor_age,0.18,0.30,0.22,0.85
carbonate_sediment_thickness,-0.10,0.23,-0.53,0.74
total_sediment_thick,0.16,0.32,0.22,0.84
ocean_crust_carb_percent,0.10,0.09,0.23,0.82
