,subducting_abs_paral_all,subducting_abs_paral_mz,subducting_abs_paral_cz,subducting_abs_paral_mio
age,0.09,0.40,-0.07,-0.66
recon_lon,0.24,0.48,0.21,0.28
recon_lat,-0.52,-0.50,-0.56,-0.33
distance,0.05,0.20,-0.04,-0.67
conv_rate,-0.45,-0.44,-0.48,-0.48
conv_angle,0.78,0.81,0.82,0.70
trench_abs_rate,-0.05,-0.13,0.24,0.33
trench_abs_angle,0.01,0.35,-0.28,0.42
arc_len,0.22,0.28,0.15,-0.08
trench_norm,0.10,0.26,0.00,-0.47
dist_nearest_edge,0.17,0.16,0.09,-0.60
dist_from_start,-0.66,-0.74,-0.60,0.33
conv_ortho,0.09,0.07,0.08,-0.21
conv_paral,0.94,0.92,0.99,0.73
trench_abs_ortho,0.09,0.33,-0.24,-0.39
trench_abs_paral,-0.14,-0.18,-0.43,0.30
subducting_abs_rate,0.49,0.51,0.49,0.48
subducting_abs_angle,0.77,0.77,0.79,0.95
subducting_abs_ortho,0.13,0.21,0.01,-0.29
subducting_abs_paral,1.00,1.00,1.00,1.00
seafloor_age,0.13,0.16,0.33,-0.55
carbonate_sediment_thickness,-0.20,-0.40,0.01,-0.64
total_sediment_thick,0.11,0.06,0.33,-0.54
ocean_crust_carb_percent,0.15,0.29,0.28,-0.66
