,subducting_abs_rate_all,subducting_abs_rate_mz,subducting_abs_rate_cz,subducting_abs_rate_mio
age,0.31,0.73,-0.33,0.22
recon_lon,0.29,0.75,-0.23,0.78
recon_lat,-0.31,-0.58,0.07,-0.85
distance,0.08,0.05,0.10,-0.03
conv_rate,-0.95,-0.95,-0.95,-0.85
conv_angle,0.32,0.48,0.12,-0.27
trench_abs_rate,0.09,0.20,-0.14,0.92
trench_abs_angle,-0.01,0.28,-0.17,0.79
arc_len,0.15,0.26,-0.01,0.36
trench_norm,0.18,0.03,0.30,-0.81
dist_nearest_edge,-0.11,-0.18,-0.04,-0.64
dist_from_start,-0.41,-0.61,-0.14,0.58
conv_ortho,-0.66,-0.61,-0.73,-0.91
conv_paral,0.49,0.50,0.48,-0.18
trench_abs_ortho,0.06,0.05,0.09,-0.76
trench_abs_paral,-0.16,-0.18,-0.25,0.88
subducting_abs_rate,1.00,1.00,1.00,1.00
subducting_abs_angle,0.09,0.14,0.03,0.22
subducting_abs_ortho,-0.68,-0.59,-0.79,-0.94
subducting_abs_paral,0.49,0.51,0.49,0.48
seafloor_age,0.00,-0.08,0.08,-0.84
carbonate_sediment_thickness,-0.09,-0.53,0.43,-0.67
total_sediment_thick,0.00,-0.11,0.09,-0.83
ocean_crust_carb_percent,0.10,0.34,0.04,-0.83
