,trench_abs_ortho_all,trench_abs_ortho_mz,trench_abs_ortho_cz,trench_abs_ortho_mio
age,0.054643117274612345,0.19663042216653362,-0.4367974051269174,-0.3552897292811139
recon_lon,-0.08919680035122585,0.06278330401379105,-0.4129630411546904,-0.9476676372024122
recon_lat,0.15155803881264054,0.07654830168981512,0.3250145932864807,0.9609521312656781
distance,-0.0540153644925014,-0.3698573579882913,0.14856357331735434,-0.09643818651256729
conv_rate,-0.22313517192124102,-0.20312753559198024,-0.26685488214670405,0.4957601258163809
conv_angle,0.19644982728751717,0.46585437287725057,-0.3106335704367591,0.27966160949677865
trench_abs_rate,-0.7652259217713111,-0.7629358101284547,-0.9443529968887395,-0.9121896540560555
trench_abs_angle,0.09577815747450419,0.2672175201207358,0.0012241423769709671,-0.9787860455053934
arc_len,0.14157616249952606,0.2886465763715677,-0.18945703938005834,-0.4920038103331898
trench_norm,0.19135515845387724,0.01913234914175036,0.39742215984112683,0.9785931174329793
dist_nearest_edge,-0.28770411307415383,-0.2931801551373343,-0.3510513165529035,0.8914966734874369
dist_from_start,-0.2543010459679359,-0.4176369234127387,0.09503329589512496,-0.9298306235743456
conv_ortho,-0.3266772436146334,-0.21317616652768204,-0.5111522016796639,0.6251530005850192
conv_paral,0.13153698203788391,0.36429344325731744,-0.2215450965464145,0.3133161816346475
trench_abs_ortho,1.0,1.0,1.0,1.0
trench_abs_paral,-0.13451520419895166,-0.21656655699008387,0.009665124045069511,-0.9481553016636909
subducting_abs_rate,0.06203936582884263,0.04778494926689485,0.08515039318982313,-0.7642847420531631
subducting_abs_angle,0.03525117848105944,0.22888363134443968,-0.3716030316194284,-0.30097883172698875
subducting_abs_ortho,0.033549716323431414,0.20666001510720697,-0.25230386394534243,0.815490524821304
subducting_abs_paral,0.09380190946936842,0.32748877993065817,-0.24326060663288498,-0.39426617134263664
seafloor_age,-0.1677555761274021,-0.1494016260672945,-0.2504192543033529,0.9756781283914906
carbonate_sediment_thickness,0.12011498901737022,0.03412427482405537,0.26618356713856867,0.8540734199111555
total_sediment_thick,-0.16605266914054165,-0.16289207956162638,-0.2384100706938004,0.9766585789428833
ocean_crust_carb_percent,0.061187669007287754,0.32281787900657405,-0.048450532062719744,0.9366935732462014
