,trench_abs_paral_all,trench_abs_paral_mz,trench_abs_paral_cz,trench_abs_paral_mio
age,-0.39102551772879995,-0.1362687723972103,0.1682637987100296,0.4756853184760697
recon_lon,-0.2865071384539914,-0.11357231548987941,0.08929136666003687,0.9710564227501017
recon_lat,0.10158787920463014,0.17635482707390157,0.23752316491438785,-0.9925466555432183
distance,0.003247691251239636,-0.12160550551035335,-0.02885652373396019,0.25783638056580743
conv_rate,0.1869748046852613,0.22285013278176122,0.25883484343026414,-0.5591082393435869
conv_angle,-0.5950460401595606,-0.6584790080246314,-0.5754588637458674,-0.4442670343034119
trench_abs_rate,0.010627339958192952,0.16285018181814684,-0.014467288972897287,0.9877314377774702
trench_abs_angle,0.6318300852563473,0.5882325920686957,0.7858931597249773,0.9586170731371361
arc_len,-0.19398320943953157,-0.3376182425803542,0.0987492160060891,0.48568376005857483
trench_norm,-0.0989123460149476,-0.0508580026696004,-0.25908536083574696,-0.9537603168105382
dist_nearest_edge,0.1021902497217715,-0.11140042870813797,0.05008436786823871,-0.8022446141324112
dist_from_start,0.19615337114818518,0.16685550291110546,0.4368997526217363,0.806064893055912
conv_ortho,0.10792664834662975,0.08199846672735506,0.09041513728992277,-0.7463663694371064
conv_paral,-0.48272371881356757,-0.5504143182543599,-0.5774941063267779,-0.43528049065164476
trench_abs_ortho,-0.13451520419895166,-0.21656655699008387,0.009665124045069511,-0.9481553016636909
trench_abs_paral,1.0,1.0,1.0,1.0
subducting_abs_rate,-0.15857132348227979,-0.1767856828634996,-0.24570290479960522,0.8775461694563913
subducting_abs_angle,0.050512961285549884,0.0746057742922692,-0.33169798652692156,0.12161275077848596
subducting_abs_ortho,0.0640383102680377,-0.008640977960484093,0.10535779854812753,-0.887272467578476
subducting_abs_paral,-0.14279048665736163,-0.1847990690367142,-0.4334960133135598,0.3034125938961374
seafloor_age,-0.1053517786473735,0.3958469777949699,-0.2880803784078394,-0.9362016012041374
carbonate_sediment_thickness,-0.016734774604720486,0.11280201544021314,-0.38214941456499124,-0.7177584334013779
total_sediment_thick,-0.2102591978003998,0.30613322180317115,-0.2875427791962925,-0.9369011186952516
ocean_crust_carb_percent,-0.29359272970655453,0.08478787924435187,-0.2532232706461144,-0.880228128706718
