,arc_len_all,arc_len_mz,arc_len_cz,arc_len_mio
age,-0.013672945573719075,0.11525469967265105,-0.10334498671172228,-0.24590401852903443
recon_lon,0.026677502050647135,-0.1860701148563689,0.07006924336163656,0.19047703040722871
recon_lat,-0.2651017014552176,0.22079472061359073,-0.41247443417707663,-0.4335830351017676
distance,-0.03790951165068038,-0.36969947607881876,0.09201094781165557,0.010928847524626533
conv_rate,0.023048612473237622,-0.14431250530622722,0.07346716124446469,0.022256129531594976
conv_angle,0.040444618432225445,0.07291013475908159,0.03756386221800035,0.1759759929972746
trench_abs_rate,-0.11282285990859527,-0.17712794196631507,-0.15168572393655308,-0.3018154808360333
trench_abs_angle,0.11621083489417579,0.2771225501660319,0.095032418434418,0.10645327189523987
arc_len,1.0,1.0,1.0,1.0
trench_norm,-0.08076310808611013,-0.09228377256972041,-0.08275122802467423,-0.16704177597624184
dist_nearest_edge,0.16109890149056777,-0.12033312092619311,0.27186371691605493,0.30765307550094745
dist_from_start,-0.24426656209593373,0.31756125888398523,-0.4493594949045181,-0.42049717084289245
conv_ortho,0.007328094046012588,-0.12608778348151428,0.045575629278512254,0.01896634244650445
conv_paral,0.036340128236093686,-0.04406644537571028,0.05070938658151643,0.15758498722362074
trench_abs_ortho,0.11416213151998383,0.1608425922426621,0.1715631537465412,0.3111691337637506
trench_abs_paral,0.029949504119311052,-0.013789709120016208,0.052901493569528356,-0.007353085041946928
subducting_abs_rate,-0.09162006330984378,-0.043314539111714824,-0.11092734078709592,-0.08831926255094773
subducting_abs_angle,0.056776343179589676,0.14527283464384244,0.04606876850826443,0.1838714848534819
subducting_abs_ortho,0.05340787469400543,-0.0635010910566732,0.08669687845294384,0.11115510293548407
subducting_abs_paral,0.05896034512656502,-0.08616698329537022,0.07974215603500454,0.1979074870442102
seafloor_age,-0.025230798374588553,0.09316238717601863,-0.05650778159242154,0.12882545348902918
carbonate_sediment_thickness,-0.07866334752115815,-0.13505223515112758,-0.08856736039306069,-0.05178876643033992
total_sediment_thick,0.02703658819899088,0.07743367654164963,0.02358728141097778,0.17118687142863748
ocean_crust_carb_percent,0.05657202969365764,0.06174050696409811,0.058050091750361334,0.09243728299166944
