,carbonate_sediment_thickness_all,carbonate_sediment_thickness_mz,carbonate_sediment_thickness_cz,carbonate_sediment_thickness_mio
age,0.10235676464644683,0.04683991351306295,-0.23240969370606504,-0.5850259596955923
recon_lon,-0.028569559387452117,0.07522057242555866,-0.5255014910043927,-0.7343760856490258
recon_lat,0.23616866746882295,0.28933491443567844,0.35665179627717636,0.3604943073028253
distance,0.03741038858521015,0.21699867327889133,-0.3353099950454396,-0.4883655336598057
conv_rate,-0.28687385565516976,-0.4357155237229567,-0.09464372829570418,-0.227529095762127
conv_angle,-0.2985032932637313,-0.5131650641336761,-0.03847034670954798,0.128549157796487
trench_abs_rate,-0.15767897487844873,-0.09843333598568642,-0.16356331195580326,-0.44526601406646105
trench_abs_angle,-0.03987847188177268,-0.3067889046825926,0.09284540043636944,-0.038398087959305306
arc_len,-0.07866334752115815,-0.13505223515112758,-0.08856736039306069,-0.05178876643033992
trench_norm,0.40615412349383695,0.6314531642566364,0.022505207014823437,-0.020447775484550457
dist_nearest_edge,-0.283822881806967,-0.17480880623726042,-0.5605923200318952,-0.6817584368947485
dist_from_start,0.0565614796423739,-0.0033628455639661205,0.3368336550443049,0.2995989393970659
conv_ortho,-0.2607483960183273,-0.41184011735196335,-0.055065020752573614,-0.2604676021839288
conv_paral,-0.04134713430544196,-0.012766918440385515,-0.03400584179603004,0.1460751168374414
trench_abs_ortho,0.12839101836302985,0.025548859900181603,0.20632029890124842,0.40409850311140993
trench_abs_paral,-0.06518922547031823,-0.17145543568059857,0.14726998263955526,0.19859908743906374
subducting_abs_rate,0.22658854538304046,0.33268978819574263,0.054593237280940295,0.14342651687688487
subducting_abs_angle,-0.27142180802726273,-0.6929765703242685,0.0710380725150823,0.16393369310615544
subducting_abs_ortho,-0.24724069990664888,-0.44010378471115985,-0.010717575863522861,-0.15456596189911057
subducting_abs_paral,-0.08106407544057057,-0.23373625590371924,0.009559588810376413,0.25553852516415126
seafloor_age,-0.22417064797339697,-0.01889766383686626,-0.5206895517690306,-0.6890845866246592
carbonate_sediment_thickness,1.0,1.0,1.0,1.0
total_sediment_thick,-0.19580899850998348,0.0666403138635833,-0.6111851325657935,-0.7411525895955934
ocean_crust_carb_percent,-0.11206543578495226,0.236747837306435,-0.6315531021121089,-0.741731201170901
