,conv_ortho_all,conv_ortho_mz,conv_ortho_cz,conv_ortho_mio
age,-0.5550376788576833,-0.5186844878504795,-0.7649055711874264,0.031967378631476195
recon_lon,-0.4741122764233934,-0.1693943160544744,-0.4201117925007618,0.3485719021908818
recon_lat,-0.10767265722214839,-0.284605622483539,-0.12222355396612669,-0.3148618921534264
distance,0.17290473009903498,-0.15260933661757206,0.35605445841673455,0.34296827910740446
conv_rate,0.9229727895369123,0.9703499946277313,0.8908524554776397,0.9614982453380413
conv_angle,-0.05356857058250322,0.6160332389225811,-0.5241852257986728,0.06889369953974175
trench_abs_rate,0.39613084591397274,0.2777727812340775,0.36288751640593553,0.16273347872090024
trench_abs_angle,0.07135170391648764,0.06680362532374395,0.13264379996827586,-0.16833821843226857
arc_len,0.007328094046012588,-0.12608778348151428,0.045575629278512254,0.01896634244650445
trench_norm,0.0568750761769592,-0.36853201460063395,0.36195434101804697,-0.20487238502076738
dist_nearest_edge,0.2635804531147938,0.4239698830507447,-0.009066424577578008,0.5109807323779365
dist_from_start,0.030451402847695114,0.16368050515984273,-0.22107934432343307,-0.3162640028336493
conv_ortho,1.0,1.0,1.0,1.0
conv_paral,-0.13887701304493935,0.28557993428344336,-0.34789775763743497,-0.025036471145136834
trench_abs_ortho,-0.5291303016429294,-0.4330990625562932,-0.510304135438195,-0.29219057390322256
trench_abs_paral,-0.042540474889853186,-0.03655040755478676,-0.005676422047661375,-0.2507881944693158
subducting_abs_rate,-0.8510785734532718,-0.829994519414587,-0.8595933743165056,-0.9218394739683974
subducting_abs_angle,-0.2355944650879988,0.5990337385816779,-0.625838296100691,-0.4625597475869565
subducting_abs_ortho,0.9424367792492213,0.904211800876642,0.9828432836288326,0.9597152089451229
subducting_abs_paral,-0.19005657193536715,0.4069718657234634,-0.42299391505047385,-0.11980652574830984
seafloor_age,0.07780308819269961,0.028175560481107583,-0.1830041699453744,-0.260032878470391
carbonate_sediment_thickness,-0.2607483960183273,-0.41184011735196335,-0.055065020752573614,-0.2604676021839288
total_sediment_thick,0.051255980308713374,-0.1999563816509003,-0.20122720659163243,-0.18195530487286163
ocean_crust_carb_percent,-0.06187645635956457,-0.18514577142719352,-0.12287950054835714,0.22557218933142267
