,conv_rate_all,conv_rate_mz,conv_rate_cz,conv_rate_mio
age,-0.57663374753093,-0.5311566994883561,-0.7360298964396247,0.017587188773285776
recon_lon,-0.5088269343076472,-0.234591148102634,-0.43507512657995384,0.32267828262860954
recon_lat,-0.03773404832854187,-0.22396115864491364,-0.050118543025314745,-0.3191221391743165
distance,0.2242310440447163,-0.10631171186781295,0.4216510279492851,0.2790603960005883
conv_rate,1.0,1.0,1.0,1.0
conv_angle,0.10759714681744129,0.4768356475912436,-0.23900113672733883,0.08929830515739404
trench_abs_rate,0.4472699874607176,0.3318419014355312,0.41063985998614644,0.14853172757021155
trench_abs_angle,0.039535131044829516,0.14572863182916443,0.08159737224702154,-0.16820946531390782
arc_len,0.023048612473237622,-0.14431250530622722,0.07346716124446469,0.022256129531594976
trench_norm,-0.12267953444773186,-0.36019045772493674,0.06777827882673088,-0.2436230397600115
dist_nearest_edge,0.2776606574316482,0.4115213479064964,-0.015503102795046582,0.5309504638455851
dist_from_start,0.07094142372872755,0.21440564776839072,-0.2007721149520567,-0.3198535493547321
conv_ortho,0.9229727895369123,0.9703499946277313,0.8908524554776397,0.9614982453380413
conv_paral,0.055151279090270545,0.12402689854641,-0.05861911103991827,-0.007403761156352112
trench_abs_ortho,-0.477480796642531,-0.4248584305369694,-0.3274182477780274,-0.2521977888179333
trench_abs_paral,-0.14672260232939557,0.04730173160154879,-0.24521303108361278,-0.2694653919620207
subducting_abs_rate,-0.9128984153033017,-0.8197610816267009,-0.9665123419452137,-0.9707669992580428
subducting_abs_angle,-0.13352276053457673,0.526294057263446,-0.4876690744176314,-0.5026196412316758
subducting_abs_ortho,0.8745097353872102,0.8751002491455927,0.9035898938787346,0.9311354966983055
subducting_abs_paral,0.003404156571418543,0.2540215260795169,-0.1519545529696883,-0.10405728894357837
seafloor_age,0.16007940359304287,0.1362924799094888,-0.11164406716903122,-0.3207208170845664
carbonate_sediment_thickness,-0.28687385565516976,-0.4357155237229567,-0.09464372829570418,-0.227529095762127
total_sediment_thick,0.13225333836232947,-0.08710142618132939,-0.13603461722867297,-0.24552419790446722
ocean_crust_carb_percent,0.011143825045455635,-0.12608010678842133,-0.047347720381394655,0.2125559647137291
