,dist_nearest_edge_all,dist_nearest_edge_mz,dist_nearest_edge_cz,dist_nearest_edge_mio
age,-0.5204129865385825,-0.6197100952605853,0.39750928180578676,0.17883736206666018
recon_lon,0.0037890726723370897,0.31917019926762086,0.8237584838464543,0.8988812987060636
recon_lat,-0.4276941479801804,-0.5732415814252338,-0.6923776395969804,-0.6540686381718249
distance,-0.052031923379281385,-0.5628798944727105,0.1046299267059719,0.6451121898659341
conv_rate,0.2776606574316482,0.4115213479064964,-0.015503102795046582,0.5309504638455851
conv_angle,0.2912806443942566,0.2896468658860206,0.014945088287703303,0.010024142837006781
trench_abs_rate,0.39200748470578867,-0.005307056066124806,0.2629137978402572,0.09988367486517366
trench_abs_angle,-0.28713341972090406,-0.09173275847653245,-0.30072069101106164,-0.11452648522354338
arc_len,0.16109890149056777,-0.12033312092619311,0.27186371691605493,0.30765307550094745
trench_norm,-0.09332618481162239,-0.16919920409181827,0.039751499596413095,-0.16851665974594682
dist_nearest_edge,1.0,1.0,1.0,1.0
dist_from_start,0.038074153474915114,0.18612403466379282,-0.40350287623293946,-0.6392545159626396
conv_ortho,0.2635804531147938,0.4239698830507447,-0.009066424577578008,0.5109807323779365
conv_paral,0.1865316819281242,0.21332571250234025,0.049607270079253446,-0.038993616315331686
trench_abs_ortho,-0.4998589299403742,-0.2347136172844194,-0.21297426763140856,-0.07118699907931507
trench_abs_paral,-0.24696759814711175,-0.35146562968344586,-0.2208749307895336,-0.1989589152393005
subducting_abs_rate,-0.11878162031413755,-0.28358598195574514,0.0857057649847317,-0.5344562005511608
subducting_abs_angle,0.2233351895847146,0.13801581539897598,0.022989026535579063,-0.22617056650965933
subducting_abs_ortho,0.10764353589775166,0.36066766420669405,-0.05450062314703649,0.5141367065718154
subducting_abs_paral,0.11865703915091355,-0.09595132768576825,-0.016084358161279545,-0.11978308362707658
seafloor_age,0.49837627655517974,-0.4440947823201663,0.4155832333507739,0.4230102838104028
carbonate_sediment_thickness,-0.283822881806967,-0.17480880623726042,-0.5605923200318952,-0.6817584368947485
total_sediment_thick,0.5081682333834627,-0.4427250862851041,0.4555845685396123,0.4712309490126371
ocean_crust_carb_percent,0.46390473611017063,-0.442031812253153,0.7006377583591911,0.7383833306685397
