,subducting_abs_angle_all,subducting_abs_angle_mz,subducting_abs_angle_cz,subducting_abs_angle_mio
age,-0.16879980396970085,-0.02534475420142289,0.46801741486667886,-0.0010454963960137699
recon_lon,-0.10246943250910051,-0.009732944100033288,0.20799275240173268,-0.3011194446262262
recon_lat,0.24607233898517256,-0.1827653396691501,0.31462661303064426,0.43810065053994846
distance,-0.1297745965536184,-0.211088839553184,-0.1439567239364205,0.02461899150574803
conv_rate,-0.13352276053457673,0.526294057263446,-0.4876690744176314,-0.5026196412316758
conv_angle,0.791162363073446,0.843081223186726,0.7603812972537678,0.7201400238710616
trench_abs_rate,0.09170730078617904,-0.08327628958753117,-0.14466201335373546,0.08674387289763884
trench_abs_angle,-0.17689138389673528,0.20604227854738683,-0.19102529522187658,-0.563783670563239
arc_len,0.056776343179589676,0.14527283464384244,0.04606876850826443,0.1838714848534819
trench_norm,-0.6325229887896894,-0.7799362441507325,-0.6302813522268792,-0.5315874203512574
dist_nearest_edge,0.2233351895847146,0.13801581539897598,0.022989026535579063,-0.22617056650965933
dist_from_start,0.3501512786736082,0.040335442573313,0.3331630136806698,0.39931620667326256
conv_ortho,-0.2355944650879988,0.5990337385816779,-0.625838296100691,-0.4625597475869565
conv_paral,0.6023503681826541,0.3417963359410658,0.6098236807597299,0.7726436389449369
trench_abs_ortho,-0.04777370496441326,0.030944384851103932,0.3616874001262363,0.1659756328724771
trench_abs_paral,-0.16055416451899396,0.05156535010506998,-0.23907117594569338,-0.42386187754776167
subducting_abs_rate,0.17363746155903143,-0.6596305707652775,0.5032782800725936,0.5522427609033689
subducting_abs_angle,1.0,1.0,1.0,1.0
subducting_abs_ortho,-0.2897403120130825,0.6787618934567314,-0.605831382738488,-0.4365456157069191
subducting_abs_paral,0.6742502348142535,0.6052115677165744,0.6599974206487143,0.8316831621469356
seafloor_age,0.37133962299254736,0.08938020032589698,0.2767526686263436,0.36685651718967777
carbonate_sediment_thickness,-0.27142180802726273,-0.6929765703242685,0.0710380725150823,0.16393369310615544
total_sediment_thick,0.3782257632264312,-0.021675767403295996,0.3265381585769093,0.3291608755144029
ocean_crust_carb_percent,0.2432932546109815,-0.14490953913535892,0.2759506597183243,0.05686962612034933
