,subducting_abs_ortho_all,subducting_abs_ortho_mz,subducting_abs_ortho_cz,subducting_abs_ortho_mio
age,-0.39903306842702846,-0.5436302102088602,-0.7983404787790757,-0.15250189131525482
recon_lon,-0.37775152497435716,-0.2136043417339582,-0.46459176287851744,0.36849976107305404
recon_lat,-0.1543306997799998,-0.33484633815479503,-0.11426829102406115,-0.4194154427238881
distance,0.132380380536085,-0.36491096822705765,0.40820432298707093,0.3536051212824052
conv_rate,0.8745097353872102,0.8751002491455927,0.9035898938787346,0.9311354966983055
conv_angle,-0.08980441232083039,0.736461953951542,-0.4895436452362338,0.0956599620160382
trench_abs_rate,0.1056363754814565,-0.11895902629855512,0.23963766103950868,-0.07154782837796718
trench_abs_angle,0.09576531978953447,-0.1632618930922276,0.17119896656972697,-0.15982622568289184
arc_len,0.05340787469400543,-0.0635010910566732,0.08669687845294384,0.11115510293548407
trench_norm,-0.008748360697817285,-0.5353169565402631,0.2960890314920985,-0.23642274338892527
dist_nearest_edge,0.10764353589775166,0.36066766420669405,-0.05450062314703649,0.5141367065718154
dist_from_start,-0.05190882759100399,0.30660723879014024,-0.28720242866053225,-0.4453210606142176
conv_ortho,0.9424367792492213,0.904211800876642,0.9828432836288326,0.9597152089451229
conv_paral,-0.13951421110553422,0.4726978848715123,-0.3200105116172298,-0.00027930597871215785
trench_abs_ortho,-0.2149547116018471,-0.006672981868112353,-0.3429701935033326,-0.011749376349599772
trench_abs_paral,-0.11630440768444644,-0.30803820418920463,0.013814412339514125,-0.1936224648436366
subducting_abs_rate,-0.9207246246008502,-0.9626248365767779,-0.9046015252126769,-0.9501146183380729
subducting_abs_angle,-0.2897403120130825,0.6787618934567314,-0.605831382738488,-0.4365456157069191
subducting_abs_ortho,1.0,1.0,1.0,1.0
subducting_abs_paral,-0.2236554746192304,0.36871444890905986,-0.3821722087478062,-0.06833514940151254
seafloor_age,-0.0934965116796179,-0.03411166349830483,-0.25088902837409444,-0.32989621966184557
carbonate_sediment_thickness,-0.24724069990664888,-0.44010378471115985,-0.010717575863522861,-0.15456596189911057
total_sediment_thick,-0.1314307539340023,-0.30251717846641524,-0.2530976323213128,-0.247529404901442
ocean_crust_carb_percent,-0.1913600585399348,-0.38038288932976444,-0.16412765750421696,0.15303671026205584
