,subducting_abs_paral_all,subducting_abs_paral_mz,subducting_abs_paral_cz,subducting_abs_paral_mio
age,-0.12073413828795992,-0.03297186368356781,0.32178478727191423,-0.03786320650024586
recon_lon,-0.14320588629203165,-0.049920914628034115,0.03452665577828389,-0.3524254336445467
recon_lat,0.31828733921300645,0.046318436374173474,0.3552676478532149,0.4345681566138289
distance,0.03633615051666981,0.1554042090208548,-0.0002110669110188412,0.042326410279805014
conv_rate,0.003404156571418543,0.2540215260795169,-0.1519545529696883,-0.10405728894357837
conv_angle,0.8701264688709273,0.7339265378530305,0.9359398011327837,0.9643967722005091
trench_abs_rate,0.11582593566746009,0.05274793299071986,-0.036633439731713575,0.08810317405350607
trench_abs_angle,-0.4543921717233978,-0.1072636280759065,-0.4714937539501529,-0.7828604880249384
arc_len,0.05896034512656502,-0.08616698329537022,0.07974215603500454,0.1979074870442102
trench_norm,-0.6670570301389871,-0.35470295276091446,-0.820231228738542,-0.8591067948029562
dist_nearest_edge,0.11865703915091355,-0.09595132768576825,-0.016084358161279545,-0.11978308362707658
dist_from_start,0.2480070045076809,-0.1248512927759261,0.25202016941203903,0.3688198925470975
conv_ortho,-0.19005657193536715,0.4069718657234634,-0.42299391505047385,-0.11980652574830984
conv_paral,0.941378347482417,0.6281364385195488,0.9725100057474062,0.9797692054666224
trench_abs_ortho,-0.012625392312673978,-0.17504107744849035,0.37173255722053583,0.20117502336882329
trench_abs_paral,-0.37061826156631655,0.0028189723987152473,-0.5389158861727222,-0.6929626101476092
subducting_abs_rate,0.04144539250547967,-0.2564920859528731,0.16079713341427335,0.13710798755476666
subducting_abs_angle,0.6742502348142535,0.6052115677165744,0.6599974206487143,0.8316831621469356
subducting_abs_ortho,-0.2236554746192304,0.36871444890905986,-0.3821722087478062,-0.06833514940151254
subducting_abs_paral,1.0,1.0,1.0,1.0
seafloor_age,0.27520767368185395,-0.1336004807840897,0.22968192186798794,0.013679867499822099
carbonate_sediment_thickness,-0.08106407544057057,-0.23373625590371924,0.009559588810376413,0.25553852516415126
total_sediment_thick,0.24870450844368183,-0.23194063183121424,0.22438442878419793,0.007850045774694775
ocean_crust_carb_percent,0.23497983261891905,-0.04106146428395794,0.24723445433713134,-0.00571747380694639
