,subducting_abs_rate_all,subducting_abs_rate_mz,subducting_abs_rate_cz,subducting_abs_rate_mio
age,0.42258026727311104,0.4343218371594303,0.737399634202772,0.14955207555866304
recon_lon,0.4173578274422631,0.19183873132008705,0.47527979477599663,-0.3479152085272351
recon_lat,0.0670554457049603,0.2448157870534902,0.035189493439650193,0.43680951078315455
distance,-0.13220823693090802,0.38566980031517206,-0.4467200771054328,-0.2645667729238417
conv_rate,-0.9128984153033017,-0.8197610816267009,-0.9665123419452137,-0.9707669992580428
conv_angle,-0.09390315246365097,-0.6579319131097102,0.2458030114717312,-0.03155178083203706
trench_abs_rate,-0.08369229702194501,0.18570933810631046,-0.17561250183198074,0.07718194035050133
trench_abs_angle,-0.06727014597876489,0.08826260154288916,-0.1370995666600088,0.0985024253685482
arc_len,-0.09162006330984378,-0.043314539111714824,-0.11092734078709592,-0.08831926255094773
trench_norm,0.17585866960630356,0.4931196472014161,-0.041385761166297524,0.20102445760398185
dist_nearest_edge,-0.11878162031413755,-0.28358598195574514,0.0857057649847317,-0.5344562005511608
dist_from_start,0.020462687318316318,-0.33730523736624024,0.3107478561180822,0.4551001915354233
conv_ortho,-0.8510785734532718,-0.829994519414587,-0.8595933743165056,-0.9218394739683974
conv_paral,-0.03025869309445493,-0.37013795324053517,0.10558384823001027,0.06699909257205745
trench_abs_ortho,0.14931236459297692,-0.08890547017345775,0.16086250875178248,0.04711102928817124
trench_abs_paral,0.1788615674491238,0.26710263599985834,0.1028069042168379,0.14831281848488415
subducting_abs_rate,1.0,1.0,1.0,1.0
subducting_abs_angle,0.17363746155903143,-0.6596305707652775,0.5032782800725936,0.5522427609033689
subducting_abs_ortho,-0.9207246246008502,-0.9626248365767779,-0.9046015252126769,-0.9501146183380729
subducting_abs_paral,0.04144539250547967,-0.2564920859528731,0.16079713341427335,0.13710798755476666
seafloor_age,0.00322976483211942,-0.047193777556367875,0.1985098061530559,0.40295894497863316
carbonate_sediment_thickness,0.22658854538304046,0.33268978819574263,0.054593237280940295,0.14342651687688487
total_sediment_thick,0.03094108127339973,0.18242359317589096,0.19697192411119466,0.3217609345377513
ocean_crust_carb_percent,0.11543538603019103,0.312702784168274,0.0974578727678598,-0.1324227159575003
