,total_sediment_thick_all,total_sediment_thick_mz,total_sediment_thick_cz,total_sediment_thick_mio
age,-0.4213044066751754,0.40936574534125375,0.4464798560735598,0.4842226966708102
recon_lon,-0.22006845655128537,-0.31394279830297134,0.5782846108416304,0.5854508450757093
recon_lat,0.17345753178624482,0.5649541467250366,-0.11827091983214198,-0.21484695466073525
distance,0.183238309220782,0.41726814796364087,0.06182504408702643,0.46107672811494466
conv_rate,0.13225333836232947,-0.08710142618132939,-0.13603461722867297,-0.24552419790446722
conv_angle,0.2815884768777506,-0.40670459642421763,0.26221862567055715,0.021072265813422232
trench_abs_rate,0.5119263049493937,0.36232627307557547,0.24429238528674152,0.3367934601854198
trench_abs_angle,-0.18756421199494347,0.659351888668332,-0.3392164314717581,-0.09536068278266177
arc_len,0.02703658819899088,0.07743367654164963,0.02358728141097778,0.17118687142863748
trench_norm,-0.15891431850360668,-0.01667911294822845,-0.15672910989899874,-0.007026727801042403
dist_nearest_edge,0.5081682333834627,-0.4427250862851041,0.4555845685396123,0.4712309490126371
dist_from_start,0.26392782418802896,0.1352598351951055,0.00023145104795393485,-0.17347714049169052
conv_ortho,0.051255980308713374,-0.1999563816509003,-0.20122720659163243,-0.18195530487286163
conv_paral,0.18989299715354713,-0.6506747000215094,0.26716766652695956,0.05490587984730879
trench_abs_ortho,-0.48366035841291055,-0.16813857793291043,-0.15656133075092435,-0.19554558934971852
trench_abs_paral,0.032487369922446,0.6488595929918206,-0.29298278488041235,-0.17489647877166528
subducting_abs_rate,0.03094108127339973,0.18242359317589096,0.19697192411119466,0.3217609345377513
subducting_abs_angle,0.3782257632264312,-0.021675767403295996,0.3265381585769093,0.3291608755144029
subducting_abs_ortho,-0.1314307539340023,-0.30251717846641524,-0.2530976323213128,-0.247529404901442
subducting_abs_paral,0.24870450844368183,-0.23194063183121424,0.22438442878419793,0.007850045774694775
seafloor_age,0.9478213845080873,0.8519635913318608,0.9663835193713988,0.9850352071973377
carbonate_sediment_thickness,-0.19580899850998348,0.0666403138635833,-0.6111851325657935,-0.7411525895955934
total_sediment_thick,1.0,1.0,1.0,1.0
ocean_crust_carb_percent,0.7669358644974248,0.8839795223593344,0.8068571070235574,0.7552994248958035
