,trench_abs_angle_all,trench_abs_angle_mz,trench_abs_angle_cz,trench_abs_angle_mio
age,0.023228936422227016,0.42537856433988513,-0.43271730320483964,-0.2460226516414018
recon_lon,-0.10427681215051039,0.05502138067600925,-0.3043286092001826,0.10235071720859545
recon_lat,-0.12893109322129664,0.20047819809627385,-0.18212879685759062,-0.41090104795390875
distance,0.046749707417588944,0.22826608312648358,0.007638119152966798,-0.3230233940025802
conv_rate,0.039535131044829516,0.14572863182916443,0.08159737224702154,-0.16820946531390782
conv_angle,-0.4319036095910678,-0.20267611766154908,-0.4789546958663927,-0.8466041702258233
trench_abs_rate,-0.02070841198519734,0.6115500444100561,-0.233784199244368,-0.3390403413342469
trench_abs_angle,1.0,1.0,1.0,1.0
arc_len,0.11621083489417579,0.2771225501660319,0.095032418434418,0.10645327189523987
trench_norm,0.3625112694045957,0.021124737396725327,0.4826445645160637,0.8638341966467713
dist_nearest_edge,-0.28713341972090406,-0.09173275847653245,-0.30072069101106164,-0.11452648522354338
dist_from_start,-0.26277026902150274,-0.12307469884918822,-0.2755155131259398,-0.3458252003386092
conv_ortho,0.07135170391648764,0.06680362532374395,0.13264379996827586,-0.16833821843226857
conv_paral,-0.5827090303668399,-0.7116585277825171,-0.5587867980953826,-0.8462982953605878
trench_abs_ortho,0.03575777249833381,-0.4989581997398013,0.12220260420156645,0.046744689387329875
trench_abs_paral,0.5923267894651506,0.8276024230077017,0.6132867024413429,0.8277378809691167
subducting_abs_rate,-0.06727014597876489,0.08826260154288916,-0.1370995666600088,0.0985024253685482
subducting_abs_angle,-0.17689138389673528,0.20604227854738683,-0.19102529522187658,-0.563783670563239
subducting_abs_ortho,0.09576531978953447,-0.1632618930922276,0.17119896656972697,-0.15982622568289184
subducting_abs_paral,-0.4543921717233978,-0.1072636280759065,-0.4714937539501529,-0.7828604880249384
seafloor_age,-0.2845982694615083,0.4850951619895377,-0.38811068872849147,-0.09160169794600787
carbonate_sediment_thickness,-0.03987847188177268,-0.3067889046825926,0.09284540043636944,-0.038398087959305306
total_sediment_thick,-0.18756421199494347,0.659351888668332,-0.3392164314717581,-0.09536068278266177
ocean_crust_carb_percent,-0.2592362288992079,0.6004716683631005,-0.4182263112429149,-0.2890204133144276
