,trench_norm_all,trench_norm_mz,trench_norm_cz,trench_norm_mio
age,0.11182365445789749,0.31782982743648697,-0.27793417757505096,-0.19216705452403146
recon_lon,0.13764395432243526,0.35972205724463097,-0.013571481458339278,0.10962906970562006
recon_lat,-0.2600512399099916,0.026375752388166366,-0.4006091138805894,-0.30641576335078213
distance,0.02022657352627994,0.285379676621109,-0.17748522722109672,-0.25483375257088586
conv_rate,-0.12267953444773186,-0.36019045772493674,0.06777827882673088,-0.2436230397600115
conv_angle,-0.8007050427128534,-0.6735418575198514,-0.9173006812202849,-0.9513380216258371
trench_abs_rate,0.12691088861423447,0.33825521164513134,0.09890906479871675,-0.26524698527414525
trench_abs_angle,0.3625112694045957,0.021124737396725327,0.4826445645160637,0.8638341966467713
arc_len,-0.08076310808611013,-0.09228377256972041,-0.08275122802467423,-0.16704177597624184
trench_norm,1.0,1.0,1.0,1.0
dist_nearest_edge,-0.09332618481162239,-0.16919920409181827,0.039751499596413095,-0.16851665974594682
dist_from_start,-0.3048109196695541,-0.3714297221433629,-0.22587323809737903,-0.24695862000417773
conv_ortho,0.0568750761769592,-0.36853201460063395,0.36195434101804697,-0.20487238502076738
conv_paral,-0.6968176190444298,-0.38374644400013896,-0.850433768307843,-0.9270329578708174
trench_abs_ortho,-0.1875481556949267,-0.26659207574419397,-0.4617317738259764,-0.08321771440388781
trench_abs_paral,0.4380250779753925,0.20503044661510364,0.6357078230145025,0.9028695823733756
subducting_abs_rate,0.17585866960630356,0.4931196472014161,-0.041385761166297524,0.20102445760398185
subducting_abs_angle,-0.6325229887896894,-0.7799362441507325,-0.6302813522268792,-0.5315874203512574
subducting_abs_ortho,-0.008748360697817285,-0.5353169565402631,0.2960890314920985,-0.23642274338892527
subducting_abs_paral,-0.6670570301389871,-0.35470295276091446,-0.820231228738542,-0.8591067948029562
seafloor_age,-0.19411322662026823,-0.2216874776821343,-0.12422060861778499,0.015351374753192018
carbonate_sediment_thickness,0.40615412349383695,0.6314531642566364,0.022505207014823437,-0.020447775484550457
total_sediment_thick,-0.15891431850360668,-0.01667911294822845,-0.15672910989899874,-0.007026727801042403
ocean_crust_carb_percent,-0.10773589954446644,0.18842540109079192,-0.23147136964287068,-0.21334519569638952
