index,lon,lat,age,plate_id
0,-158.4,56.52,185,16112
1,-127.85,50.68,122,16110
2,-157.24,57.05,198,16112
3,-127.58,50.33,84,16110
4,-158.41,56.15,148,16112
5,-160.68,55.63,115,16112
6,-127.5,50.38,185,16110
7,-158.41,56.15,131,16112
8,-159.42,55.89,147,16112
9,-159.42,55.89,41,16112
10,-160.68,55.64,159,16112
11,-160.63,55.25,92,16112
12,-122.08,46.36,12,173
13,-121.64,47.68,12,173
14,-120.98,48.2,130,173
15,-121.37,47.5,83,173
16,-130.48,55.4,170,16124
17,-121.5,48.01,12,173
18,-109.63,44.02,99,101
19,-101.95,19,212,215
20,-102.08,19.08,145,215
21,-137.08,59.02,156,16122
22,-107.75,27.01,155,104
23,-125.3,49.76,14,16110
24,-125.25,49.76,112,16110
25,-115.5,32.42,216,101
26,-125.98,49.26,130,16110
27,-126.81,50.03,128,16110
28,-100.99,26.71,152,101
29,-109.29,43.87,20,101
30,-109.67,44.03,19,101
31,-112.36,47.03,43,154
32,-110.07,29.9,45,101
33,-107.4,26.23,133,104
34,-126.9,54.81,213,16101
35,-131.55,57.06,122,16101
36,-127.27,54.23,44,16101
37,-127.69,53.75,111,16101
38,-127.02,53.86,102,16101
39,-127.18,53.85,102,16101
40,-129.42,55.42,128,16101
41,-125.41,49.68,19,16110
42,-125.96,49.25,143,16110
43,-125.99,49.27,9,16110
44,-107.24,25.01,41,104
45,-126.31,55.41,111,16101
46,-109.6,32.93,102,101
47,-127.44,53.8,158,16101
48,-111.32,43.09,188,178
49,-109.15,28.37,67,104
50,-126.32,55.19,13,16101
51,-109.5,30.3,19,101
52,-126.16,54.94,187,16101
53,-110.07,29.9,14,101
54,-107.35,25.67,179,104
55,-126,54.85,123,16101
56,-126.2,55.27,146,16101
57,-109.73,30.38,84,101
58,-126.24,55.29,107,16101
59,-107.72,26.99,3,104
60,-107.75,27,140,104
61,-126.9,54.81,32,16101
62,-107.68,27.57,177,104
63,-126.23,55,12,16101
64,-126.88,56.11,151,16101
65,-109.72,30.38,24,101
66,-110.03,32.09,206,101
67,-109.63,30.34,99,101
68,-109.63,30.34,102,101
69,-110.32,30.95,219,101
70,-110.66,29.93,194,101
71,-119.34,49.39,30,154
72,-109.6,32.93,188,101
73,-111.12,31.87,158,101
74,-109.62,28.53,128,104
75,-106.1,23.27,157,104
76,-109.5,30.3,102,101
77,-108.07,32.79,133,101
78,-109.34,33.09,131,101
79,-108.07,32.81,129,101
80,-108.37,32.63,183,101
81,-109.7,30.27,116,101
82,-141.32,63.52,211,16105
83,-111.02,31.97,204,101
84,-110.07,29.9,24,101
85,-107.35,25.67,141,104
86,-110.76,31.83,3,101
87,-110.76,31.83,217,101
88,-122.6,51.13,3,16101
89,-109.66,28.39,116,104
90,-109.75,30.48,124,101
91,-118.62,49.01,192,16107
92,-109.8,28.41,156,104
93,-126.9,54.81,127,16101
94,-142.51,63.37,119,16105
95,-110.48,32.75,125,101
96,-111.07,31.98,120,101
97,-109.03,27,213,104
98,-108.23,26.72,9,104
99,-111.03,31.88,184,101
100,-108.08,32.85,209,101
101,-110.32,30.95,214,101
102,-110.45,31.12,127,101
103,-110.18,30.85,177,101
104,-110.28,31,174,101
105,-110.95,33.4,131,101
106,-111.22,33.04,107,101
107,-110.72,31.49,41,101
108,-111,33.38,104,101
109,-106.1,23.6,141,104
110,-110.74,33.42,189,101
111,-109.02,27.17,117,104
112,-110.97,33.16,140,101
113,-109.46,30.41,192,101
114,-110.94,33.33,78,101
115,-110.9,33.34,173,101
116,-121.42,50.92,2,16102
117,-110.9,33.34,132,101
118,-104.4,29.81,181,101
119,-110.76,31.83,101,101
120,-110.76,31.83,185,101
121,-110.42,31.06,126,101
122,-111.43,33.04,129,101
123,-111.42,33.12,119,101
124,-111.8,32.96,19,101
125,-112.85,32.36,219,101
126,-124.49,51.22,179,16101
127,-110.43,31.04,139,101
128,-108.08,32.85,43,101
129,-110.45,31.12,192,101
