index,lon,lat,age,plate_id
0,-69.37,-31.3,84,202
1,-69.75,-30.5,133,202
2,-66.65,-27.27,28,202
3,-66.61,-27.33,79,202
4,-66.55,-27.4,169,202
5,-66.57,-27.28,117,202
6,-67.9,-26.3,53,202
7,-70.58,-38.25,153,283
8,-69.17,-30,1,202
9,-70.05,-31.95,18,202
10,-66.6,-24.13,70,202
11,-70.45,-31.76,72,202
12,-66.22,-27.38,73,202
13,-66.76,-25.14,138,202
14,-70.63,-39.18,121,283
15,-67.75,-29,28,202
16,-65.87,-24.2,30,202
17,-69.08,-32.42,90,202
18,-69.1,-32.48,152,202
19,-70.47,-37.43,74,2901
20,-69.97,-32.57,124,2901
21,-69.43,-32.25,104,202
22,-67.78,-24.57,49,202
23,-67.73,-24.58,111,202
24,-69.44,-32.14,53,202
25,-67.48,-16.92,69,201
26,-66.6,-18.44,91,201
27,-65.75,-19.63,133,201
28,-66.45,-20.95,24,201
29,-66.03,-20.91,122,201
30,-66,-18.7,69,201
31,-66.79,-18.14,147,201
32,-67.13,-17.95,49,201
33,-66.19,-20.63,98,201
34,-66.36,-20.48,122,201
35,-71.42,-30.25,165,202
36,-69.61,-24.4,86,202
37,-69.92,-22.53,75,202
38,-69.85,-27.41,146,202
39,-69.17,-23.16,83,202
40,-69.23,-27.87,151,202
41,-69.26,-20.04,74,201
42,-69.08,-24.13,144,202
43,-68.9,-22.28,104,201
44,-68.71,-20.96,136,201
45,-68.74,-21.95,87,201
46,-68.89,-20.92,128,201
47,-70.3,-33.15,93,2901
48,-69.72,-18.29,87,201
49,-68.83,-21.92,120,201
50,-68.73,-21.12,113,201
51,-69.55,-26.25,74,202
52,-69.08,-22.99,30,202
53,-70.46,-34.09,168,2901
54,-69.06,-22.97,121,202
55,-68.82,-23.41,65,202
56,-69.87,-26.77,127,202
57,-69.08,-24.2,90,202
58,-69.07,-24.27,70,202
59,-69.88,-28.63,121,202
60,-69.28,-27.27,66,202
61,-69.08,-20.18,25,201
62,-68.75,-22.67,89,201
63,-69.03,-27.23,105,202
64,-69.51,-23.45,117,202
65,-70.27,-33.13,169,2901
66,-70.5,-31.71,102,202
67,-68.91,-22.38,120,201
68,-69.24,-22.56,79,201
69,-69.02,-27.17,86,202
70,-69.28,-19.81,65,201
71,-68.97,-22.47,89,201
72,-69.12,-23.3,137,202
73,-69.42,-26.49,129,202
74,-70.25,-27.48,93,202
75,-69.83,-21.92,88,201
76,-68.8,-21,165,201
77,-68.97,-19.87,80,201
78,-69.27,-27.38,162,202
79,-70.3,-28.5,99,202
80,-70.27,-33.14,98,2901
81,-69.23,-25.22,69,202
82,-69.34,-22.88,134,202
83,-69.3,-22.84,79,202
84,-68.95,-22.42,139,201
85,-72.15,-46.03,81,283
86,-68.64,-20.99,93,201
87,-70.23,-32.88,47,2901
88,-69.09,-24.24,140,202
89,-77.32,8.49,101,229
90,-75.03,3.52,81,201
91,-75.3,4.18,61,201
92,-76.67,1.24,167,201
93,-76.75,7.05,92,201
94,-76.5,6.7,47,201
95,-76.88,2.1,160,201
96,-79.15,-1.67,86,201
97,-79.12,-1.38,167,201
98,-79.42,-2.93,114,201
99,-78.88,-4.02,80,201
100,-78.95,-4.25,83,201
101,-79.33,-3.58,129,201
102,-79.68,-3.05,128,201
103,-78.58,0.33,148,201
104,-80,-4.33,74,201
105,-78.9,-4.65,114,201
106,-78.5,-3.6,160,201
107,-79.58,-4.2,161,201
108,-78.42,-3.65,156,201
109,-79.13,-1.57,114,201
110,-79.25,-4.25,114,201
111,-78.6,-3.78,104,201
112,-77.9,-8.56,73,201
113,-75.92,-13.23,3,201
114,-73.58,-15.82,66,201
115,-78.18,-8.17,97,201
116,-75.15,-14.18,82,201
117,-71.35,-14.96,82,201
118,-79.28,-6.08,139,201
119,-69.9,-17.68,97,201
120,-78.61,-6.76,144,201
121,-76.25,-10.63,25,201
122,-71.55,-16.55,130,201
123,-71.59,-16.54,3,201
124,-72.33,-14.03,117,201
125,-71.36,-16.77,149,201
126,-75.42,-14.23,143,201
127,-71.77,-14.46,165,201
128,-71.26,-14.95,125,201
129,-72.35,-14.18,69,201
130,-70.71,-17.05,99,201
131,-70.7,-17.04,121,201
132,-78.32,-7.02,86,201
133,-75.72,-13.77,66,201
134,-79.12,-6.36,69,201
135,-78.58,-7.12,152,201
136,-72.99,-14.46,153,201
137,-73.13,-14.16,140,201
138,-76.14,-12.98,49,201
139,-77.77,-8.22,105,201
140,-78.32,-7.3,76,201
141,-78.36,-6.91,28,201
142,-69.66,-15,153,201
143,-78,-8.79,143,201
144,-75.35,-13.93,74,201
145,-76.08,-11.48,150,201
146,-71.31,-14.98,103,201
147,-70.62,-17.11,101,201
148,-79.31,-4.94,77,201
149,-78.67,-6.73,82,201
150,-75.09,-13.69,74,201
151,-71.31,-14.91,30,201
152,-70.61,-17.25,127,201
153,-76.13,-11.6,73,201
