index,lon,lat,age
0,-179.5977,51.9288,0
1,-178.79368,51.78887,0
2,-178.5356,51.9531,0
3,-178.143,51.884,0
4,-178.134,52.0138,0
5,-177.6035,52.1031,0
6,-177.1623,51.9242,0
7,-176.1109,52.0765,0
8,-175.5113,52.1693,0
9,-174.1548,52.37934,0
10,-174.139,52.3309,0
11,-172.51,52.316,0
12,-171.25476,52.49419,0
13,-170.65152,52.64378,0
14,-170.113,52.741,0
15,-170.0576,52.8906,0
16,-169.945,52.8222,0
17,-169.758,52.839,0
18,-169.71737,52.97347,0
19,-168.6937,53.1256,0
20,-168.5382,53.1536,0
21,-168.132,53.419,0
22,-168.0344,53.9272,0
23,-166.93202,53.88707,0
24,-165.98555,54.13308,0
25,-165.6605,54.2522,0
26,-164.6476,54.5171,0
27,-164.3524,54.6692,0
28,-163.9711,54.7554,0
29,-163.14687,55.41728,0
30,-162.2744,55.1867,0
31,-162.0726,55.3409,0
32,-161.8937,55.4173,0
33,-159.7912,56.0126,0
34,-159.3931,56.1979,0
35,-158.209,56.9058,0
36,-156.99147,57.13348,0
37,-156.5139,57.8338,0
38,-156.37,57.7503,0
39,-155.3566,58.1692,0
40,-155.2544,58.1946,0
41,-155.1591,58.2654,0
42,-155.1037,58.3572,0
43,-155.1026,58.2343,0
44,-154.9533,58.279,0
45,-154.6859,58.3336,0
46,-154.3573,58.4528,0
47,-153.6738,58.7703,0
48,-153.5351,58.8596,0
49,-153.435,59.3626,0
50,-153.0918,60.0319,0
51,-152.7438,60.4852,0
52,-152.2539,61.2989,0
53,-144.01935,62.00572,0
54,-133.72,59.58,0
55,-132.13,59.68,0
56,-131.42,58.55,0
57,-131,59,0
58,-131,60,0
59,-131,60.05,0
60,-130.67,58.13,0
61,-130.5,59.5,0
62,-130,59.5,0
63,-130,60.5,0
64,-122.7699966,38.9700012,0
65,-122.1999969,41.4199982,0
66,-122.18,46.2,0
67,-122.12,42.93,0
68,-122.108,43.241,0
69,-122.08,45.88,0
70,-121.93,44.38,0
71,-121.841,44.285,0
72,-121.82,45.93,0
73,-121.818,43.641,0
74,-121.813,48.777,0
75,-121.8,44.674,0
76,-121.774,44.411,0
77,-121.768,44.103,0
78,-121.76,46.853,0
79,-121.695,45.374,0
80,-121.688,43.979,0
81,-121.5699997,41.5800018,0
82,-121.5080032,40.4920006,0
83,-121.508,40.492,0
84,-121.49,46.206,0
85,-121.229,43.722,0
86,-121.113,48.112,0
87,-120.861,43.512,0
88,-120.64,49.562,0
89,-120.549,50.77,0
90,-120.518,49.816,0
91,-119.95,52.17,0
